virus,host,event
KX759618.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
KX759619.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
KX759620.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
KX759621.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
KX759622.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
KX759623.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
NC_033776.1_Bat sapovirus_Cameroon_Eidolon_helvum,Eidolon_helvum,A
OP963622.1_Bat_sapovirus_China_Cynopterus_sphinx,Cynopterus_sphinx,B
OP963623.1_Bat_sapovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
OQ709197.1_Bat_sapovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
OR951138.1_Bat sapovirus_China_Eonycteris_spelaea,Eonycteris_spelaea,D
OR951145.1_Bat_sapovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
PP712001.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus,Rousettus aegypticus,E
PP712004.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus,Rousettus aegypticus,E
PP712008.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus,Rousettus aegypticus,E
PP712015.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus,Rousettus aegypticus,E
OQ818319_E_dupreanum_sapovirus_1_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,F
OQ818340_E_dupreanum_sapovirus_2_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,F
OQ818347_R_madagascariensis_sapovirus_2_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,G
PP766459_E_dupreanum_sapovirus_1_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,F
PP766470_R_madagascariensis_sapovirus_2_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,G
PV788824_R_madagascariensis_sapovirus_4_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,G
