tree_name,full_name
1,KX759618.1_Bat sapovirus_Cameroon_Eidolon_helvum
2,KX759619.1_Bat sapovirus_Cameroon_Eidolon_helvum
3,KX759620.1_Bat sapovirus_Cameroon_Eidolon_helvum
4,KX759621.1_Bat sapovirus_Cameroon_Eidolon_helvum
5,KX759622.1_Bat sapovirus_Cameroon_Eidolon_helvum
6,KX759623.1_Bat sapovirus_Cameroon_Eidolon_helvum
7,NC_017936.1_Bat_sapovirus_Hong_Kong_Hipposideros_pomona
8,NC_033776.1_Bat sapovirus_Cameroon_Eidolon_helvum
9,ON872527.1_Bat_faecal_sapovirus_Australia_Pteropus_poliocephalus
10,OP963622.1_Bat_sapovirus_China_Cynopterus_sphinx
11,OP963623.1_Bat_sapovirus_China_Rousettus_leschenaultii
12,OQ709197.1_Bat_sapovirus_China_Rousettus_leschenaultii
13,OR951138.1_Bat sapovirus_China_Eonycteris_spelaea
14,OR951145.1_Bat_sapovirus_China_Rousettus_leschenaultii
15,PP712001.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus
16,PP712004.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus
17,PP712008.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus
18,PP712015.1_Rousettus_bat_calicivirus_Kenya_Rousettus aegypticus
19,OQ818319_E_dupreanum_sapovirus_1_Madagascar_Eidolon_dupreanum
20,OQ818340_E_dupreanum_sapovirus_2_Madagascar_Eidolon_dupreanum
21,OQ818347_R_madagascariensis_sapovirus_2_Madagascar_Rousettus_madagascariensis
22,PP766459_E_dupreanum_sapovirus_1_Madagascar_Eidolon_dupreanum
23,PP766470_R_madagascariensis_sapovirus_2_Madagascar_Rousettus_madagascariensis
24,PV788824_R_madagascariensis_sapovirus_4_Madagascar_Rousettus_madagascariensis
