name,date
HQ585111.1,
HQ595340.1,
HQ595341.1,
HQ595342.1,
HQ595343.1,
HQ595344.1,
HQ595345.1,
JN899072.1,
JN899074.1,
JN899075.1,
JQ814851.1,
JQ814852.1,
KJ641684.1,
KJ641685.1,
KJ641686.1,
KJ641687.1,
KJ641688.1,
KJ641689.1,
KJ641690.1,
KJ641691.1,
KJ641692.1,
KJ641693.1,
KJ641694.1,
KJ641695.1,
KJ641696.1,
KJ641697.1,
KJ641698.1,
KJ641699.1,
KJ641700.1,
KJ641701.1,
KJ641702.1,
KJ641703.1,
KJ790198.1,
KP054273.1,
KP054274.1,
KP054275.1,
KP054276.1,
KP054277.1,
KP054278.1,
KP100644.1,
KT452714.1,
KT452729.1,
KT452730.1,
KT452742.1,
KU712496.1,
KU712497.1,
KX420938.1,
KX420952.1,
KX644936.1,
KX644937.1,
KX644938.1,
KX759618.1,
KX759619.1,
KX759620.1,
KX759621.1,
KX759622.1,
KX759623.1,
MF352407.1,
MF352415.1,
MF352416.1,
MF352419.1,
MF352423.1,
MF352427.1,
MF352431.1,
MF373609.1,
MF947429.1,
MF947430.1,
MF947431.1,
MF947432.1,
MF947433.1,
MF947434.1,
MF947435.1,
MF947436.1,
MF947437.1,
MF947438.1,
MF947439.1,
MF947440.1,
MG559674.1,
MG888045.1,
MK348056.1,
MK468720.1,
MN602325.1,
MW249015.1,
MW249017.1,
MW450838.1,
MZ218056.1,
MZ218061.1,
MZ544214.1,
MZ544215.1,
MZ544216.1,
MZ544217.1,
MZ544218.1,
MZ544225.1,
MZ544227.1,
MZ544228.1,
MZ544229.1,
MZ544230.1,
MZ544231.1,
MZ544237.1,
MZ544238.1,
MZ544239.1,
MZ544240.1,
MZ544241.1,
MZ544242.1,
MZ544243.1,
MZ544244.1,
MZ544245.1,
MZ544246.1,
MZ544247.1,
MZ544295.1,
MZ544296.1,
MZ544297.1,
MZ544298.1,
MZ544299.1,
MZ544300.1,
MZ544301.1,
MZ544302.1,
MZ544303.1,
MZ544304.1,
MZ544305.1,
MZ544306.1,
MZ544307.1,
MZ544308.1,
MZ544309.1,
MZ544310.1,
MZ544311.1,
MZ544312.1,
MZ544313.1,
MZ544315.1,
MZ544316.1,
MZ544317.1,
MZ544318.1,
MZ544319.1,
MZ544320.1,
MZ544321.1,
MZ544322.1,
MZ544323.1,
MZ544324.1,
MZ544325.1,
MZ544326.1,
MZ544327.1,
MZ544328.1,
MZ544329.1,
MZ544330.1,
MZ544331.1,
MZ544332.1,
MZ544333.1,
MZ544334.1,
MZ544335.1,
MZ544336.1,
MZ544337.1,
MZ544338.1,
MZ544339.1,
MZ544341.1,
MZ544342.1,
MZ544343.1,
MZ544344.1,
MZ544345.1,
MZ544346.1,
MZ544347.1,
MZ544348.1,
MZ544349.1,
MZ544350.1,
MZ544351.1,
MZ544352.1,
MZ544353.1,
MZ544354.1,
MZ544355.1,
MZ544356.1,
MZ544357.1,
MZ544358.1,
MZ544359.1,
MZ544361.1,
MZ544362.1,
MZ544363.1,
MZ544364.1,
NC_030886.1,2010-06-09
OK149219.1,
OK149220.1,
OM302498.1,
ON375332.1,
ON375333.1,
ON584157.1,
ON872527.1,
OP287812.1,
OP880198.1,
OP930874.1,
OP930875.1,
OP963614.1,
OP963615.1,
OP963617.1,
OP963618.1,
OP963619.1,
OP963620.1,
OP963621.1,
OP963622.1,
OP963623.1,
OP963670.1,
OP963671.1,
OQ363751.1,
OQ363752.1,
OQ363753.1,
OQ363754.1,
OQ363755.1,
OQ363757.1,
OQ363758.1,
OQ363759.1,
OQ363761.1,
OQ363764.1,
OQ363766.1,
OQ363767.1,
OQ363768.1,
OQ363769.1,
OQ363770.1,
OQ363771.1,
OQ363772.1,
OQ363773.1,
OQ363774.1,
OQ363775.1,
OQ363777.1,
OQ363779.1,
OQ363780.1,
OQ363781.1,
OQ363782.1,
OQ363783.1,
OQ363784.1,
OQ363785.1,
OQ363786.1,
OQ363789.1,
OQ363791.1,
OQ363803.1,
OQ363805.1,
OQ363806.1,
OQ709197.1,
OQ818316,2018-08-16
OQ818317,2018-02-15
OQ818318,2018-02-15
OQ818319,2018-07-27
OQ818320,2019-01-07
OQ818321,2019-04-23
OQ818322,2018-07-29
OQ818323,2018-07-29
OQ818324,2018-09-11
OQ818325,
OQ818326,
OQ818327,
OQ818328,2018-09-12
OQ818329,2018-09-12
OQ818330,
OQ818331,
OQ818335,
OQ818336,
OQ818337,2018-02-15
OQ818339,
OQ818340,
OQ818341,
