Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
AJ303106.2,00-Reu,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Reunion,Oryctolagus cuniculus,0,2002,0
EU916955.1,,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,2004,0
EU916956.1,,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,2007,0
EU916957.1,,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,2003,0
HE963222.1,,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Egypt,Oryctolagus cuniculus,0,2006,0
HQ008054.1,Hu/GII.4/2405/2008/ZAF,Norwalk virus,Norovirus,Caliciviridae,South Africa,Homo sapiens,0,2008,0
JN699046.1,,Norwalk virus,Norovirus,Caliciviridae,Uganda,Homo sapiens,0,1975,0
JN699047.1,,Norwalk virus,Norovirus,Caliciviridae,Uganda,Homo sapiens,0,1976,0
KC962453.2,,Norwalk virus,Norovirus,Caliciviridae,South Africa,Homo sapiens,0,2010,0
KJ858686.1,IJC04,Sapporo virus,Sapovirus,Caliciviridae,Democratic Republic of the Congo,Pan troglodytes troglodytes,0,2011,0
KM056394.1,,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,2012,0
KP784695.1,GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/9693,Norwalk virus,Norovirus,Caliciviridae,South Africa,Homo sapiens,0,2012,0
KU182476.1,,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,2002,0
MG692435.1,ETH_P5_2016,Sapovirus sp.,Sapovirus,Caliciviridae,Ethiopia,Homo sapiens,0,2016,0
MH159170.1,A17-62,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Morocco,Oryctolagus cuniculus,0,2017,0
MH922771.1,,Sapporo virus,Sapovirus,Caliciviridae,Kenya,Homo sapiens,0,2008,0
MH922772.1,,Sapporo virus,Sapovirus,Caliciviridae,Kenya,Homo sapiens,0,2005,0
MH922774.1,,Sapporo virus,Sapovirus,Caliciviridae,Kenya,Homo sapiens,0,2006,0
MH933793.1,HumanSaV/CMR/Lysoka-HP4/2014,Sapovirus sp.,Sapovirus,Caliciviridae,Cameroon,Homo sapiens,0,2014,0
MK629981.1,Tn1_2016,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2016,0
MK629982.1,Tn7_2015,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2015,0
MK629985.1,Tn4_2017,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2017,0
MN794218.1,T003,Sapporo virus,Sapovirus,Caliciviridae,Tunisia,Homo sapiens,0,1976,0
MW118115.1,Ghana/2019/isolate15-19,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Ghana,Oryctolagus cuniculus,0,2019,0
MW123059.1,RT5-1,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Nigeria,Oryctolagus cuniculus,0,2020,0
MW305582.1,T055,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,1977,0
MW305583.1,T091,Norwalk virus,Norovirus,Caliciviridae,Tunisia,Homo sapiens,0,1976,0
MW856467.1,G20_067,Bat calicivirus,Unclassified,Caliciviridae,Cameroon,Shellfish,0,2018,0
MW856468.1,G20_068,Bat calicivirus,Unclassified,Caliciviridae,Cameroon,Shellfish,0,2018,0
MZ291972.1,G20_110,Caliciviridae sp.,Unclassified,Caliciviridae,Cameroon,Shellfish,0,2020,0
MZ291973.1,20_111,Caliciviridae sp.,Unclassified,Caliciviridae,Cameroon,Shellfish,0,2019,0
MZ291974.1,G20_112,Caliciviridae sp.,Unclassified,Caliciviridae,Cameroon,Shellfish,0,2018,0
MZ913390.1,Jedaida_1/TUN/2019,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2019,0
MZ913392.1,Monastir_1/TUN/2018,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2018,0
MZ913393.1,Rabbit_1512/TUN/2020,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Tunisia,Oryctolagus cuniculus,0,2020,0
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,China,Rousettus leschenaulti,0,2018,0
NC_033776.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,Cameroon,Eidolon helvum,1,2014,0
OM105025.1,BSF2,Sapporo virus,Sapovirus,Caliciviridae,South Africa,Sus scrofa domesticus,0,2021,0
OQ818319,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818345,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818347,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818348,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2019,1
