Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
AY644670.1,,Hepatovirus A,Hepatovirus,Picornaviridae,Sierra Leone,Homo sapiens,0,2004,0
DQ902712.1,CIV2003-10603,Enterovirus B,Enterovirus,Picornaviridae,Cote d'Ivoire,Homo sapiens,0,2006,0
DQ916376.1,E210,Enterovirus D,Enterovirus,Picornaviridae,Egypt,Homo sapiens,0,2006,0
EF015019.1,,Enterovirus C,Enterovirus,Picornaviridae,South Africa,Homo sapiens,0,2006,0
EF127241.1,,Enterovirus A,Enterovirus,Picornaviridae,DRC,Homo sapiens,0,2006,0
EF127249.1,,Enterovirus D,Enterovirus,Picornaviridae,DRC,Homo sapiens,0,2006,0
EF611987.1,O/Uganda/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2006,0
FJ461344.1,Kumi District,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2002,0
HF677705.1,,Parechovirus C,Parechovirus,Picornaviridae,Central African Republic,Hylomyscus,0,1972,0
HM067704.1,Buffalo 6 QE,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Syncerus caffer,0,2007,0
HM625673.1,O/K/48/2005,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2005,0
HM625674.1,O/K/52/1992,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1992,0
HM625675.1,O/K/109/2000,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2000,0
HM625676.1,O/K/117/1999,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,1999,0
HM625677.1,O/U/25/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2006,0
HQ738288.1,V2-TOL cl1,Enterovirus C,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2005,0
JF416935.1,KK2640,Enterovirus D,Enterovirus,Picornaviridae,Cameroon,Pan troglodytes,0,2007,0
JF838278.2,PV1-RC2010-45,Enterovirus C,Enterovirus,Picornaviridae,Republic of the Congo,Homo sapiens,0,2010,0
JN867756.1,,Cosavirus A,Cosavirus,Picornaviridae,Nigeria,Homo sapiens,0,2007,0
JN867757.1,,Human cosavirus E/D,Cosavirus,Picornaviridae,Nigeria,Homo sapiens,0,2007,0
JX014255.1,EGY/9/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2012,0
JX275029.2,KNS07-06,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2007,0
JX275101.2,BOS08-01,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2008,0
JX417724.2,B4_C08-219,Enterovirus B,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2008,0
JX431302.1,111_TOK-230,Enterovirus D,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2008,0
JX437642.1,B1_TOK-322,Enterovirus B,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2009,0
JX569709.1,T08-090,Enterovirus C,Enterovirus,Picornaviridae,Chad,Homo sapiens,0,2008,0
JX569710.1,C08-125,Enterovirus C,Enterovirus,Picornaviridae,Cameroon,Homo sapiens,0,2008,0
