molecule,from,to,gene,type
Sapovirus,1,749,NS1/NS2,full
Sapovirus,750,2067,Helicase,full
Sapovirus,2068,2923,NS4,full
Sapovirus,2924,3266,Vpg,full
Sapovirus,3267,5359,Pro-Pol,full
Sapovirus,5360,7020,VP1,full
Sapovirus,7087,7795,VP2,full
Bat picornavirus,632,956,L,full
Bat picornavirus,957,1165,VP4,full
Bat picornavirus,1166,1931,VP2,full
Bat picornavirus,1932,2627,VP3,full
Bat picornavirus,2628,3639,VP1,full
Bat picornavirus,3640,4371,2A,full
Bat picornavirus,4372,4710,2B,full
Bat picornavirus,4711,5710,2C,full
Bat picornavirus,5711,6151,3A,full
Bat picornavirus,6152,6220,3B,full
Bat picornavirus,6221,6772,3C,full
Bat picornavirus,6773,8229,3D,full
Hepatovirus,806,877,VP4,full
Hepatovirus,878,1543,VP2,full
Hepatovirus,1544,2290,VP3,full
Hepatovirus,2291,3221,VP1,full
Hepatovirus,3222,3910,2A,full
Hepatovirus,3911,4239,2B,full
Hepatovirus,4240,5295,2C,full
Hepatovirus,5296,5547,3A,full
Hepatovirus,5551,5622,3B,full
Hepatovirus,5623,6291,3C,full
Hepatovirus,6292,7761,3D,full
Kobuvirus,763,1330,L,full
Kobuvirus,1331,2495,VP0,full
Kobuvirus,2496,3164,VP3,full
Kobuvirus,3165,3926,VP1,full
Kobuvirus,3927,4334,2A,full
Kobuvirus,4335,4829,2B,full
Kobuvirus,4830,5834,2C,full
Kobuvirus,5835,6119,3A,full
Kobuvirus,6120,6200,3B,full
Kobuvirus,6201,6770,3C,full
Kobuvirus,6771,8174,3D,full
Kunsagivirus,630,1545,VP0,full
Kunsagivirus,1546,2250,VP3,full
Kunsagivirus,2251,3013,VP1,full
Kunsagivirus,3014,3605,2A,full
Kunsagivirus,3606,3923,2B,full
Kunsagivirus,3924,5159,2C,full
Kunsagivirus,5160,5579,3A,full
Kunsagivirus,5580,5651,3B,full
Kunsagivirus,5652,6236,3C,full
Kunsagivirus,6237,7792,3D,full
Mischivirus,1319,1537,L,full
Mischivirus,1538,2576,VP0,full
Mischivirus,2577,3432,VP3,full
Mischivirus,3433,4268,VP1,full
Mischivirus,4269,4434,2A,full
Mischivirus,4435,4976,2B,full
Mischivirus,4977,6063,2C,full
Mischivirus,6064,6490,3A,full
Mischivirus,6491,6642,3B,full
Mischivirus,6643,7368,3C,full
Mischivirus,7369,8613,3D,full
Sapelovirus,517,914,L,full
Sapelovirus,915,1073,VP4,full
Sapelovirus,1074,1797,VP2,full
Sapelovirus,1798,2523,VP3,full
Sapelovirus,2524,3448,VP1,full
Sapelovirus,3449,4252,2A,full
Sapelovirus,4253,4616,2B,full
Sapelovirus,4617,5654,2C,full
Sapelovirus,5655,5997,3A,full
Sapelovirus,5998,6069,3B,full
Sapelovirus,6070,6615,3C,full
Sapelovirus,6616,8007,3D,full
Teschovirus,603,877,L,full
Teschovirus,878,1099,VP4,full
Teschovirus,1100,2009,VP2,full
Teschovirus,2010,2748,VP3,full
Teschovirus,2749,3600,VP1,full
Teschovirus,3608,3664,2A,full
Teschovirus,3665,4163,2B,full
Teschovirus,4164,5139,2C,full
Teschovirus,5140,5468,3A,full
Teschovirus,5469,5547,3B,full
Teschovirus,5548,6185,3C,full
Teschovirus,6186,7562,3D,full
