Position,Coverage,rPM,rPM_log10
1,1,0.030888985,-1.510196362
2,1,0.030888985,-1.510196362
3,1,0.030888985,-1.510196362
4,1,0.030888985,-1.510196362
5,1,0.030888985,-1.510196362
6,1,0.030888985,-1.510196362
7,1,0.030888985,-1.510196362
8,1,0.030888985,-1.510196362
9,1,0.030888985,-1.510196362
10,1,0.030888985,-1.510196362
11,1,0.030888985,-1.510196362
12,1,0.030888985,-1.510196362
13,1,0.030888985,-1.510196362
14,1,0.030888985,-1.510196362
15,1,0.030888985,-1.510196362
16,1,0.030888985,-1.510196362
17,1,0.030888985,-1.510196362
18,1,0.030888985,-1.510196362
19,1,0.030888985,-1.510196362
20,1,0.030888985,-1.510196362
21,1,0.030888985,-1.510196362
22,1,0.030888985,-1.510196362
23,1,0.030888985,-1.510196362
24,1,0.030888985,-1.510196362
25,1,0.030888985,-1.510196362
26,1,0.030888985,-1.510196362
27,1,0.030888985,-1.510196362
28,1,0.030888985,-1.510196362
29,1,0.030888985,-1.510196362
30,1,0.030888985,-1.510196362
31,1,0.030888985,-1.510196362
32,1,0.030888985,-1.510196362
33,1,0.030888985,-1.510196362
34,1,0.030888985,-1.510196362
35,1,0.030888985,-1.510196362
36,1,0.030888985,-1.510196362
37,2,0.06177797,-1.209166367
38,2,0.06177797,-1.209166367
39,2,0.06177797,-1.209166367
40,2,0.06177797,-1.209166367
41,2,0.06177797,-1.209166367
42,2,0.06177797,-1.209166367
43,2,0.06177797,-1.209166367
44,2,0.06177797,-1.209166367
45,2,0.06177797,-1.209166367
46,2,0.06177797,-1.209166367
47,2,0.06177797,-1.209166367
48,2,0.06177797,-1.209166367
49,2,0.06177797,-1.209166367
50,2,0.06177797,-1.209166367
51,2,0.06177797,-1.209166367
52,2,0.06177797,-1.209166367
53,2,0.06177797,-1.209166367
54,2,0.06177797,-1.209166367
55,2,0.06177797,-1.209166367
56,2,0.06177797,-1.209166367
57,2,0.06177797,-1.209166367
58,2,0.06177797,-1.209166367
59,2,0.06177797,-1.209166367
60,2,0.06177797,-1.209166367
61,2,0.06177797,-1.209166367
62,2,0.06177797,-1.209166367
63,2,0.06177797,-1.209166367
64,2,0.06177797,-1.209166367
65,2,0.06177797,-1.209166367
66,4,0.12355594,-0.908136371
67,5,0.154444925,-0.811226358
68,7,0.216222895,-0.665098322
69,7,0.216222895,-0.665098322
70,7,0.216222895,-0.665098322
71,7,0.216222895,-0.665098322
72,7,0.216222895,-0.665098322
73,7,0.216222895,-0.665098322
74,7,0.216222895,-0.665098322
75,9,0.278000865,-0.555953853
76,9,0.278000865,-0.555953853
77,9,0.278000865,-0.555953853
78,9,0.278000865,-0.555953853
