Position,Coverage,rPM,rPM
1,1,0.021578232,-1.665984142
2,1,0.021578232,-1.665984142
3,1,0.021578232,-1.665984142
4,1,0.021578232,-1.665984142
5,1,0.021578232,-1.665984142
6,1,0.021578232,-1.665984142
7,1,0.021578232,-1.665984142
8,1,0.021578232,-1.665984142
9,1,0.021578232,-1.665984142
10,1,0.021578232,-1.665984142
11,1,0.021578232,-1.665984142
12,2,0.043156464,-1.364954146
13,2,0.043156464,-1.364954146
14,2,0.043156464,-1.364954146
15,2,0.043156464,-1.364954146
16,2,0.043156464,-1.364954146
17,2,0.043156464,-1.364954146
18,2,0.043156464,-1.364954146
19,2,0.043156464,-1.364954146
20,2,0.043156464,-1.364954146
21,2,0.043156464,-1.364954146
22,2,0.043156464,-1.364954146
23,2,0.043156464,-1.364954146
24,2,0.043156464,-1.364954146
25,2,0.043156464,-1.364954146
26,2,0.043156464,-1.364954146
27,2,0.043156464,-1.364954146
28,2,0.043156464,-1.364954146
29,2,0.043156464,-1.364954146
30,2,0.043156464,-1.364954146
31,2,0.043156464,-1.364954146
32,2,0.043156464,-1.364954146
33,2,0.043156464,-1.364954146
34,2,0.043156464,-1.364954146
35,2,0.043156464,-1.364954146
36,2,0.043156464,-1.364954146
37,2,0.043156464,-1.364954146
38,2,0.043156464,-1.364954146
39,2,0.043156464,-1.364954146
40,2,0.043156464,-1.364954146
41,2,0.043156464,-1.364954146
42,2,0.043156464,-1.364954146
43,3,0.064734696,-1.188862887
44,3,0.064734696,-1.188862887
45,3,0.064734696,-1.188862887
46,3,0.064734696,-1.188862887
47,3,0.064734696,-1.188862887
48,3,0.064734696,-1.188862887
49,3,0.064734696,-1.188862887
50,3,0.064734696,-1.188862887
51,3,0.064734696,-1.188862887
52,3,0.064734696,-1.188862887
53,3,0.064734696,-1.188862887
54,3,0.064734696,-1.188862887
55,3,0.064734696,-1.188862887
56,3,0.064734696,-1.188862887
57,3,0.064734696,-1.188862887
58,3,0.064734696,-1.188862887
59,3,0.064734696,-1.188862887
60,3,0.064734696,-1.188862887
61,3,0.064734696,-1.188862887
62,3,0.064734696,-1.188862887
63,3,0.064734696,-1.188862887
64,3,0.064734696,-1.188862887
65,3,0.064734696,-1.188862887
66,3,0.064734696,-1.188862887
67,3,0.064734696,-1.188862887
68,3,0.064734696,-1.188862887
69,3,0.064734696,-1.188862887
70,3,0.064734696,-1.188862887
71,3,0.064734696,-1.188862887
72,3,0.064734696,-1.188862887
73,3,0.064734696,-1.188862887
74,4,0.086312928,-1.063924151
75,4,0.086312928,-1.063924151
76,4,0.086312928,-1.063924151
77,4,0.086312928,-1.063924151
78,4,0.086312928,-1.063924151
79,4,0.086312928,-1.063924151
80,4,0.086312928,-1.063924151
81,4,0.086312928,-1.063924151
82,4,0.086312928,-1.063924151
83,4,0.086312928,-1.063924151
84,4,0.086312928,-1.063924151
85,4,0.086312928,-1.063924151
86,4,0.086312928,-1.063924151
87,4,0.086312928,-1.063924151
88,4,0.086312928,-1.063924151
89,4,0.086312928,-1.063924151
90,4,0.086312928,-1.063924151
91,4,0.086312928,-1.063924151
92,4,0.086312928,-1.063924151
93,4,0.086312928,-1.063924151
94,4,0.086312928,-1.063924151
95,5,0.107891159,-0.967014142
96,5,0.107891159,-0.967014142
97,5,0.107891159,-0.967014142
98,5,0.107891159,-0.967014142
99,5,0.107891159,-0.967014142
100,5,0.107891159,-0.967014142
101,5,0.107891159,-0.967014142
102,5,0.107891159,-0.967014142
103,5,0.107891159,-0.967014142
104,5,0.107891159,-0.967014142
105,5,0.107891159,-0.967014142
106,5,0.107891159,-0.967014142
107,5,0.107891159,-0.967014142
108,5,0.107891159,-0.967014142
109,5,0.107891159,-0.967014142
110,5,0.107891159,-0.967014142
111,5,0.107891159,-0.967014142
112,5,0.107891159,-0.967014142
113,5,0.107891159,-0.967014142
114,5,0.107891159,-0.967014142
115,5,0.107891159,-0.967014142
116,5,0.107891159,-0.967014142
117,5,0.107891159,-0.967014142
118,5,0.107891159,-0.967014142
119,5,0.107891159,-0.967014142
120,5,0.107891159,-0.967014142
121,5,0.107891159,-0.967014142
122,5,0.107891159,-0.967014142
123,5,0.107891159,-0.967014142
124,5,0.107891159,-0.967014142
125,5,0.107891159,-0.967014142
126,5,0.107891159,-0.967014142
127,5,0.107891159,-0.967014142
128,5,0.107891159,-0.967014142
129,5,0.107891159,-0.967014142
130,5,0.107891159,-0.967014142
131,5,0.107891159,-0.967014142
132,5,0.107891159,-0.967014142
133,5,0.107891159,-0.967014142
134,5,0.107891159,-0.967014142
135,5,0.107891159,-0.967014142
136,5,0.107891159,-0.967014142
137,5,0.107891159,-0.967014142
138,5,0.107891159,-0.967014142
139,5,0.107891159,-0.967014142
140,5,0.107891159,-0.967014142
141,5,0.107891159,-0.967014142
142,5,0.107891159,-0.967014142
143,5,0.107891159,-0.967014142
144,5,0.107891159,-0.967014142
145,5,0.107891159,-0.967014142
146,5,0.107891159,-0.967014142
147,4,0.086312928,-1.063924151
148,4,0.086312928,-1.063924151
149,4,0.086312928,-1.063924151
150,4,0.086312928,-1.063924151
151,4,0.086312928,-1.063924151
152,4,0.086312928,-1.063924151
153,4,0.086312928,-1.063924151
154,4,0.086312928,-1.063924151
155,4,0.086312928,-1.063924151
156,4,0.086312928,-1.063924151
157,4,0.086312928,-1.063924151
158,3,0.064734696,-1.188862887
159,6,0.129469391,-0.887832895
160,6,0.129469391,-0.887832895
161,6,0.129469391,-0.887832895
162,6,0.129469391,-0.887832895
163,6,0.129469391,-0.887832895
164,6,0.129469391,-0.887832895
165,6,0.129469391,-0.887832895
166,6,0.129469391,-0.887832895
167,6,0.129469391,-0.887832895
168,6,0.129469391,-0.887832895
169,6,0.129469391,-0.887832895
170,6,0.129469391,-0.887832895
171,6,0.129469391,-0.887832895
172,6,0.129469391,-0.887832895
173,6,0.129469391,-0.887832895
174,6,0.129469391,-0.887832895
175,6,0.129469391,-0.887832895
176,6,0.129469391,-0.887832895
177,7,0.151047623,-0.820886105
178,7,0.151047623,-0.820886105
179,7,0.151047623,-0.820886105
180,7,0.151047623,-0.820886105
181,7,0.151047623,-0.820886105
182,7,0.151047623,-0.820886105
183,7,0.151047623,-0.820886105
184,7,0.151047623,-0.820886105
185,7,0.151047623,-0.820886105
186,7,0.151047623,-0.820886105
187,7,0.151047623,-0.820886105
188,7,0.151047623,-0.820886105
189,6,0.129469391,-0.887832895
190,6,0.129469391,-0.887832895
191,6,0.129469391,-0.887832895
192,6,0.129469391,-0.887832895
193,6,0.129469391,-0.887832895
194,6,0.129469391,-0.887832895
195,6,0.129469391,-0.887832895
196,6,0.129469391,-0.887832895
197,6,0.129469391,-0.887832895
198,6,0.129469391,-0.887832895
199,6,0.129469391,-0.887832895
200,6,0.129469391,-0.887832895
201,6,0.129469391,-0.887832895
202,6,0.129469391,-0.887832895
203,6,0.129469391,-0.887832895
204,6,0.129469391,-0.887832895
205,6,0.129469391,-0.887832895
206,6,0.129469391,-0.887832895
207,6,0.129469391,-0.887832895
208,6,0.129469391,-0.887832895
209,6,0.129469391,-0.887832895
210,6,0.129469391,-0.887832895
211,6,0.129469391,-0.887832895
212,6,0.129469391,-0.887832895
213,6,0.129469391,-0.887832895
214,6,0.129469391,-0.887832895
215,6,0.129469391,-0.887832895
216,6,0.129469391,-0.887832895
217,6,0.129469391,-0.887832895
218,6,0.129469391,-0.887832895
219,6,0.129469391,-0.887832895
220,5,0.107891159,-0.967014142
221,5,0.107891159,-0.967014142
222,5,0.107891159,-0.967014142
223,5,0.107891159,-0.967014142
224,5,0.107891159,-0.967014142
225,5,0.107891159,-0.967014142
226,5,0.107891159,-0.967014142
227,5,0.107891159,-0.967014142
228,5,0.107891159,-0.967014142
229,5,0.107891159,-0.967014142
230,5,0.107891159,-0.967014142
231,5,0.107891159,-0.967014142
232,5,0.107891159,-0.967014142
233,5,0.107891159,-0.967014142
234,5,0.107891159,-0.967014142
235,5,0.107891159,-0.967014142
236,5,0.107891159,-0.967014142
237,5,0.107891159,-0.967014142
238,5,0.107891159,-0.967014142
239,5,0.107891159,-0.967014142
240,5,0.107891159,-0.967014142
241,4,0.086312928,-1.063924151
242,4,0.086312928,-1.063924151
243,4,0.086312928,-1.063924151
244,4,0.086312928,-1.063924151
245,4,0.086312928,-1.063924151
246,4,0.086312928,-1.063924151
247,4,0.086312928,-1.063924151
248,4,0.086312928,-1.063924151
249,4,0.086312928,-1.063924151
250,4,0.086312928,-1.063924151
251,4,0.086312928,-1.063924151
252,4,0.086312928,-1.063924151
253,4,0.086312928,-1.063924151
254,4,0.086312928,-1.063924151
255,4,0.086312928,-1.063924151
256,4,0.086312928,-1.063924151
257,4,0.086312928,-1.063924151
258,4,0.086312928,-1.063924151
259,4,0.086312928,-1.063924151
260,4,0.086312928,-1.063924151
261,4,0.086312928,-1.063924151
262,4,0.086312928,-1.063924151
263,4,0.086312928,-1.063924151
264,4,0.086312928,-1.063924151
265,4,0.086312928,-1.063924151
266,4,0.086312928,-1.063924151
267,4,0.086312928,-1.063924151
268,4,0.086312928,-1.063924151
