Position,Coverage,rPM
1,1,0.047840023
2,1,0.047840023
3,1,0.047840023
4,1,0.047840023
5,1,0.047840023
6,1,0.047840023
7,1,0.047840023
8,1,0.047840023
9,1,0.047840023
10,1,0.047840023
11,1,0.047840023
12,1,0.047840023
13,1,0.047840023
14,1,0.047840023
15,1,0.047840023
16,1,0.047840023
17,1,0.047840023
18,1,0.047840023
19,1,0.047840023
20,1,0.047840023
21,1,0.047840023
22,1,0.047840023
23,1,0.047840023
24,1,0.047840023
25,1,0.047840023
26,1,0.047840023
27,1,0.047840023
28,1,0.047840023
29,1,0.047840023
30,1,0.047840023
31,1,0.047840023
32,1,0.047840023
33,1,0.047840023
34,1,0.047840023
35,1,0.047840023
36,1,0.047840023
37,1,0.047840023
38,1,0.047840023
39,1,0.047840023
40,1,0.047840023
41,1,0.047840023
42,1,0.047840023
43,1,0.047840023
44,1,0.047840023
45,1,0.047840023
46,1,0.047840023
47,1,0.047840023
48,1,0.047840023
49,1,0.047840023
50,1,0.047840023
51,1,0.047840023
52,1,0.047840023
53,1,0.047840023
54,1,0.047840023
55,1,0.047840023
56,1,0.047840023
57,1,0.047840023
58,1,0.047840023
59,1,0.047840023
60,1,0.047840023
61,1,0.047840023
62,1,0.047840023
63,1,0.047840023
64,1,0.047840023
65,1,0.047840023
66,1,0.047840023
67,1,0.047840023
68,2,0.095680046
69,2,0.095680046
70,2,0.095680046
71,2,0.095680046
72,2,0.095680046
73,2,0.095680046
74,2,0.095680046
75,2,0.095680046
76,2,0.095680046
77,2,0.095680046
78,2,0.095680046
79,2,0.095680046
80,2,0.095680046
81,2,0.095680046
82,2,0.095680046
83,2,0.095680046
84,2,0.095680046
85,2,0.095680046
86,2,0.095680046
87,2,0.095680046
88,3,0.143520069
89,3,0.143520069
90,3,0.143520069
91,3,0.143520069
92,3,0.143520069
93,3,0.143520069
94,3,0.143520069
95,3,0.143520069
96,3,0.143520069
97,3,0.143520069
98,4,0.191360092
99,4,0.191360092
100,4,0.191360092
101,4,0.191360092
102,4,0.191360092
103,4,0.191360092
104,4,0.191360092
105,4,0.191360092
106,4,0.191360092
107,4,0.191360092
108,4,0.191360092
109,4,0.191360092
110,4,0.191360092
111,4,0.191360092
112,4,0.191360092
