,,,Breakpoint Positions,,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to OQ818328,, , , , , , Detection Methods,,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq,
1,2~,102,264,6,156,93,254,^PP766469,Bat_picornavirus_3,OQ818328,2.39E-04,NS,1.25E-04,NS,NS,NS,NS,NS,3.48E-02,****
1,,,,,,,,,,OQ818325,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,4~,171,638,164,550,161,537,^OP963617.1,OQ818325,Shanbavirus_A,1.28E-02,NS,NS,NS,NS,NS,NS,NS,NS,
2,,,,,,,,,OQ818328,,,,,,,,,,,
2,,,,,,,,,PP766471,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,5~,513,616,494,528,485,520,^OP963617.1,PP766469,Bat_picornavirus_3,NS,0.032119247,NS,NS,NS,NS,NS,NS,NS,
,,,,,,,,,,,,,,,,,,,,
4,6~,2255,2581,2023,2343,2084,2404,^PP766471,OQ818325,Unknown (Bat_picornavirus_3),NS,NS,2.93E-02,2.96E-03,NS,NS,NS,NS,NS,
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,,
               recombination event).,,,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using this method.,,,,,,,,,,,,,,,,,,,,
