,,,Breakpoint Positions,,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to OQ818322,, , , , , , Detection Methods,,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq,
1,1~,8423,8488,8205,8240,8269,8334,OP287812.1,NC_034971.1,OQ818322,3.59E-05,1.36E-14,4.14E-20,1.47E-04,1.28E-03,NS,NS,NS,1.75E-08,
1,,,,,,,,,,PP766456,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,2~,8374,8488,7645,7702,8228,8334,^Rhinolophus_kobuvirus,Unknown (OQ818322),NC_034971.1,1.16E-05,NS,1.47E-04,NS,2.73E-02,NS,NS,NS,4.43E-02,
2,,,,,,,,,Unknown(PP766456),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,3~,3338,3639,3195,3490,3254,3549,^PP766456,Rhinolophus_kobuvirus,Unknown (NC_034971.1),3.27E-05,NS,1.12E-02,2.70E-02,4.81E-03,NS,NS,NS,1.97E-04,
3,,,,,,,,OQ818322,,,,,,,,,,,,
3,,,,,,,,OP287812.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,4~,4669,5714,4549,5594,4549,5594,^OQ818322,Unknown (NC_034971.1),Rhinolophus_kobuvirus,3.56E-03,NS,1.33E-03,2.85E-03,5.80E-03,NS,NS,NS,NS,****
4,,,,,,,,PP766456,,,,,,,,,,,,
4,,,,,,,,OP287812.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,,
               recombination event).,,,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using this method.,,,,,,,,,,,,,,,,,,,,
