,,,Breakpoint Positions,,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to PP766455,, , , , , , Detection Methods,,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq,****
1,1~,7740,790,7224,560,7265,607,^NC_028366.1,PP766455,Unknown (NC_028981.1),1.20E-04,8.69E-07,1.47E-08,0.039834974,3.80E-03,NS,NS,NS,NS,
1,,,,,,,,,NC_028981.1,Unknown(PP766455),,,,,,,,,,
1,,,,,,,,,,Unknown(PP766457),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,3~, 824*,7739, 576*,7223, 626*,7264,^NC_028366.1,PP766455,Hipposideros_bat_hepatovirus,2.45E-02,NS,4.63E-03,5.22E-03,5.79E-03,NS,NS,NS,3.00E-03,
,,,,,,,,,,,,,,,,,,,,
3,4~, 841*,1373, 756*,1288, 643*,1175,^Hipposideros_bat_hepatovirus,Unknown (PP766455),NC_028366.1,NS,NS,NS,NS,NS,NS,NS,NS,6.64E-03,
3,,,,,,,,,,PP766455,,,,,,,,,,
3,,,,,,,,,,PP766457,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,5~,3753,4874,3440,4511,3396,4467,^NC_028981.1,PP766455,Unknown (NC_038313.1),1.50E-02,NS,NS,9.72E-04,1.20E-02,NS,NS,NS,NS,
4,,,,,,,,,NC_038313.1,Unknown(PP766455),,,,,,,,,,
4,,,,,,,,,,Unknown(PP766457),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,7~,1294, 1432*,1013, 1151*,1096, 1234*,^NC_038313.1,PP766457,Hipposideros_bat_hepatovirus,1.97E-02,NS,NS,NS,NS,NS,NS,NS,NS,
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,,
               recombination event).,,,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using this method.,,,,,,,,,,,,,,,,,,,,
