,,,Breakpoint Positions,,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to OQ818321,, , , , , , Detection Methods,,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq,
1,3~,8018, 8084*,7423, 7487*,7664, 7710*,^Pteropodidae_bat_sapelovirus,Unknown (OQ818321),OQ818329,1.90E-05,NS,NS,NS,NS,NS,NS,NS,6.49E-04,
,,,,,,,,,,,,,,,,,,,,
2,4~,159,554,34,376,99,439,^OQ818329,NC_033820.1,Unknown (NC_003987.1),NS,7.39E-03,1.41E-03,2.65E-04,2.64E-02,NS,NS,NS,NS,****
2,,,,,,,,,OQ818320,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,5~,4710,5092,4390,4760,4426,4793,^OQ818329,NC_033820.1,Unknown (NC_003987.1),1.61E-03,3.19E-04,NS,0.021897395,2.71E-02,NS,NS,NS,NS,****
3,,,,,,,,,OQ818320,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,6~,7317,7651,6967,7301,6967,7301,OQ818321,NC_033820.1,Unknown (OQ818329),6.38E-03,NS,NS,NS,NS,NS,NS,NS,NS,
,,,,,,,,,,,,,,,,,,,,
5,7~, 7716*,7908, 7366*,7558, 7366*,7558,OQ818321,OQ818320,OQ818329,1.62E-02,NS,NS,NS,NS,NS,NS,NS,NS,
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,,
               recombination event).,,,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using this method.,,,,,,,,,,,,,,,,,,,,
