BAT PICORNAVIRUS CLADE,,,,,,,,,,,,,,,,,,,
,,,Breakpoint Positions,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to bat_picornavirus_3,, , , , , , Detection Methods,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
1,1~,8628,212,7806,123,8012,209,^r_aegypticus_africa,PP711946,PP711912,NS,NS,1.78E-16,1.48E-02,NS,NS,NS,NS,1.78E-07
,,,,,,,,,,,,,,,,,,,
2,2~,8600,848,7706,180,7991,811,^shanbavirus_a,Unknown (rhinolophus_BtSY4),bat_picornavirus_3,1.02E-07,NS,8.69E-08,1.31E-03,3.55E-03,NS,NS,NS,3.54E-05
,,,,,,,,,,,,,,,,,,,
3,7~,295,362,117,184,281,345,^rhinolophus_BtSY4,PP711912,Unknown (OQ818328),7.56E-03,NS,NS,8.86E-03,1.28E-03,NS,NS,NS,NS
3,,,,,,,,,,Unknown(OQ818325),,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,8~,7566,7836,6885,7153,7010,7278,r_aegypticus_africa,Unknown (OQ818328),OQ818325,NS,NS,9.66E-03,NS,NS,NS,NS,NS,NS
,,,,,,,,,,,,,,,,,,,
5,9~,3884,4134,3238,3452,3534,3748,^PP766469,Unknown (OQ818325),PP711912,1.70E-02,NS,2.07E-02,NS,NS,NS,NS,NS,NS
,,,,,,,,,,,,,,,,,,,
6,12~, 1373*,1755, 962*,1311, 1309*,1643,^PP766469,OQ818325,Unknown (rhinolophus_BtSY4),NS,NS,1.27E-02,3.42E-04,1.71E-02,NS,NS,NS,NS
6,,,,,,,,,OQ818328,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,13~, 1873*,2043, 1548*,1709, 1761*,1910,^rhinolophus_BtSY4,PP766469,shanbavirus_a,1.52E-02,NS,NS,NS,NS,NS,NS,NS,NS
,,,,,,,,,,,,,,,,,,,
BAT PICORNAVIRUS,,,,,,,,,,,,,,,,,,,
,,,Breakpoint Positions,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to HQ595345.1,, , , , , , Detection Methods,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
1,3~,8322,8479,6709,6800,7471,7594,^KJ641690.1,Unknown (HQ595345.1),OP963617.1,1.96E-06,4.20E-09,NS,NS,NS,NS,NS,NS,NS
1,,,,,,,,KJ641699.1,Unknown(NC_015934.1),,,,,,,,,,
1,,,,,,,,,Unknown(KJ641693.1),,,,,,,,,,
1,,,,,,,,,Unknown(OQ363775.1),,,,,,,,,,
1,,,,,,,,,Unknown(OQ363764.1),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,4~,4590,4782,3971,4160,3831,4023,^OP963617.1,PP745912,Unknown (OQ363764.1),1.79E-04,NS,NS,NS,NS,NS,NS,NS,NS
