name,date
HQ585111.1,2009-09-03
HQ595340.1,2008-12-19
HQ595341.1,2008-10-17
HQ595342.1,2005-09-05
HQ595343.1,2005-09-01
HQ595344.1,2008-09-12
HQ595345.1,2008-09-12
JN899072.1,2011-10-21
JN899074.1,2011-10-21
JN899075.1,2011-10-21
JQ814851.1,2010-12-15
JQ814852.1,2010-10-15
KJ641684.1,2010-12-15
KJ641685.1,2010-12-15
KJ641686.1,2010-10-15
KJ641687.1,2012-11-15
KJ641688.1,2012-11-15
KJ641689.1,2012-11-15
KJ641690.1,2012-12-15
KJ641691.1,2012-12-15
KJ641692.1,2014-04-15
KJ641693.1,2013-03-15
KJ641694.1,2010-12-15
KJ641695.1,2012-12-15
KJ641696.1,2013-03-15
KJ641697.1,2013-03-15
KJ641698.1,2011-09-15
KJ641699.1,2011-09-15
KJ641700.1,2012-12-15
KJ641701.1,2012-11-15
KJ641702.1,2012-11-15
KJ641703.1,2010-10-15
KJ790198.1,2010-12-15
KP054273.1,2013-07-15
KP054274.1,2013-07-15
KP054275.1,2013-07-15
KP054276.1,2013-07-15
KP054277.1,2013-07-15
KP054278.1,2013-07-15
KP100644.1,2013-07-15
KT452714.1,2010-07-15
KT452729.1,2010-07-15
KT452730.1,2010-07-15
KT452742.1,2014-07-15
KU712496.1,2013-07-15
KU712497.1,2013-07-15
KX420938.1,2012-10-24
KX420952.1,2012-10-15
KX644936.1,2013-12-15
KX644937.1,2013-12-15
KX644938.1,2013-12-15
KX759618.1,2014-01-15
KX759619.1,2014-01-15
KX759620.1,2014-01-15
KX759621.1,2014-01-15
KX759622.1,2014-01-15
KX759623.1,2014-01-15
MF352407.1,2012-07-15
MF352415.1,2012-07-15
MF352416.1,2012-07-15
MF352419.1,2012-07-15
MF352423.1,2012-07-15
MF352427.1,2012-07-15
MF352431.1,2012-07-15
MF373609.1,2016-06-15
MF947429.1,2014-06-11
MF947430.1,2014-06-11
MF947431.1,2014-06-11
MF947432.1,2014-06-11
MF947433.1,2014-06-17
MF947434.1,2014-06-11
MF947435.1,2014-06-11
MF947436.1,2014-06-11
MF947437.1,2015-02-06
MF947438.1,2014-09-18
MF947439.1,2014-09-11
MF947440.1,2014-09-14
MG559674.1,2011-09-29
MG888045.1,2017-02-15
MK348056.1,2016-07-15
MK468720.1,2019-01-28
MN602325.1,2017-07-15
MW249015.1,2016-07-15
MW249017.1,2016-07-15
MW450838.1,2020-02-20
MZ218056.1,2018-10-15
MZ218061.1,2014-10-15
