Accession,old_tip_label,Isolate,Species,Genus,Family,Country,Host,bat_Host,Collection_Date,novel
NC_000940.1,NC_000940.1,,Sapporo virus,Sapovirus,Caliciviridae,USA,Sus scrofa,0,1999,0
NC_001366.1,NC_001366.1,,Cardiovirus B,Cardiovirus,Picornaviridae,United Kingdom,Homo sapiens,0,1990,0
NC_001430.1,NC_001430.1,,Enterovirus D,Enterovirus,Picornaviridae,United Kingdom,Homo sapiens,0,2004,0
NC_001472.1,NC_001472.1,,Enterovirus B,Enterovirus,Picornaviridae,United Kingdom,Homo sapiens,0,2021,0
NC_001479.1,NC_001479.1,,Cardiovirus A,Cardiovirus,Picornaviridae,USA,Homo sapiens,0,2000,0
NC_001481.2,NC_001481.2,,Feline calicivirus,Vesivirus,Caliciviridae,USA,Felidae,0,2000,0
NC_001489.1,NC_001489.1,,Hepatovirus A,Hepatovirus,Picornaviridae,USA,Homo sapiens,0,1987,0
NC_001490.1,NC_001490.1,,Rhinovirus B,Enterovirus,Picornaviridae,USA,Homo sapiens,0,1984,0
NC_001543.1,NC_001543.1,,Rabbit hemorrhagic disease virus,Lagovirus,Caliciviridae,Germany,Oryctolagus,0,2000,0
NC_001612.1,NC_001612.1,,Enterovirus A,Enterovirus,Picornaviridae,Finland,Homo sapiens,0,1994,0
NC_001617.1,NC_001617.1,,Rhinovirus A,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2004,0
NC_001632.1,NC_001632.1,,Rice tungro spherical virus,Waikavirus,Secoviridae,USA,Oryza sativa,0,2000,0
NC_001834.1,NC_001834.1,,Drosophila C virus,Cripavirus,Dicistroviridae,Australia,Drosophila,0,1997,0
NC_001859.1,NC_001859.1,,Enterovirus E,Enterovirus,Picornaviridae,United Kingdom,Homo sapiens,0,1997,0
NC_001874.1,NC_001874.1,,Rhopalosiphum padi virus,Cripavirus,Dicistroviridae,USA,Rhopalosiphum padi,0,1997,0
NC_001918.1,NC_001918.1,A846/88,Aichivirus A,Kobuvirus,Picornaviridae,Japan,Homo sapiens,0,1998,0
NC_001959.2,NC_001959.2,,Norwalk virus,Norovirus,Caliciviridae,USA,Homo sapiens,0,1993,0
NC_002058.3,NC_002058.3,,Enterovirus C,Enterovirus,Picornaviridae,USA,Homo sapiens,0,1980,0
NC_002066.1,NC_002066.1,,Sacbrood virus,Iflavirus,Iflaviridae,USA,Apis,0,1998,0
NC_002548.1,NC_002548.1,,Acute bee paralysis virus,Aparavirus,Dicistroviridae,South Africa,Apis mellifera,0,1999,0
NC_002551.1,NC_002551.1,,Vesicular exanthema of swine virus,Vesivirus,Caliciviridae,USA,Sus scrofa,0,1996,0
NC_002615.1,NC_002615.1,,European brown hare syndrome virus,Lagovirus,Caliciviridae,France,Lepus europaeus,0,1996,0
NC_003003.1,NC_003003.1,ME,Broad bean wilt virus 2,Fabavirus,Secoviridae,Singapore,Vicia faba,0,2000,0
NC_003005.1,NC_003005.1,,Taura syndrome virus,Aparavirus,Dicistroviridae,France,Penaeus vannamei,0,2000,0
NC_003113.1,NC_003113.1,,Perina nuda virus,Iflavirus,Iflaviridae,China,Perina nuda,0,2000,0
NC_003445.1,NC_003445.1,,Strawberry mottle virus,Sadwavirus,Secoviridae,Netherlands,Fragaria _ ananassa,0,2001,0
NC_003446.1,NC_003446.1,,Strawberry mottle virus,Sadwavirus,Secoviridae,Netherlands,Fragaria _ ananassa,0,2001,0
NC_003495.1,NC_003495.1,,Bean pod mottle virus,Comovirus,Secoviridae,United Kingdom,Secoviridae,0,1991,0
NC_003496.1,NC_003496.1,,Bean pod mottle virus,Comovirus,Secoviridae,United Kingdom,Secoviridae,0,1996,0
NC_003502.1,NC_003502.1,,Blackcurrant reversion virus,Nepovirus,Secoviridae,Finland,Ribes nigrum,0,1997,0
NC_003509.1,NC_003509.1,,Blackcurrant reversion virus,Nepovirus,Secoviridae,Finland,Ribes nigrum,0,2001,0
NC_003545.1,NC_003545.1,,Cowpea severe mosaic virus,Comovirus,Secoviridae,USA,Vigna unguiculata,0,1992,0
NC_003549.1,NC_003549.1,,Cowpea mosaic virus,Comovirus,Secoviridae,USA,Vigna unguiculata,0,1985,0
NC_003550.1,NC_003550.1,,Cowpea mosaic virus,Comovirus,Secoviridae,USA,Vigna unguiculata,0,1983,0
NC_003615.1,NC_003615.1,,Grapevine fanleaf virus,Nepovirus,Secoviridae,France,Vitis,0,1991,0
NC_003621.1,NC_003621.1,,Grapevine chrome mosaic virus,Nepovirus,Secoviridae,France,Vitis,0,1989,0
NC_003622.1,NC_003622.1,,Grapevine chrome mosaic virus,Nepovirus,Secoviridae,France,Vitis,0,1989,0
NC_003623.1,NC_003623.1,,Grapevine fanleaf virus,Nepovirus,Secoviridae,France,Vitis,0,1989,0
NC_003626.1,NC_003626.1,,Maize chlorotic dwarf virus,Waikavirus,Secoviridae,USA,Zea mays,0,1996,0
NC_003628.1,NC_003628.1,P121,Parsnip yellow fleck virus,Sequivirus,Secoviridae,United Kingdom,Pastinaca sativa,0,1993,0
NC_003693.1,NC_003693.1,,Beet ringspot virus,Nepovirus,Secoviridae,USA,Solanum lycopersicum,0,1988,0
NC_003694.1,NC_003694.1,,Beet ringspot virus,Nepovirus,Secoviridae,USA,Secoviridae,0,1986,0
NC_003738.1,NC_003738.1,,Red clover mottle virus,Comovirus,Secoviridae,United Kingdom,Trifolium pratense,0,1986,0
NC_003741.1,NC_003741.1,,Red clover mottle virus,Comovirus,Secoviridae,United Kingdom,Secoviridae,0,1992,0
NC_003779.1,NC_003779.1,,Plautia stali intestine virus,Triatovirus,Dicistroviridae,Japan,Plautia stali,0,1997,0
NC_003781.1,NC_003781.1,,Infectious flacherie virus,Iflavirus,Iflaviridae,Japan,Bombyx mori,0,1997,0
NC_003782.1,NC_003782.1,,Himetobi P virus,Triatovirus,Dicistroviridae,Japan,Laodelphax striatellus,0,1998,0
