name,date
NC_000940.1,1999-09-03
NC_001366.1,1990-09-13
NC_001430.1,2009-09-04
NC_001472.1,2007-01-21
NC_001479.1,2000-08-01
NC_001481.2,2000-08-01
NC_001489.1,1987-08-05
NC_001490.1,1984-07-01
NC_001543.1,2000-08-01
NC_001612.1,1994-01-31
NC_001617.1,2009-04-04
NC_001632.1,2000-06-01
NC_001834.1,1997-07-16
NC_001859.1,1997-12-09
NC_001874.1,1997-09-05
NC_001918.1,1998-01-07
NC_001959.2,1993-08-09
NC_002058.3,1980-07-01
NC_002066.1,1998-09-17
NC_002548.1,1999-04-11
NC_002551.1,1996-11-01
NC_002615.1,1996-02-16
NC_003003.1,2000-01-19
NC_003005.1,2000-06-14
NC_003113.1,2000-11-23
NC_003445.1,2001-07-17
NC_003446.1,2001-07-17
NC_003495.1,1991-07-01
NC_003496.1,1996-09-13
NC_003502.1,1997-08-19
NC_003509.1,2004-05-01
NC_003545.1,1992-07-01
NC_003549.1,1985-07-23
NC_003550.1,1983-07-01
NC_003615.1,1991-03-22
NC_003621.1,1989-05-02
NC_003622.1,1989-05-25
NC_003623.1,1989-10-13
NC_003626.1,1996-08-22
NC_003628.1,1993-01-14
NC_003693.1,1988-07-01
NC_003694.1,1986-07-01
NC_003738.1,1986-07-01
NC_003741.1,1992-03-10
NC_003779.1,1997-08-12
NC_003781.1,1997-02-06
NC_003782.1,1998-08-20
NC_003783.1,1999-08-17
NC_003784.1,1999-09-06
NC_003785.2,1997-12-19
NC_003787.1,1999-08-09
NC_003791.1,1999-08-09
NC_003799.1,2001-01-19
NC_003839.2,1991-07-19
NC_003840.1,1995-07-01
NC_003924.1,1999-12-20
NC_003976.2,2000-12-13
NC_003983.1,1996-03-25
NC_003985.1,1998-12-02
NC_003987.1,2008-07-01
NC_003988.1,1999-11-04
NC_003990.1,1997-12-17
NC_004064.1,2003-07-02
NC_004365.1,2008-08-02
NC_004421.1,2005-08-02
NC_004439.1,2004-02-02
NC_004441.1,2001-03-23
NC_004451.1,2001-11-30
NC_004541.1,2000-11-14
NC_004542.1,2000-08-01
NC_004807.1,2003-04-13
NC_004830.2,2006-12-02
NC_005092.1,2008-11-13
NC_005096.1,2008-07-03
NC_005097.1,1996-03-06
NC_005266.1,2003-05-20
NC_005281.1,2007-07-03
NC_005289.1,2002-04-30
NC_005290.1,2002-04-30
NC_006056.1,2001-08-01
NC_006057.1,2003-05-20
NC_006269.1,2004-07-23
NC_006271.1,2004-01-19
NC_006494.1,2003-07-03
NC_006553.1,2003-01-04
NC_006554.1,2004-04-21
NC_006559.1,2004-05-24
NC_006875.1,2003-08-20
NC_006964.1,2004-12-19
NC_006965.1,2007-08-04
NC_007522.1,2004-10-26
NC_007916.1,2005-05-20
NC_008029.1,2005-11-14
NC_008182.1,2005-12-28
NC_008250.2,2005-09-29
NC_008311.1,2011-08-05
NC_008580.1,2004-11-30
NC_008714.1,2003-07-29
NC_009013.1,2007-01-03
NC_009025.1,2009-01-04
NC_009448.2,2006-07-21
NC_009530.1,2007-03-22
NC_009757.1,2006-12-26
NC_009758.1,2006-12-26
NC_009891.1,2009-06-07
NC_009996.1,2007-04-27
NC_010354.1,2007-10-19
NC_010415.1,2000-12-06
NC_010624.1,2003-02-17
NC_010709.1,2003-02-07
NC_010810.1,2001-07-08
NC_010987.1,2007-01-07
NC_011050.1,2006-12-20
NC_011190.1,2007-09-16
NC_011349.1,2006-05-16
NC_011704.1,2005-01-07
NC_011829.1,2007-01-07
NC_011829.1,2007-08-05
NC_012212.1,2007-10-07
NC_012531.1,2001-01-06
NC_012699.1,1981-07-01
NC_012798.1,2011-05-08
NC_012800.1,2011-05-08
NC_012801.1,2011-05-08
NC_012802.1,2004-01-07
NC_012957.1,2002-10-16
NC_012986.1,2009-06-22
NC_013075.1,2002-05-09
NC_013218.1,2001-08-27
NC_013695.1,2007-07-16
NC_014137.1,2001-11-07
NC_014411.1,2001-11-07
NC_014412.1,2001-11-07
NC_014413.1,2007-01-04
NC_014793.1,1987-07-01
NC_015414.1,2009-02-15
NC_015492.1,2003-08-19
NC_015626.1,2009-12-08
NC_015934.1,2007-01-10
NC_015936.1,2008-12-19
NC_015940.1,2009-06-05
NC_015941.1,2007-08-24
NC_016156.1,2007-01-10
NC_016403.1,2006-07-11
NC_016405.1,2011-01-10
NC_016443.1,2010-12-15
NC_016769.1,2007-01-08
NC_016964.1,2011-10-21
NC_017936.1,2011-11-18
NC_017939.1,2011-12-22
NC_018226.1,2007-01-10
NC_018383.1,2005-06-03
