FileName: D:\all\sapelovirus.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","OQ818320"
"Ref","OQ818321","OQ818321"
"Ref","OQ818329","OQ818329"
"Ref","KJ641689","KJ641689"
"Ref","KJ641696","KJ641696"
"Ref","MF352431","MF352431"
"Ref","KX644938","KX644938"


"CenterPos","OQ818321","OQ818329","KJ641689","KJ641696","MF352431","KX644938"
"100","-1","-1","-1","-1","-1","-1"
"120","-1","-1","-1","-1","-1","-1"
"140","-1","-1","-1","-1","-1","-1"
"160","-1","-1","-1","-1","-1","-1"
"180","-1","-1","-1","-1","-1","-1"
"200","-1","-1","-1","-1","-1","-1"
"220","-1","-1","-1","-1","-1","-1"
"240","-1","-1","-1","-1","-1","-1"
"260","-1","-1","-1","-1","-1","-1"
"280","-1","-1","-1","-1","-1","-1"
"300","-1","-1","-1","-1","-1","-1"
"320","-1","-1","-1","-1","-1","-1"
"340","-1","-1","-1","-1","-1","-1"
"360","-1","-1","-1","-1","-1","-1"
"380","-1","-1","-1","-1","-1","-1"
"400","-1","-1","-1","-1","-1","-1"
"420","-1","-1","-1","-1","-1","-1"
"440","-1","-1","-1","-1","-1","-1"
"460","-1","-1","-1","-1","-1","-1"
"480","-1","-1","-1","-1","-1","-1"
"500","-1","-1","-1","-1","-1","-1"
"520","-1","-1","-1","-1","-1","-1"
"540","-1","-1","-1","-1","-1","-1"
"560","-1","-1","-1","-1","-1","-1"
"580","-1","-1","-1","-1","-1","-1"
"600","-1","-1","-1","-1","-1","-1"
"620","-1","-1","-1","-1","-1","-1"
"640","-1","-1","-1","-1","-1","-1"
"660","-1","-1","-1","-1","-1","-1"
"680","-1","-1","-1","-1","-1","-1"
"700","-1","-1","-1","-1","-1","-1"
"720","-1","-1","-1","-1","-1","-1"
"740","-1","-1","-1","-1","-1","-1"
"760","-1","-1","-1","-1","-1","-1"
"780","-1","-1","-1","-1","-1","-1"
"800","-1","-1","-1","-1","-1","-1"
"820","-1","-1","-1","-1","-1","-1"
"840","-1","-1","-1","-1","-1","-1"
"860","-1","-1","-1","-1","-1","-1"
"880","-1","-1","-1","-1","-1","-1"
"900","-1","-1","-1","-1","-1","-1"
"920","-1","-1","-1","-1","-1","-1"
"940","-1","-1","-1","-1","-1","-1"
"960","-1","-1","-1","-1","-1","-1"
"980","-1","-1","-1","-1","-1","-1"
"1000","-1","-1","-1","-1","-1","-1"
"1020","-1","-1","-1","-1","-1","-1"
"1040","-1","-1","-1","-1","-1","-1"
"1060","-1","-1","-1","-1","-1","-1"
"1080","-1","-1","-1","-1","-1","-1"
"1100","-1","-1","-1","-1","-1","-1"
"1120","-1","-1","-1","-1","-1","-1"
"1140","-1","-1","-1","-1","-1","-1"
"1160","-1","-1","-1","-1","-1","-1"
"1180","0","0","4","0","0","96"
"1200","0","0","0","0","0","100"
"1220","0","0","0","0","0","100"
"1240","0","0","0","0","0","100"
"1260","0","0","0","0","0","100"
"1280","0","0","0","0","0","100"
"1300","0","0","0","0","0","100"
"1320","0","0","0","0","0","100"
"1340","0","0","0","0","0","100"
"1360","0","0","0","0","0","100"
"1380","0","0","0","0","0","100"
"1400","0","0","0","0","0","99"
"1420","0","0","0","0","0","99"
"1440","0","0","0","0","0","98"
"1460","1","1","0","0","0","95"
"1480","0","0","0","0","0","99"
"1500","0","1","0","0","0","93"
"1520","0","0","0","0","0","100"
"1540","0","0","0","0","0","100"
"1560","0","0","0","0","0","100"
"1580","0","0","0","0","0","100"
"1600","0","0","0","0","0","100"
"1620","0","0","0","0","0","100"
"1640","0","0","0","0","0","99"
"1660","0","0","0","0","0","100"
"1680","0","0","0","0","0","98"
"1700","0","0","0","0","0","100"
"1720","0","0","0","0","0","100"
"1740","0","0","0","0","0","100"
"1760","0","0","0","0","0","100"
"1780","0","0","0","0","0","100"
"1800","0","0","0","0","0","100"
"1820","0","0","0","0","0","100"
"1840","0","0","0","0","0","100"
"1860","0","0","0","0","0","100"
"1880","0","0","0","0","0","100"
"1900","0","0","0","0","0","100"
"1920","0","0","0","0","0","100"
"1940","0","0","0","0","0","100"
"1960","0","0","0","0","0","100"
"1980","0","0","0","0","0","100"
"2000","0","0","0","0","0","99"
"2020","0","0","0","0","0","100"
"2040","0","0","0","0","0","100"
"2060","0","0","0","0","0","100"
"2080","0","0","0","0","0","100"
"2100","0","0","0","0","0","100"
"2120","0","0","0","0","0","100"
"2140","0","0","0","0","0","100"
"2160","0","0","0","0","0","100"
"2180","0","0","0","0","0","100"
"2200","0","0","0","0","0","100"
"2220","0","0","0","0","0","100"
"2240","0","0","0","0","0","100"
"2260","0","0","0","0","0","100"
"2280","0","0","0","0","0","100"
"2300","0","0","0","0","0","100"
"2320","0","1","0","0","0","99"
"2340","0","0","0","0","0","100"
"2360","0","0","0","0","0","100"
"2380","0","0","0","0","0","100"
"2400","0","0","0","0","0","100"
"2420","0","0","0","0","0","100"
"2440","0","0","0","0","0","100"
"2460","0","0","0","0","0","100"
"2480","0","0","0","0","0","100"
"2500","0","0","0","0","0","100"
"2520","0","0","0","0","0","100"
"2540","0","0","0","0","0","100"
"2560","0","0","0","0","0","98"
"2580","0","0","0","0","0","100"
"2600","0","0","0","0","0","97"
"2620","0","0","0","0","0","100"
"2640","0","0","0","0","0","99"
"2660","1","0","0","0","0","98"
"2680","0","0","0","0","0","96"
"2700","3","0","0","0","0","93"
"2720","1","0","0","0","0","82"
"2740","0","0","0","0","0","99"
"2760","0","0","0","0","0","99"
"2780","0","0","0","0","0","100"
"2800","0","0","0","0","0","100"
"2820","0","0","0","0","0","100"
"2840","0","0","0","0","0","100"
"2860","0","0","0","0","0","100"
"2880","0","0","0","0","0","100"
"2900","0","0","0","0","0","100"
"2920","0","0","0","0","0","100"
"2940","0","0","0","0","0","100"
"2960","0","0","0","0","0","100"
"2980","1","0","0","1","0","98"
"3000","0","0","0","0","0","99"
"3020","0","0","0","0","0","98"
"3040","0","0","0","0","0","99"
"3060","0","0","0","0","0","98"
"3080","0","0","0","0","0","95"
"3100","0","0","0","0","0","94"
"3120","0","0","0","0","0","95"
"3140","0","0","0","0","0","98"
"3160","0","0","0","0","0","100"
"3180","0","0","0","0","0","100"
"3200","0","0","0","0","0","100"
"3220","0","0","0","0","0","100"
"3240","0","0","0","0","0","100"
"3260","0","0","0","0","0","100"
"3280","0","0","0","0","0","100"
"3300","0","0","0","0","0","100"
"3320","0","0","0","0","0","100"
"3340","0","0","0","0","0","100"
"3360","0","0","0","0","0","100"
"3380","0","1","0","0","0","98"
"3400","0","2","0","0","0","88"
"3420","0","2","0","0","0","95"
"3440","0","0","0","0","0","94"
"3460","0","7","0","0","0","87"
"3480","0","8","0","0","0","82"
"3500","0","6","0","0","0","88"
"3520","0","4","0","0","0","75"
"3540","0","0","0","0","0","89"
"3560","0","0","0","0","0","92"
"3580","0","0","0","0","0","93"
"3600","0","0","0","0","0","98"
"3620","0","0","0","0","0","99"
"3640","0","0","0","0","0","98"
"3660","0","0","0","0","0","100"
"3680","0","0","0","0","0","96"
"3700","0","0","0","0","0","98"
"3720","0","0","0","0","0","100"
"3740","0","0","0","0","0","100"
"3760","0","1","0","0","0","99"
"3780","0","0","0","0","0","99"
"3800","0","0","0","0","0","100"
"3820","0","0","0","0","0","99"
"3840","0","4","0","0","0","95"
"3860","0","1","0","0","0","98"
"3880","0","1","0","0","0","99"
"3900","1","1","0","0","0","98"
"3920","0","2","0","0","0","98"
"3940","0","4","0","0","0","96"
"3960","0","0","0","0","0","100"
"3980","0","3","0","0","0","97"
"4000","1","2","0","0","0","87"
"4020","0","9","0","0","0","74"
"4040","1","1","0","0","0","81"
"4060","1","1","0","0","0","88"
"4080","0","0","0","0","0","80"
"4100","0","0","0","0","0","93"
"4120","1","0","0","0","0","83"
"4140","1","0","0","0","0","90"
"4160","5","0","0","0","0","89"
"4180","5","0","0","0","0","93"
"4200","3","0","0","0","0","96"
"4220","1","0","0","0","0","98"
"4240","5","0","0","0","0","93"
"4260","3","0","0","0","0","97"
"4280","2","0","0","0","0","96"
"4300","6","0","0","0","0","92"
"4320","6","0","0","0","0","94"
"4340","3","0","0","0","0","97"
"4360","1","0","0","0","0","97"
"4380","2","0","0","0","0","95"
"4400","1","0","0","0","0","98"
"4420","0","0","0","0","0","99"
"4440","0","0","0","0","0","100"
"4460","0","0","0","0","0","100"
"4480","2","0","0","0","0","98"
"4500","0","0","0","0","0","100"
"4520","0","0","0","0","0","98"
"4540","1","0","0","0","0","99"
"4560","1","0","0","0","0","96"
"4580","3","0","0","0","0","91"
"4600","2","0","0","0","0","83"
"4620","11","0","0","0","0","80"
"4640","4","0","0","1","0","86"
"4660","5","0","0","0","0","94"
"4680","1","0","0","0","0","98"
"4700","1","0","0","0","0","99"
"4720","0","0","0","0","0","100"
"4740","0","0","0","0","0","100"
"4760","0","0","0","0","0","100"
"4780","0","0","0","0","0","99"
"4800","0","0","0","0","0","89"
"4820","0","0","0","0","0","90"
"4840","0","0","0","0","0","90"
"4860","0","0","0","0","0","98"
"4880","0","0","0","0","0","100"
"4900","0","0","0","0","0","100"
"4920","1","0","0","0","0","98"
"4940","1","0","0","0","0","99"
"4960","0","0","0","0","0","100"
"4980","0","0","0","0","0","100"
"5000","0","0","0","0","0","100"
"5020","0","0","0","0","0","100"
"5040","0","0","0","0","0","100"
"5060","0","0","0","0","0","100"
"5080","0","0","0","0","0","100"
"5100","0","0","0","0","0","100"
"5120","0","0","0","0","0","100"
"5140","0","0","0","0","0","100"
"5160","0","0","0","0","0","100"
"5180","0","0","0","0","0","100"
"5200","0","0","0","0","0","100"
"5220","0","0","0","0","0","100"
"5240","0","0","0","0","0","100"
"5260","0","0","0","0","0","100"
"5280","0","0","0","0","0","100"
"5300","0","0","0","0","0","100"
"5320","0","0","0","0","0","100"
"5340","0","0","0","0","0","100"
"5360","0","0","0","0","0","100"
"5380","0","0","0","0","0","100"
"5400","0","0","0","0","0","100"
"5420","0","0","0","0","0","100"
"5440","0","0","0","0","0","100"
"5460","0","0","0","0","0","100"
"5480","0","0","0","0","0","100"
"5500","0","0","0","0","0","100"
"5520","0","0","0","0","0","100"
"5540","0","0","0","0","0","100"
"5560","0","0","0","0","0","100"
"5580","0","0","0","0","0","100"
"5600","0","0","0","0","0","100"
"5620","0","0","0","0","0","100"
"5640","0","0","0","0","0","100"
"5660","0","0","0","0","0","100"
"5680","0","0","0","0","0","100"
"5700","0","0","0","0","0","100"
"5720","0","0","0","0","0","100"
"5740","0","0","0","0","0","100"
"5760","0","0","0","0","0","100"
"5780","0","0","0","0","0","100"
"5800","0","0","0","0","0","100"
"5820","0","0","0","0","0","99"
"5840","0","0","0","0","0","99"
"5860","0","0","0","0","0","100"
"5880","0","0","0","0","0","88"
"5900","0","4","0","0","0","56"
"5920","0","11","0","0","0","65"
"5940","0","27","0","0","0","38"
"5960","0","11","0","0","0","30"
"5980","0","7","0","0","0","55"
"6000","0","1","0","0","0","84"
"6020","0","0","0","0","0","86"
"6040","0","8","0","0","0","77"
"6060","0","3","0","0","0","97"
"6080","0","1","0","0","0","97"
"6100","0","0","0","0","0","100"
"6120","0","0","0","0","0","100"
"6140","0","0","0","0","0","100"
"6160","0","0","0","0","0","100"
"6180","0","0","0","0","0","100"
"6200","0","0","0","0","0","100"
"6220","0","0","0","0","0","100"
"6240","0","0","0","0","0","100"
"6260","0","0","0","0","0","100"
"6280","0","0","0","0","0","100"
"6300","0","0","0","0","0","99"
"6320","0","0","0","0","0","100"
"6340","0","0","0","0","0","100"
"6360","0","0","0","0","0","100"
"6380","0","0","0","0","0","100"
"6400","0","0","0","0","0","100"
"6420","0","0","0","0","0","100"
"6440","0","0","0","0","0","100"
"6460","0","0","0","0","0","100"
"6480","0","0","0","0","0","100"
"6500","0","0","0","0","0","100"
"6520","0","0","0","0","0","100"
"6540","0","0","0","0","0","100"
"6560","0","0","0","0","0","100"
"6580","0","0","0","0","0","100"
"6600","0","0","0","0","0","100"
"6620","0","0","0","0","0","100"
"6640","0","0","0","0","0","100"
"6660","0","0","0","0","0","100"
"6680","0","0","0","0","0","100"
"6700","0","0","0","0","0","100"
"6720","0","0","0","0","0","100"
"6740","0","0","0","0","0","100"
"6760","0","0","0","0","0","100"
"6780","0","0","0","0","0","100"
"6800","0","0","0","0","0","100"
"6820","0","0","0","0","0","100"
"6840","0","0","0","0","0","100"
"6860","0","0","0","0","0","100"
"6880","0","0","0","0","0","100"
"6900","0","0","0","0","0","100"
"6920","0","0","0","0","0","100"
"6940","0","0","0","0","0","100"
"6960","0","0","0","0","0","100"
"6980","0","0","0","0","0","100"
"7000","0","0","0","0","0","100"
"7020","0","0","0","0","0","100"
"7040","0","0","0","0","0","100"
"7060","0","0","0","0","0","100"
"7080","0","0","0","0","0","100"
"7100","0","0","0","0","0","100"
"7120","0","0","0","0","0","100"
"7140","0","0","0","0","0","100"
"7160","0","0","0","0","0","100"
"7180","0","0","0","0","0","100"
"7200","0","0","0","0","0","100"
"7220","0","0","0","0","0","100"
"7240","0","0","0","0","0","100"
"7260","0","0","0","0","0","100"
"7280","0","0","0","0","0","100"
"7300","0","0","0","0","0","100"
"7320","0","0","0","0","0","100"
"7340","0","0","0","0","0","100"
"7360","0","0","0","0","0","100"
"7380","0","0","0","0","0","100"
"7400","0","0","0","0","0","100"
"7420","0","0","0","0","0","100"
"7440","0","0","0","0","0","100"
"7460","0","0","0","0","0","100"
"7480","0","0","0","0","0","100"
"7500","0","0","0","0","0","100"
"7520","0","0","0","0","0","100"
"7540","0","0","0","0","0","100"
"7560","0","0","0","0","0","100"
"7580","0","0","0","0","0","100"
"7600","0","0","0","0","0","100"
"7620","0","0","0","0","0","100"
"7640","0","0","0","0","0","100"
"7660","0","0","0","0","0","100"
"7680","0","0","0","0","0","100"
"7700","0","0","0","0","0","100"
"7720","0","0","0","0","0","100"
"7740","0","0","0","0","0","100"
"7760","0","0","0","0","0","100"
"7780","0","0","0","0","0","100"
"7800","0","0","0","0","0","100"
"7820","0","0","0","0","0","100"
"7840","0","0","0","0","0","99"
"7860","0","0","0","0","0","100"
"7880","0","0","0","0","0","100"
"7900","0","0","0","0","0","100"
"7920","0","0","0","0","0","100"
"7940","0","0","0","0","0","100"
"7960","0","0","0","0","0","100"
"7980","0","0","0","0","0","100"
"8000","0","0","0","0","0","100"
"8020","0","0","0","0","0","100"
"8040","0","0","0","0","0","99"
"8060","0","0","0","0","0","100"
"8080","0","0","0","0","0","100"
"8100","0","0","0","0","0","100"
"8120","0","0","0","0","0","100"
"8140","0","0","0","0","0","100"
"8160","0","0","0","0","0","100"
"8180","0","0","0","0","0","100"
"8200","0","0","0","0","0","100"
