CenterPos,KX759618,KX759621,KX759620,KX759622,KX759619,KX759623,OP963623
960,0,0,0,0,8,38,17
980,0,0,0,0,5,16,57
1000,0,0,0,0,1,0,96
1020,0,0,0,0,1,0,97
1040,0,0,0,0,0,3,88
1060,0,0,0,0,0,0,81
1080,0,0,0,0,0,0,75
1100,0,0,0,0,0,1,60
1120,0,0,0,0,2,2,46
1140,0,0,0,0,0,0,43
1160,0,0,0,0,0,0,48
1180,0,0,0,0,1,0,41
1200,0,0,0,0,17,12,15
1220,0,0,0,0,5,6,5
1240,0,0,0,0,17,14,1
1260,0,0,0,0,10,11,1
1280,0,0,0,0,5,6,5
1300,0,0,0,0,4,3,15
1320,0,0,0,0,1,7,22
1340,0,0,0,0,1,23,7
1360,0,0,0,0,1,35,4
1380,0,0,0,0,6,43,7
1400,0,0,0,0,0,9,1
1420,0,0,0,0,1,12,0
1440,0,0,0,0,0,4,3
1460,0,0,0,0,0,0,1
1480,0,0,0,0,3,3,0
1500,0,0,0,0,2,4,0
1520,0,0,0,0,2,7,0
1540,0,0,0,0,6,3,0
1560,0,0,0,0,1,0,1
1580,0,0,0,0,0,0,1
1600,0,0,0,0,2,2,8
1620,0,0,0,0,1,26,7
1640,0,0,0,0,1,58,1
1660,0,0,0,0,0,49,6
1680,0,0,0,0,0,20,30
1700,0,0,0,0,0,29,35
1720,0,0,0,0,1,34,34
1740,0,0,0,0,6,44,20
1760,0,0,0,0,2,20,19
1780,0,0,0,0,1,10,38
1800,0,0,0,0,2,5,55
1820,0,0,0,0,1,0,58
1840,0,0,0,0,1,0,57
1860,0,0,0,0,3,0,32
1880,0,0,0,0,1,0,21
1900,0,0,0,0,0,0,33
1920,0,0,0,0,0,0,15
1940,0,0,0,0,0,0,4
1960,0,0,0,0,0,0,7
1980,0,0,0,0,1,0,18
2000,0,0,0,0,3,0,4
2020,0,0,0,0,1,0,5
2040,0,0,0,0,1,3,3
2060,0,0,0,0,2,0,6
2080,0,0,0,0,1,0,9
2100,0,0,0,0,1,6,0
2120,0,0,0,0,0,5,0
2140,0,0,0,0,0,9,3
2160,0,0,0,0,0,11,1
2180,0,0,0,0,1,2,0
2200,0,0,0,0,1,6,0
2220,0,0,0,0,0,12,1
2240,0,0,0,0,3,22,0
2260,0,0,0,0,5,15,0
2280,0,0,0,0,5,15,0
2300,0,0,0,0,2,2,1
2320,0,0,0,0,0,0,2
2340,0,0,0,0,0,0,3
2360,0,0,0,0,0,1,2
2380,0,0,0,0,0,2,1
2400,0,0,0,0,0,3,9
2420,0,0,0,0,0,0,6
2440,0,0,0,0,1,0,6
2460,0,0,0,0,0,5,7
2480,0,0,0,0,0,1,3
2500,0,0,0,0,14,2,3
2520,0,0,0,0,43,10,1
2540,0,0,0,0,52,9,2
2560,0,0,0,0,65,1,3
2580,0,0,0,0,71,3,0
2600,0,0,0,0,54,1,5
2620,0,0,0,0,70,6,2
2640,0,0,0,0,77,9,0
2660,0,0,0,0,56,10,3
2680,0,0,0,0,48,5,32
2700,0,0,0,0,10,5,33
2720,0,0,0,0,25,20,17
2740,0,0,0,0,13,19,11
2760,0,0,0,0,13,16,2
2780,0,0,0,0,0,26,12
2800,0,0,0,0,0,22,6
2820,0,0,0,0,2,4,6
2840,0,0,0,0,0,2,18
2860,0,0,0,0,0,0,11
2880,0,0,0,0,6,2,5
2900,0,0,0,0,8,29,4
2920,0,0,0,0,5,20,8
2940,0,0,0,0,16,13,15
2960,0,0,0,0,9,2,28
2980,0,0,0,0,14,0,6
3000,0,0,0,0,12,1,7
3020,0,0,0,0,5,1,28
3040,0,0,0,0,6,0,10
3060,0,0,0,0,4,0,8
3080,0,0,0,0,0,0,23
3100,0,0,0,0,0,0,58
3120,0,0,0,0,0,0,40
3140,0,0,0,0,0,0,49
3160,0,0,0,0,0,0,75
3180,0,0,0,0,0,0,87
3200,0,0,0,0,1,1,75
3220,0,0,0,0,2,2,77
3240,0,0,0,0,1,0,75
3260,0,0,0,0,0,0,79
3280,0,0,0,0,6,0,51
3300,0,0,0,0,12,7,31
3320,0,0,0,0,6,3,53
3340,0,0,0,0,18,21,31
3360,0,0,0,0,7,13,13
3380,0,0,0,0,3,12,28
3400,0,0,0,0,5,6,28
3420,0,0,0,0,9,14,36
3440,0,0,0,0,18,6,44
3460,0,0,0,0,8,6,42
3480,0,0,0,0,2,13,56
3500,0,0,0,0,0,6,52
3520,0,0,0,0,1,3,46
3540,0,0,0,0,0,0,52
3560,0,0,0,0,0,0,45
3580,0,0,0,0,9,2,10
3600,0,0,0,0,0,0,9
3620,0,0,0,0,4,0,5
3640,0,0,0,0,1,5,9
3660,0,0,0,0,2,4,4
3680,0,0,0,0,1,0,2
3700,0,0,0,0,1,1,9
3720,0,0,0,0,0,5,17
3740,0,0,0,0,2,4,20
3760,0,0,0,0,0,0,40
3780,0,0,0,0,0,0,60
3800,0,0,0,0,0,0,61
3820,0,0,0,0,0,0,91
3840,0,0,0,0,0,0,60
3860,0,0,0,0,0,0,80
3880,0,0,0,0,0,0,90
3900,0,0,0,0,0,0,94
3920,0,0,0,0,0,0,79
3940,0,0,0,0,0,0,71
3960,0,0,0,0,0,1,65
3980,0,0,0,0,0,5,63
4000,0,0,0,0,3,9,31
4020,0,0,0,0,0,10,38
4040,0,0,0,0,0,0,86
4060,0,0,0,0,0,0,54
4080,0,0,0,0,0,0,47
4100,0,0,0,0,2,0,60
4120,0,0,0,0,0,0,56
4140,0,0,0,0,0,0,56
4160,0,0,0,0,2,0,40
4180,0,0,0,0,0,0,29
4200,0,0,0,0,0,0,14
4220,0,0,0,0,0,0,10
4240,0,0,0,0,1,1,0
4260,0,0,0,0,0,1,0
4280,0,0,0,0,0,0,0
4300,0,0,0,0,6,0,7
4320,0,0,0,0,7,1,2
4340,0,0,0,0,16,0,13
4360,0,0,0,0,16,1,2
4380,0,0,0,0,25,2,22
4400,0,0,0,0,12,4,48
4420,0,0,0,0,8,2,46
4440,0,0,0,0,2,1,38
4460,0,0,0,0,1,1,38
4480,0,0,0,0,0,0,15
4500,0,0,0,0,0,0,9
4520,0,0,0,0,0,0,19
4540,0,0,0,0,0,0,5
4560,0,0,0,0,0,0,37
4580,0,0,0,0,0,0,38
4600,0,0,0,0,0,0,16
4620,0,0,0,0,0,0,14
4640,0,0,0,0,0,0,27
4660,0,0,0,0,0,1,23
4680,0,0,0,0,0,0,29
4700,0,0,0,0,0,0,21
4720,0,0,0,0,0,2,6
4740,0,0,0,0,0,0,21
4760,0,0,0,0,0,0,0
4780,0,0,0,0,0,1,0
4800,0,0,0,0,0,2,0
4820,0,0,0,0,0,0,0
4840,0,0,0,0,0,0,0
4860,0,0,0,0,0,0,0
4880,0,0,0,0,0,0,0
4900,0,0,0,0,1,0,0
4920,0,0,0,0,0,0,1
4940,0,0,0,0,0,0,0
4960,0,0,0,0,1,1,0
4980,0,0,0,0,0,2,0
5000,0,0,0,0,0,1,0
5020,0,0,0,0,0,0,1
5040,0,0,0,0,0,0,2
5060,0,0,0,0,0,0,4
5080,0,0,0,0,0,1,9
5100,0,0,0,0,0,1,35
5120,0,0,0,0,0,1,23
5140,0,0,0,0,0,0,20
5160,0,0,0,0,1,0,47
5180,0,0,0,0,0,0,27
5200,0,0,0,0,4,0,11
5220,0,0,0,0,4,0,29
5240,0,0,0,0,0,0,27
5260,0,0,0,0,4,1,7
5280,0,0,0,0,2,2,2
5300,0,0,0,0,1,2,0
5320,0,0,0,0,2,0,2
5340,0,0,0,0,3,1,4
5360,0,0,0,0,6,1,1
5380,0,0,0,0,6,0,2
5400,0,0,0,0,5,0,2
5420,0,0,0,0,4,0,0
5440,0,0,0,0,0,0,0
5460,0,0,0,0,1,0,3
5480,0,0,0,0,6,0,12
5500,0,0,0,0,18,7,29
5520,0,0,0,0,3,6,21
5540,0,0,0,0,2,17,19
5560,0,0,0,0,13,34,13
5580,0,0,0,0,0,12,29
5600,0,0,0,0,3,48,16
5620,0,0,0,0,11,31,9
5640,0,0,0,0,6,9,4
5660,0,0,0,0,14,15,6
5680,0,0,0,0,5,12,5
5700,0,0,0,0,1,1,3
5720,0,0,0,0,3,2,19
5740,0,0,0,0,2,1,20
5760,0,0,0,0,3,4,48
5780,0,0,0,0,0,0,56
5800,0,0,0,0,2,0,61
5820,0,0,0,0,1,1,85
5840,0,0,0,0,3,1,76
5860,0,0,0,0,0,1,83
5880,0,0,0,0,1,0,79
5900,0,0,0,0,0,0,80
5920,0,0,0,0,1,0,66
5940,0,0,0,0,0,0,48
5960,0,0,0,0,1,0,8
5980,0,0,0,0,6,1,22
6000,0,0,0,0,2,0,17
6020,0,0,0,0,1,2,20
6040,0,0,0,0,1,11,6
6060,0,0,0,0,3,3,8
6080,0,0,0,0,0,1,6
6100,0,0,0,0,0,2,1
6120,0,0,0,0,0,0,0
6140,0,0,0,0,0,7,0
6160,0,0,0,0,0,4,1
6180,0,0,0,0,0,4,0
6200,0,0,0,0,0,4,0
6220,0,0,0,0,0,2,0
6240,0,0,0,0,0,0,0
6260,0,0,0,0,0,3,0
6280,0,0,0,0,3,11,0
6300,0,0,0,0,5,31,1
6320,0,0,0,0,2,27,6
6340,0,0,0,0,3,26,9
6360,0,0,0,0,0,36,9
6380,0,0,0,0,3,38,4
6400,0,0,0,0,4,20,3
6420,0,0,0,0,1,26,2
6440,0,0,0,0,1,29,4
6460,0,0,0,0,4,10,5
6480,0,0,0,0,4,11,3
6500,0,0,0,0,12,6,0
