pointer,OQ818323,OQ818324,KX420938
4300,5,22,73
4320,1,27,72
4340,0,41,59
4360,1,33,66
4380,1,17,82
4400,0,32,68
4420,4,36,60
4440,4,28,68
4460,3,24,73
4480,2,10,88
4500,9,15,76
4520,11,8,81
4540,13,14,73
4560,6,8,86
4580,37,17,46
4600,66,7,27
4620,19,1,80
4640,2,0,98
4660,2,0,98
4680,0,0,100
4700,0,0,100
4720,0,0,100
4740,0,0,100
4760,0,0,100
4780,0,0,100
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,0,100
4940,0,0,100
4960,0,0,100
4980,0,0,100
5000,0,0,100
5020,0,0,100
5040,0,0,100
5060,0,0,100
5080,0,0,100
5100,0,0,100
5120,0,0,100
5140,0,0,100
5160,0,0,100
5180,0,0,100
5200,0,0,100
5220,0,0,100
5240,0,0,100
5260,0,0,100
5280,0,0,100
5300,0,0,100
5320,0,0,100
5340,0,0,100
5360,0,0,100
5380,0,0,100
5400,0,0,100
5420,0,0,100
5440,0,0,100
5460,0,0,100
5480,0,0,100
5500,0,0,100
5520,0,0,100
5540,0,0,100
5560,0,0,100
5580,0,0,100
5600,0,0,100
5620,0,0,100
5640,0,0,100
5660,0,0,100
5680,0,0,100
5700,0,0,100
5720,0,0,100
5740,0,0,100
5760,0,0,100
5780,0,0,100
5800,0,0,100
5820,0,0,100
5840,0,0,100
5860,0,0,100
5880,0,0,100
5900,0,0,100
5920,0,0,100
5940,0,0,100
5960,0,0,100
5980,0,0,100
6000,0,0,100
6020,0,0,100
6040,0,0,100
6060,0,0,100
6080,0,0,100
6100,0,0,100
6120,0,0,100
6140,0,0,100
6160,0,0,100
6180,0,0,100
6200,0,0,100
6220,0,0,100
6240,0,0,100
6260,0,0,100
6280,0,0,100
6300,0,0,100
6320,0,0,100
6340,0,0,100
6360,0,0,100
6380,0,0,100
6400,0,1,99
6420,0,0,100
6440,0,0,100
6460,0,0,100
6480,0,0,100
6500,0,0,100
6520,0,0,100
6540,0,0,100
6560,0,0,100
6580,0,0,100
6600,0,0,100
6620,0,0,100
6640,0,0,100
6660,0,0,100
6680,0,0,100
6700,0,0,100
6720,0,0,100
6740,8,0,92
6760,0,1,99
6780,9,0,91
6800,2,1,97
6820,0,2,98
6840,9,0,91
6860,11,7,82
6880,3,2,95
6900,10,7,83
6920,3,1,96
6940,0,0,100
6960,0,0,100
6980,0,0,100
7000,0,0,100
7020,0,0,100
7040,0,0,100
7060,0,0,100
7080,0,0,100
7100,0,0,100
7120,0,0,100
7140,0,0,100
7160,0,0,100
7180,0,0,100
7200,0,0,100
7220,0,0,100
7240,0,0,100
7260,0,0,100
7280,0,0,100
7300,0,0,100
7320,0,1,99
7340,0,0,100
