CenterPos,JQ814851,KP054273,KP054276,KP054277,KP054278,MG888045,KP100644
1540,0,0,0,0,0,0,97
1560,14,0,0,0,1,0,80
1580,5,0,0,0,0,0,93
1600,0,0,0,0,0,0,94
1620,5,0,0,1,1,0,82
1640,1,0,1,0,1,0,67
1660,2,0,0,0,1,0,91
1680,4,0,0,3,0,0,82
1700,1,0,0,1,1,0,90
1720,9,0,0,1,3,0,84
1740,29,1,1,1,1,0,52
1760,13,0,0,0,1,0,73
1780,6,0,1,0,0,0,81
1800,2,0,0,0,0,0,95
1820,0,0,0,0,0,0,99
1840,0,0,0,0,0,0,100
1860,0,0,0,0,0,0,100
1880,0,0,0,0,0,0,100
1900,0,0,0,0,0,0,100
1920,0,0,0,0,0,0,100
1940,0,0,0,0,0,0,100
1960,0,0,0,0,0,0,100
1980,0,0,0,0,0,0,100
2000,0,0,0,0,0,0,100
2020,0,0,0,0,0,0,100
2040,0,0,0,0,0,0,100
2060,3,0,0,0,0,0,97
2080,2,0,0,0,0,0,97
2100,20,1,0,0,0,0,67
2120,7,0,0,0,0,0,88
2140,10,0,0,0,0,1,82
2160,4,0,0,0,0,0,90
2180,4,0,0,0,0,0,93
2200,16,0,0,0,0,1,67
2220,2,0,0,0,0,0,97
2240,4,0,0,0,0,0,94
2260,7,0,0,0,0,0,87
2280,7,0,0,0,0,0,88
2300,7,0,0,0,0,1,91
2320,6,0,0,0,0,0,94
2340,3,0,0,0,0,1,96
2360,1,0,0,0,0,1,95
2380,2,0,0,0,0,0,98
2400,1,0,0,0,0,0,99
2420,11,0,0,0,1,0,83
2440,1,0,1,0,1,0,81
2460,1,0,0,0,1,17,59
2480,1,0,0,0,7,26,46
2500,0,0,0,0,2,11,55
2520,0,1,0,0,1,29,39
2540,0,0,0,0,8,21,47
2560,0,0,0,0,10,20,56
2580,0,0,0,0,3,5,81
2600,0,0,0,0,9,7,67
2620,0,0,0,0,4,2,92
2640,0,0,0,0,0,2,97
2660,0,0,0,0,0,0,100
2680,0,0,0,0,0,0,100
2700,0,0,0,0,1,0,98
2720,0,0,0,0,0,0,100
2740,1,0,0,0,0,0,99
2760,0,0,0,0,0,0,100
2780,0,0,0,0,0,0,99
2800,1,0,0,0,0,1,98
2820,0,0,0,0,0,2,97
2840,1,0,0,0,0,0,97
2860,3,0,0,0,0,6,83
2880,2,0,0,0,0,2,92
2900,0,0,0,0,0,4,96
2920,0,0,0,0,0,6,94
2940,1,0,0,0,0,0,97
2960,2,0,0,0,0,2,93
2980,3,0,0,0,0,0,96
3000,1,0,0,0,0,0,98
3020,6,0,0,0,0,0,89
3040,10,0,0,0,1,0,88
3060,9,0,0,0,0,0,91
3080,5,0,0,0,0,0,93
3100,6,0,0,0,0,0,91
3120,1,0,0,1,0,0,89
3140,4,0,0,0,0,3,83
3160,1,0,0,0,0,0,99
3180,2,0,0,0,0,0,97
3200,1,0,0,0,0,1,95
3220,1,0,0,0,0,1,97
3240,0,0,0,0,0,2,98
3260,0,0,0,0,0,2,98
3280,0,0,0,0,0,1,98
3300,1,0,0,0,0,0,98
3320,1,0,0,0,0,2,96
3340,2,0,0,0,0,4,94
3360,4,0,0,0,0,17,75
3380,11,0,0,0,1,14,70
3400,32,0,0,0,2,17,43
3420,52,0,0,0,1,4,39
3440,39,0,0,0,1,2,43
3460,13,0,0,0,0,1,81
3480,2,0,0,0,0,5,89
3500,1,0,0,0,0,3,92
3520,0,0,0,0,0,0,100
3540,0,0,0,0,0,0,100
3560,0,0,0,0,0,0,99
3580,0,0,0,0,0,0,99
3600,0,0,0,0,0,0,99
3620,0,0,0,0,0,0,100
3640,0,0,0,0,0,0,99
3660,0,0,0,0,0,0,98
3680,0,0,0,0,0,0,93
3700,0,0,0,0,0,0,96
3720,0,0,0,0,0,0,58
3740,4,0,0,0,0,1,32
3760,0,0,0,0,0,1,24
3780,1,1,0,0,0,9,23
3800,4,0,0,0,0,1,32
3820,9,0,0,0,0,6,24
3840,29,0,0,0,0,7,26
3860,21,0,0,0,0,6,18
3880,21,0,0,0,0,2,13
3900,13,0,0,0,0,7,2
3920,21,0,0,0,0,12,11
3940,26,0,0,0,0,4,50
3960,28,0,0,0,0,3,45
3980,29,0,0,0,0,0,54
4000,32,0,0,0,1,1,52
4020,16,0,0,0,0,0,54
4040,13,0,0,0,0,1,55
4060,11,0,0,0,0,0,53
4080,12,0,0,0,2,0,76
4100,21,0,0,0,0,0,75
4120,3,0,0,0,2,0,84
4140,0,0,0,0,0,0,93
4160,0,0,0,0,3,0,92
4180,0,0,0,0,1,0,91
4200,0,0,0,0,2,0,95
4220,0,0,0,0,0,0,100
4240,0,0,0,0,0,0,100
4260,0,0,0,0,0,0,100
4280,0,0,0,0,1,0,96
4300,0,0,0,0,0,0,98
4320,0,0,0,0,0,0,96
4340,1,0,0,0,0,0,99
4360,0,0,0,0,0,0,99
4380,0,0,0,0,0,0,99
4400,0,0,0,0,0,0,100
4420,1,0,0,0,0,0,98
4440,0,0,0,0,0,0,95
4460,2,0,0,0,0,0,94
4480,3,0,0,0,0,0,96
4500,0,0,0,0,0,0,100
4520,0,0,0,0,0,0,100
4540,3,0,0,0,0,0,84
4560,5,0,0,0,0,0,85
4580,10,0,0,0,0,0,74
4600,5,0,0,0,0,0,69
4620,1,0,0,0,0,0,65
4640,8,0,0,0,0,0,74
4660,3,0,0,0,0,0,71
4680,3,0,0,0,0,0,85
4700,9,0,0,0,0,0,81
4720,7,0,0,0,0,0,90
4740,20,0,0,0,0,0,75
4760,39,0,0,0,0,0,59
4780,36,0,0,0,0,0,50
4800,34,0,0,0,0,0,60
4820,21,0,0,0,0,1,75
4840,32,0,0,0,0,0,68
4860,71,0,0,0,0,0,29
4880,56,0,0,0,0,0,37
4900,11,0,0,0,0,0,89
4920,16,0,0,0,0,0,80
4940,11,0,0,0,0,0,86
4960,2,0,0,0,0,0,98
4980,2,0,0,0,0,0,98
5000,2,0,0,0,0,0,97
5020,0,0,0,0,0,0,100
5040,0,0,0,0,0,0,100
5060,0,0,0,0,0,0,100
5080,0,0,0,0,0,0,100
5100,0,0,0,0,0,0,100
5120,0,0,0,0,0,0,100
5140,0,0,0,0,0,0,100
5160,0,0,0,0,0,0,100
5180,0,0,0,0,0,0,100
5200,0,0,0,0,0,0,100
5220,0,0,0,0,0,0,100
5240,0,0,0,0,0,0,100
5260,2,0,0,0,0,0,98
5280,2,0,0,0,0,0,98
5300,0,0,0,0,0,0,98
5320,0,0,0,0,0,0,99
5340,0,0,0,0,0,0,100
5360,0,0,0,0,0,0,99
5380,0,0,0,0,0,0,96
5400,0,0,0,0,0,0,99
5420,0,0,0,0,0,0,99
5440,0,0,0,0,0,0,100
5460,0,0,0,0,0,0,100
5480,0,0,0,0,0,0,99
5500,0,0,0,0,0,0,100
5520,0,0,0,0,0,0,100
5540,0,0,0,0,0,0,100
5560,0,0,0,0,0,0,100
5580,0,0,0,0,0,0,100
5600,0,0,0,0,0,0,100
5620,2,0,0,0,0,1,94
5640,0,0,0,0,0,0,100
5660,3,0,0,0,0,0,92
5680,1,0,0,0,0,0,98
5700,4,0,0,0,0,0,92
5720,1,0,0,0,0,0,98
5740,3,0,0,0,0,0,86
5760,1,0,0,0,0,0,91
5780,0,0,0,0,0,0,94
5800,0,0,0,0,0,0,92
5820,0,0,0,0,0,0,93
5840,0,0,0,0,0,0,96
5860,0,0,0,0,0,0,99
5880,0,0,0,0,0,0,100
5900,0,0,0,0,0,0,100
5920,0,0,0,0,0,0,100
5940,0,0,0,0,0,0,100
5960,0,0,0,0,0,0,100
5980,0,0,0,0,0,0,100
6000,0,0,0,0,0,0,100
6020,0,0,0,0,0,0,100
6040,0,0,0,0,0,0,100
6060,0,0,0,0,0,0,100
6080,1,0,0,0,0,0,98
6100,0,0,0,0,0,0,100
6120,2,0,0,0,0,0,97
6140,0,0,0,0,0,0,100
6160,0,0,0,0,0,0,100
6180,0,0,0,0,0,0,100
6200,1,0,0,0,0,2,92
6220,7,0,0,0,0,0,91
6240,0,0,0,0,0,0,99
6260,0,0,0,0,0,0,99
6280,0,0,0,0,0,0,99
6300,0,0,0,0,0,0,100
6320,0,0,0,0,0,0,100
6340,0,0,0,0,0,0,100
6360,1,0,0,0,0,0,99
6380,3,0,0,0,0,0,96
6400,0,0,0,0,0,0,100
6420,0,0,0,0,0,0,100
6440,9,0,0,0,0,0,91
6460,7,0,0,0,0,1,92
6480,4,0,0,0,0,0,96
6500,5,0,0,0,0,0,94
6520,14,0,0,0,0,0,86
6540,1,0,0,1,0,0,97
6560,0,0,0,0,0,0,99
6580,27,1,2,1,0,0,62
6600,49,0,0,1,0,0,48
6620,55,0,0,0,0,0,43
6640,11,0,0,0,0,0,89
6660,6,0,2,0,0,0,83
6680,3,0,0,4,0,0,80
6700,9,0,1,0,1,0,82
6720,19,0,1,0,0,2,73
6740,22,0,0,0,0,0,75
6760,4,0,0,0,0,0,95
6780,2,0,0,0,0,0,98
6800,1,0,0,0,0,0,99
6820,0,0,0,0,0,0,100
6840,0,0,0,0,0,0,99
6860,0,0,0,0,0,0,100
6880,0,0,0,0,0,0,100
6900,0,0,0,0,0,0,100
6920,0,0,0,0,0,0,100
6940,0,0,0,0,0,0,100
6960,0,0,0,0,0,0,99
6980,0,0,0,0,0,0,99
7000,0,0,0,0,0,0,100
7020,3,0,0,0,0,0,97
7040,1,0,0,0,0,0,98
7060,2,0,0,0,0,0,94
7080,1,0,0,0,0,0,98
7100,5,0,0,0,0,0,95
7120,2,0,0,0,0,0,98
7140,0,0,0,0,0,0,100
7160,0,0,0,0,0,0,100
7180,0,0,0,0,0,0,100
