#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1458.706	4.314e+03	1.629e+03	1.142e+04
1488.174	5.082e+03	2.575e+03	1.003e+04
1517.642	6.929e+03	3.603e+03	1.333e+04
1547.110	1.105e+04	6.004e+03	2.034e+04
1576.578	2.172e+04	1.183e+04	3.985e+04
1606.046	2.681e+04	2.200e+04	3.269e+04
1635.514	2.718e+04	2.250e+04	3.284e+04
1664.982	2.884e+04	2.193e+04	3.793e+04
1694.449	2.736e+04	2.233e+04	3.353e+04
1723.917	3.945e+04	2.195e+04	7.092e+04
1753.385	3.010e+04	1.332e+04	6.801e+04
1782.853	4.079e+04	2.267e+04	7.339e+04
1812.321	4.983e+04	2.953e+04	8.408e+04
1841.789	5.428e+04	2.810e+04	1.049e+05
1871.257	7.504e+04	4.215e+04	1.336e+05
1900.724	9.021e+04	5.336e+04	1.525e+05
1930.192	8.223e+04	4.087e+04	1.655e+05
1959.660	1.162e+05	6.961e+04	1.939e+05
1989.128	9.107e+04	5.784e+04	1.434e+05
2018.596	2.692e+04	2.195e+04	3.301e+04
