Accession,Organism_Name,Isolate,Species,Genus,Country,region,source,host_class,Host,Collection_Date,Seq_type
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,North America,Cell culture,Lab strain,0,1981,0
KJ641691.1,aichivirus F2,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,China,Asia,Miniopterus fuliginosus,Bat,1,2012,0
KX420952.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,Saudi Arabia,Asia,Rhinopoma hardwickii,Bat,1,2012,0
KX759618.1,Bat sapovirus,Bat-SaV/Limbe25/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
KX759619.1,Bat sapovirus,Bat-SaV/Lysoka36/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
KX759620.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
KX759621.1,Bat sapovirus,Bat-SaV/Limbe899a/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
KX759622.1,Bat sapovirus,Bat-SaV/Limbe899b/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
MG888045.1,Mischivirus B,,Mischivirus B,Mischivirus,Algeria,Africa,Miniopterus,Bat,1,2017,0
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Asia,Chiroptera,Bat,1,2001,0
NC_026470.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Democratic Republic of the Congo,Africa,Macronycteris gigas,Bat,1,2013,0
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Africa,Eidolon helvum,Bat,1,2010,0
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Africa,Eidolon helvum,Bat,1,2014,0
