molecule,start,end,mid,gene
Kobuvirus,723,1298,900,L
Kobuvirus,1299,1853,1400,VP0
Mischivirus,1289,1574,1380,L
Mischivirus,1575,1801,1688,VP4
Mischivirus,1802,2607,2204.5,VP2
Mischivirus,2644,3334,2989,VP3
Mischivirus,3338,4248,3793,VP1
Mischivirus,4283,4424,4353.5,2A
Mischivirus,4425,4945,4685,2B
Mischivirus,4946,6126,5536,2C
Mischivirus,6142,6341,6241.5,3A
Mischivirus,6426,6651,6600,3B
Mischivirus,6661,7226,7000,3C
Mischivirus,7248,8613,7930.5,3D
Sapelovirus1,808,1006,907,L
Sapelovirus1,1016,1306,1161,VP4
Sapelovirus1,1319,1666,1492.5,VP2
Sapelovirus1,1667,1924,1795.5,VP3
Sapelovirus2,5024,5451,5237.5,2C
Sapelovirus2,5452,5763,5607.5,3A
Sapelovirus2,5764,5808,5786,3B
Felisavirus,1193,5236,2833,Non-structural polyprotein
Hepatovirus,1173,1482,1327.5,VP2
Hepatovirus,1483,1600,1541.5,VP3
Kunsagivirus,1,531,266,5'UTR
Kunsagivirus,532,7188,3860,Polyprotein
Kunsagivirus,7189,7333,7000,3'UTR
Mischivirus,1,1288,600,5'UTR
Mischivirus,8638,8886,8500,3'UTR
Sapelovirus,1,419,250,5'UTR
Sapelovirus,7777,7913,7600,3'UTR
Sapovirus,2646,5704,4175,Polyprotein
