molecule,start,end,mid,gene,type
Hepatovirus,1,866,433.5,5'UTR,partial
Kobuvirus,1,910,455.5,5'UTR,full
Kobuvirus,8990,9318,8600,3'UTR,full
Kunsagivirus,1,667,450,5'UTR,full
Kunsagivirus,8050,8207,8128.5,3'UTR,full
Mischivirus,1,1295,648,5'UTR,full
Mischivirus,9102,9301,8950,3'UTR,full
Sapelovirus,1,255,200,5'UTR,full
Sapelovirus,8028,8111,7850,3'UTR,full
Teschovirus,1,649,450,5'UTR,full
Teschovirus,8794,8882,8600,3'UTR,full
Bat picornavirus,4549,5342,4945.5,2C,full
Bat picornavirus,5343,5661,5502,3A,full
Hepatovirus,867,960,880,VP4,full
Hepatovirus,961,1626,1400,VP2,full
Hepatovirus,1627,2373,2000,VP3,full
Hepatovirus,2374,3156,2765,VP1/2A,full
Hepatovirus,3157,3499,3328,2B,full
Hepatovirus,3500,4425,3962.5,2C,full
Hepatovirus,4426,5470,4948,3A,full
Hepatovirus,5471,5823,5647,3B,full
Hepatovirus,5824,6349,6086.5,3C,full
Kobuvirus,911,1596,1253.5,L,full
Kobuvirus,1597,2760,2178.5,VP0,full
Kobuvirus,2761,3429,3095,VP3,full
Kobuvirus,3430,4301,3865.5,VP1,full
Kobuvirus,4302,4733,4517.5,2A,full
Kobuvirus,4734,5320,5027,2B,full
Kobuvirus,5321,6328,5824.5,2C,full
Kobuvirus,6329,6622,6250,3A,full
Kobuvirus,6623,6724,6673.5,3B,full
Kobuvirus,6728,7309,7100,3C,full
Kobuvirus,7310,8989,8013,3D,full
Kunsagivirus,668,1631,1149.5,VP0,full
Kunsagivirus,1632,2411,2021.5,VP3,full
Kunsagivirus,2412,3148,2780,VP1,full
Kunsagivirus,3149,3506,3327.5,2A,full
Kunsagivirus,3507,4067,3787,2B,full
Kunsagivirus,4068,5368,4718,2C,full
Kunsagivirus,5369,5802,5300,3A,full
Kunsagivirus,5803,5889,5846,3B,full
Kunsagivirus,5890,6493,6400,3C,full
Kunsagivirus,6494,8010,7252,3D,full
Mischivirus,1296,1527,1411.5,L,full
Mischivirus,1528,2841,2184.5,VP0,full
Mischivirus,2842,3701,3271.5,VP3,full
Mischivirus,3702,4700,4201,VP1,full
Mischivirus,4701,4832,4766.5,2A,full
Mischivirus,4833,5390,5111.5,2B,full
Mischivirus,5391,6472,5931.5,2C,full
Mischivirus,6473,6887,6400,3A,full
Mischivirus,6888,7039,6963.5,3B,full
Mischivirus,7040,7789,7414.5,3C,full
Mischivirus,7790,9067,8200,3D,full
Sapelovirus,256,877,650,L,full
Sapelovirus,878,1048,963,VP4,full
Sapelovirus,1049,1769,1500,VP2,full
Sapelovirus,1770,2507,2138.5,VP3,full
Sapelovirus,2508,3422,2965,VP1,full
Sapelovirus,3423,4244,3833.5,2A,full
Sapelovirus,4245,4628,4436.5,2B,full
Sapelovirus,4629,5678,5153.5,2C,full
Sapelovirus,5679,6013,5700,3A,full
Sapelovirus,6014,6079,6046.5,3B,full
Sapelovirus,6080,6628,6400,3C,full
Sapelovirus,6629,8024,7100,3D,full
Teschovirus,650,1002,826,L,full
Teschovirus,1003,1281,1142,VP4,full
Teschovirus,1282,2448,1865,VP2,full
Teschovirus,2449,3209,2829,VP3,full
Teschovirus,3210,4250,3730,VP1,full
Teschovirus,4251,4325,4288,2A,full
Teschovirus,4326,5076,4701,2B,full
Teschovirus,5077,6145,5611,2C,full
Teschovirus,6146,6480,6100,3A,full
Teschovirus,6481,6558,6519.5,3B,full
Teschovirus,6559,7288,6923.5,3C,full
Teschovirus,7289,8774,7900,3D,full
Sapovirus,2721,2999,2860,NS4,full
Sapovirus,3000,3367,3183.5,Vpg,full
Sapovirus,3368,4345,3856.5,Pro-Pol,full
