molecule,from,to,gene,type
Bat picornavirus,4549,5342,2C,full
Bat picornavirus,5343,5661,3A,full
Hepatovirus,867,960,VP4,full
Hepatovirus,961,1626,VP2,full
Hepatovirus,1627,2373,VP3,full
Hepatovirus,2374,3156,VP1/2A,full
Hepatovirus,3157,3499,2B,full
Hepatovirus,3500,4425,2C,full
Hepatovirus,4426,5470,3A,full
Hepatovirus,5471,5823,3B,full
Hepatovirus,5824,6349,3C,full
Kobuvirus,911,1596,L,full
Kobuvirus,1597,2760,VP0,full
Kobuvirus,2761,3429,VP3,full
Kobuvirus,3430,4301,VP1,full
Kobuvirus,4302,4733,2A,full
Kobuvirus,4734,5320,2B,full
Kobuvirus,5321,6328,2C,full
Kobuvirus,6329,6622,3A,full
Kobuvirus,6623,6724,3B,full
Kobuvirus,6728,7309,3C,full
Kobuvirus,7310,8989,3D,full
Kunsagivirus,668,1631,VP0,full
Kunsagivirus,1632,2411,VP3,full
Kunsagivirus,2412,3148,VP1,full
Kunsagivirus,3149,3506,2A,full
Kunsagivirus,3507,4067,2B,full
Kunsagivirus,4068,5368,2C,full
Kunsagivirus,5369,5802,3A,full
Kunsagivirus,5803,5889,3B,full
Kunsagivirus,5890,6493,3C,full
Kunsagivirus,6494,8010,3D,full
Mischivirus,1296,1527,L,full
Mischivirus,1528,2841,VP0,full
Mischivirus,2842,3701,VP3,full
Mischivirus,3702,4700,VP1,full
Mischivirus,4701,4832,2A,full
Mischivirus,4833,5390,2B,full
Mischivirus,5391,6472,2C,full
Mischivirus,6473,6887,3A,full
Mischivirus,6888,7039,3B,full
Mischivirus,7040,7789,3C,full
Mischivirus,7790,9067,3D,full
Sapelovirus,256,877,L,full
Sapelovirus,878,1048,VP4,full
Sapelovirus,1049,1769,VP2,full
Sapelovirus,1770,2507,VP3,full
Sapelovirus,2508,3422,VP1,full
Sapelovirus,3423,4244,2A,full
Sapelovirus,4245,4628,2B,full
Sapelovirus,4629,5678,2C,full
Sapelovirus,5679,6013,3A,full
Sapelovirus,6014,6079,3B,full
Sapelovirus,6080,6628,3C,full
Sapelovirus,6629,8024,3D,full
Teschovirus,650,1002,L,full
Teschovirus,1003,1281,VP4,full
Teschovirus,1282,2448,VP2,full
Teschovirus,2449,3209,VP3,full
Teschovirus,3210,4250,VP1,full
Teschovirus,4251,4325,2A,full
Teschovirus,4326,5076,2B,full
Teschovirus,5077,6145,2C,full
Teschovirus,6146,6480,3A,full
Teschovirus,6481,6558,3B,full
Teschovirus,6559,7288,3C,full
Teschovirus,7289,8774,3D,full
Sapovirus,2721,2999,NS4,full
Sapovirus,3000,3367,Vpg,full
Sapovirus,3368,4345,Pro-Pol,full
