accession Bioproject Biosample SRA coverage,accession,CZID,sampleID,virus,reads_mapped,notes
OQ818316 PRJNA954539 SAMN34150129 SRR24138173,OQ818316,RR034B_029_NODE_84,AMB150,"Pteropus rufus icavirus, complete genome",,Reverse complement pulled from BLAST
OQ818317 PRJNA954539 SAMN34150177 SRR24138312,OQ818317,RR034B_079_NODE_3,KEL148,"Eidolon dupreanum kunsagivirus, complete genome",,
OQ818318 PRJNA954539 SAMN34150192 SRR24138254,OQ818318,RR034B_094_NODE_3,KEL164,"Eidolon dupreanum teschovirus, complete genome",,Reverse complement pulled from BLAST
OQ818319 PRJNA954539 SAMN34150194 SRR24138251,OQ818319,RR034B_096_NODE_2,KEL166,"Eidolon dupreanum sapovirus, complete genome",,Reverse complement pulled from BLAST
OQ818320 PRJNA954539 SAMN34150256 SRR24138361,OQ818320,RR034B_163_NODE_204,KEL233,"Eidolon dupreanum sapelovirus, complete genome",,
OQ818321 PRJNA954539 SAMN34150281 SRR24138228,OQ818321,RR034B_189_NODE_1,KEL272,"Eidolon dupreanum sapelovirus, complete genome",,
OQ818322 PRJNA837298 SAMN28494084 SRX15403569,OQ818322,RR034B_422_NODE_1,KEL318,"Eidolon dupreanum kobuvirus, complete genome",,
OQ818323 PRJNA954539 SAMN34150332 SRR24138218,OQ818323,RR034B_244_NODE_40,MIZ190,"Rousettus madagascariensis teschovirus, complete genome",,Reverse complement pulled from BLAST
OQ818324 PRJNA954539 SAMN34150346 SRR24138333,OQ818324,RR034B_259_NODE_68,MIZ205,"Rousettus madagascariensis teschovirus, complete genome",,Reverse complement pulled from BLAST
OQ818325 PRJNA954539 SAMN34150355 SRR24138281,OQ818325,RR034B_268_NODE_77,MIZ214,"Rousettus madagascariensis picornavirus, nearly complete genome",,
OQ818326 PRJNA954539 SAMN34150319 SRR24138187,OQ818326,RR034B_279_NODE_8,MIZ229_RNA1,"Rousettus madagascariensis nepovirus, complete genome RNA1",,Reverse complement pulled from BLAST
OQ818327 PRJNA954539 SAMN34150319 SRR24138187,OQ818327,RR034B_279_NODE_16,MIZ229_RNA2,"Rousettus madagascariensis nepovirus, complete genome RNA2",,
OQ818328 PRJNA954539 SAMN34150375 SRR24138325,OQ818328,RR034B_288_NODE_100,MIZ240,"Rousettus madagascariensis picornavirus, complete genome",,Reverse complement pulled from BLAST
OQ818329 PRJNA954539 SAMN34150377 SRR24138171,OQ818329,RR034B_290_NODE_2,MIZ243,"Rousettus madagascariensis sapelovirus, complete genome",,Reverse complement pulled from BLAST
OQ818330 PRJNA954539 SAMN34150104 SRR24138373,OQ818330,RR034B_002_NODE_4,AMB122,"Pteropus rufus cheravirus, partial genome",,Reverse complement pulled from BLAST
OQ818331 PRJNA954539 SAMN34150115 SRR24138144,OQ818331,RR034B_014_NODE_22,AMB134,"Pteropus rufus tetnovirus, partial genome",,Reverse complement pulled from BLAST
