#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1951.248	4.495e+02	1.695e+02	1.192e+03
1955.004	5.495e+02	2.807e+02	1.076e+03
1958.761	6.943e+02	3.478e+02	1.386e+03
1962.517	9.276e+02	4.902e+02	1.755e+03
1966.274	1.558e+03	8.647e+02	2.808e+03
1970.030	2.460e+03	2.029e+03	2.984e+03
1973.787	2.565e+03	1.995e+03	3.298e+03
1977.543	2.895e+03	1.658e+03	5.055e+03
1981.300	3.962e+03	2.318e+03	6.774e+03
1985.056	5.355e+03	3.204e+03	8.950e+03
1988.813	6.946e+03	4.239e+03	1.138e+04
1992.569	1.013e+04	6.236e+03	1.645e+04
1996.325	1.477e+04	9.198e+03	2.370e+04
2000.082	1.794e+04	1.141e+04	2.818e+04
2003.838	2.222e+04	1.437e+04	3.437e+04
2007.595	3.934e+04	2.716e+04	5.699e+04
2011.351	1.415e+04	1.084e+04	1.847e+04
2015.108	7.974e+03	6.034e+03	1.054e+04
2018.864	6.447e+03	4.175e+03	9.955e+03
2022.621	1.585e+03	6.999e+02	3.590e+03
