pointer,NC_033818.1,OP589993.1,NC_034206.1
120,53,7,40
140,36,9,55
160,23,9,68
180,60,4,36
200,75,7,18
220,90,0,10
240,91,6,3
260,92,8,0
280,81,17,2
300,82,18,0
320,96,4,0
340,100,0,0
360,99,1,0
380,100,0,0
400,99,1,0
420,98,2,0
440,97,3,0
460,99,1,0
480,100,0,0
500,100,0,0
520,100,0,0
540,100,0,0
560,100,0,0
580,100,0,0
600,100,0,0
620,100,0,0
640,98,2,0
660,100,0,0
680,100,0,0
700,99,1,0
720,100,0,0
740,99,1,0
760,95,5,0
780,93,6,1
800,85,15,0
820,82,18,0
840,73,24,3
860,37,50,13
880,46,52,2
900,49,49,2
920,31,63,6
940,40,45,15
960,63,23,14
980,65,21,14
1000,76,11,13
1020,89,5,6
1040,91,4,5
1060,97,0,3
1080,98,0,2
1100,100,0,0
1120,99,0,1
1140,100,0,0
1160,100,0,0
1180,100,0,0
1200,99,1,0
1220,100,0,0
1240,100,0,0
1260,100,0,0
1280,100,0,0
1300,100,0,0
1320,100,0,0
1340,100,0,0
1360,100,0,0
1380,100,0,0
1400,99,0,1
1420,95,0,5
1440,99,0,1
1460,89,0,11
1480,80,0,20
1500,74,0,26
1520,51,0,49
1540,45,0,55
1560,31,0,69
1580,49,0,51
1600,51,0,49
1620,43,0,57
1640,16,1,83
1660,38,1,61
1680,56,2,42
1700,82,2,16
1720,93,0,7
1740,80,1,19
1760,82,12,6
1780,85,12,3
1800,90,10,0
1820,83,10,7
1840,99,1,0
1860,98,2,0
1880,96,4,0
1900,96,4,0
1920,100,0,0
1940,100,0,0
1960,99,1,0
1980,100,0,0
2000,100,0,0
2020,100,0,0
2040,98,2,0
2060,96,2,2
2080,85,11,4
2100,88,8,4
2120,72,28,0
2140,69,27,4
2160,85,15,0
2180,89,10,1
2200,84,16,0
2220,97,3,0
2240,99,1,0
2260,98,2,0
2280,99,1,0
2300,96,4,0
2320,95,5,0
2340,99,1,0
2360,100,0,0
2380,98,2,0
2400,96,3,1
2420,87,6,7
2440,72,20,8
2460,90,9,1
2480,75,20,5
2500,87,12,1
2520,91,9,0
2540,78,17,5
2560,63,10,27
2580,72,4,24
2600,74,8,18
2620,85,9,6
2640,97,2,1
2660,86,5,9
2680,96,1,3
2700,76,5,19
2720,60,6,34
2740,62,16,22
2760,91,6,3
2780,89,7,4
2800,73,18,9
2820,40,15,45
2840,19,16,65
2860,47,15,38
2880,64,9,27
2900,86,6,8
2920,88,3,9
2940,80,9,11
2960,76,9,15
2980,82,11,7
3000,94,4,2
3020,97,3,0
3040,99,1,0
3060,93,6,1
3080,80,19,1
3100,66,34,0
3120,45,44,11
3140,18,30,52
3160,60,10,30
3180,30,5,65
3200,29,4,67
3220,21,3,76
3240,85,3,12
3260,92,2,6
3280,87,6,7
3300,92,2,6
3320,98,2,0
3340,99,1,0
3360,99,1,0
3380,99,1,0
3400,97,3,0
3420,99,1,0
3440,95,4,1
3460,93,5,2
3480,97,2,1
3500,86,11,3
3520,90,6,4
3540,90,8,2
3560,59,33,8
3580,61,24,15
3600,71,20,9
3620,72,25,3
3640,86,10,4
3660,96,4,0
3680,96,3,1
3700,96,3,1
3720,98,2,0
3740,95,3,2
3760,100,0,0
3780,97,3,0
3800,98,0,2
3820,97,1,2
3840,97,1,2
3860,95,3,2
3880,93,5,2
3900,90,9,1
3920,94,6,0
3940,96,4,0
3960,95,5,0
3980,97,3,0
4000,98,1,1
4020,99,1,0
4040,99,1,0
4060,88,10,2
4080,97,3,0
4100,97,0,3
4120,97,0,3
4140,92,0,8
4160,86,1,13
4180,98,0,2
4200,99,1,0
4220,97,2,1
4240,85,3,12
4260,87,3,10
4280,91,1,8
4300,92,4,4
4320,84,7,9
4340,93,6,1
4360,81,13,6
4380,35,50,15
4400,19,68,13
4420,22,59,19
4440,17,68,15
4460,28,56,16
4480,5,77,18
4500,6,70,24
4520,18,51,31
4540,25,33,42
4560,62,15,23
4580,76,8,16
4600,72,9,19
4620,87,7,6
4640,83,10,7
4660,58,25,17
4680,66,25,9
4700,75,20,5
4720,72,17,11
4740,61,19,20
4760,56,40,4
4780,59,23,18
4800,34,54,12
4820,32,45,23
4840,55,40,5
4860,72,18,10
4880,90,8,2
4900,88,9,3
4920,94,5,1
4940,79,20,1
4960,85,14,1
4980,92,8,0
5000,96,4,0
5020,100,0,0
5040,98,2,0
5060,98,2,0
5080,95,5,0
5100,92,7,1
5120,82,18,0
5140,96,3,1
5160,84,11,5
5180,78,20,2
5200,43,49,8
5220,19,58,23
5240,4,45,51
5260,17,34,49
5280,10,32,58
5300,14,45,41
5320,40,38,22
5340,20,58,22
5360,17,61,22
5380,21,41,38
5400,31,22,47
5420,53,25,22
5440,86,8,6
5460,78,15,7
5480,95,5,0
5500,97,1,2
5520,84,4,12
5540,96,1,3
5560,99,0,1
5580,88,2,10
5600,96,2,2
5620,96,0,4
5640,100,0,0
5660,99,0,1
5680,92,2,6
5700,90,2,8
5720,80,11,9
5740,59,19,22
5760,89,5,6
5780,96,1,3
5800,97,1,2
5820,80,7,13
5840,87,5,8
5860,52,33,15
5880,66,33,1
5900,97,3,0
5920,99,1,0
5940,100,0,0
5960,93,6,1
5980,93,6,1
6000,85,15,0
6020,89,11,0
6040,89,10,1
6060,98,2,0
6080,94,2,4
6100,85,2,13
6120,90,1,9
6140,84,4,12
6160,86,5,9
6180,93,2,5
6200,81,1,18
6220,76,1,23
6240,58,3,39
6260,75,9,16
6280,87,9,4
6300,77,21,2
6320,68,26,6
6340,64,27,9
6360,70,28,2
6380,90,10,0
6400,95,5,0
6420,90,10,0
6440,94,4,2
6460,90,0,10
6480,76,4,20
6500,95,3,2
6520,100,0,0
6540,100,0,0
6560,98,2,0
6580,100,0,0
6600,100,0,0
6620,100,0,0
6640,100,0,0
6660,100,0,0
6680,100,0,0
6700,100,0,0
6720,100,0,0
6740,100,0,0
6760,100,0,0
6780,99,0,1
6800,99,1,0
6820,100,0,0
6840,100,0,0
6860,100,0,0
6880,100,0,0
6900,100,0,0
6920,100,0,0
6940,100,0,0
6960,100,0,0
6980,100,0,0
7000,93,7,0
7020,91,8,1
7040,70,24,6
7060,74,22,4
7080,37,45,18
7100,29,59,12
7120,32,55,13
7140,58,32,10
7160,51,29,20
7180,90,5,5
7200,100,0,0
7220,100,0,0
7240,97,0,3
7260,87,7,6
7280,81,18,1
7300,97,0,3
7320,98,1,1
7340,100,0,0
7360,100,0,0
7380,100,0,0
7400,93,7,0
7420,57,43,0
7440,88,12,0
7460,100,0,0
7480,99,0,1
7500,100,0,0
7520,99,1,0
7540,99,1,0
7560,95,4,1
7580,93,6,1
7600,99,1,0
7620,95,5,0
7640,99,1,0
7660,89,10,1
7680,92,7,1
7700,96,4,0
7720,94,6,0
7740,98,1,1
7760,92,6,2
7780,98,0,2
7800,98,2,0
7820,99,0,1
7840,98,0,2
7860,99,0,1
