pointer,OQ818318,OQ818323,LC386158.1,Pteropodidae_bat_teschovirus
400,0,29,48,8
420,0,37,55,0
440,0,37,61,1
460,0,61,38,0
480,0,63,35,1
500,0,79,20,0
520,0,88,10,0
540,0,90,6,0
560,0,82,6,3
580,0,97,0,2
600,0,87,0,12
620,0,84,0,16
640,0,82,0,17
660,0,91,0,9
680,0,88,1,7
700,0,90,1,9
720,0,97,1,1
740,0,89,0,10
760,0,90,2,7
780,1,72,15,7
800,1,85,3,5
820,0,98,2,0
840,0,88,9,3
860,0,92,1,5
880,0,95,0,5
900,0,97,0,2
920,0,96,1,2
940,0,98,0,0
960,0,99,0,1
980,0,100,0,0
1000,0,97,0,1
1020,0,98,0,0
1040,0,100,0,0
1060,0,98,0,0
1080,0,100,0,0
1100,0,98,0,0
1120,0,98,0,0
1140,0,96,0,1
1160,2,78,1,2
1180,1,84,1,1
1200,0,87,1,1
1220,1,91,0,0
1240,2,80,0,1
1260,4,73,1,2
1280,5,61,11,4
1300,4,46,36,1
1320,1,54,34,0
1340,2,76,12,0
1360,0,90,4,0
1380,0,83,8,1
1400,0,80,15,0
1420,1,43,40,0
1440,0,59,22,1
1460,0,56,30,0
1480,0,89,8,1
1500,5,89,2,1
1520,1,94,1,2
1540,5,77,6,2
1560,2,59,10,0
1580,0,83,1,0
1600,1,78,8,1
1620,0,94,4,0
1640,0,94,6,0
1660,0,88,12,0
1680,0,83,17,0
1700,0,75,25,0
1720,0,85,15,0
1740,0,86,13,0
1760,0,89,11,0
1780,0,70,30,0
1800,0,79,16,0
1820,0,78,22,0
1840,0,77,19,0
1860,0,78,22,0
1880,0,41,49,0
1900,0,63,24,0
1920,0,44,38,1
1940,4,45,36,4
1960,6,23,38,7
1980,1,49,22,2
2000,1,52,31,2
2020,11,66,15,0
2040,11,68,3,10
2060,3,85,1,8
2080,2,95,0,2
2100,2,96,1,0
2120,7,89,0,0
2140,0,97,0,2
2160,0,99,0,0
2180,0,100,0,0
2200,0,98,0,2
2220,0,100,0,0
2240,0,97,0,3
2260,0,91,2,6
2280,1,80,2,16
2300,0,90,1,8
2320,0,93,2,5
2340,0,95,0,5
2360,0,92,1,7
2380,0,81,8,3
2400,0,89,10,1
2420,0,98,1,0
2440,0,99,0,0
2460,0,94,4,0
2480,0,100,0,0
2500,0,98,1,0
2520,1,98,1,0
2540,0,96,4,0
2560,0,100,0,0
2580,0,100,0,0
2600,0,98,1,0
2620,0,100,0,0
2640,0,99,0,0
2660,0,99,0,0
2680,0,95,0,3
2700,0,92,0,7
2720,2,78,1,11
2740,1,86,0,8
2760,0,85,0,12
2780,0,83,0,15
2800,0,96,2,1
2820,0,97,1,0
2840,0,96,3,0
2860,0,100,0,0
2880,0,100,0,0
2900,0,100,0,0
2920,0,100,0,0
2940,0,99,1,0
2960,0,100,0,0
2980,0,100,0,0
3000,0,99,1,0
3020,0,98,2,0
3040,0,100,0,0
3060,0,99,1,0
3080,0,97,0,3
3100,0,100,0,0
3120,4,82,6,3
3140,3,76,6,6
3160,3,65,13,5
3180,0,96,1,3
3200,0,96,2,0
3220,0,94,3,0
3240,0,94,2,1
3260,0,95,4,0
3280,4,80,7,0
3300,4,79,13,0
3320,3,83,5,0
3340,0,93,5,0
3360,0,96,3,0
3380,0,90,4,0
3400,7,79,4,4
3420,15,43,9,3
3440,7,29,33,7
3460,3,7,56,11
3480,0,13,57,12
3500,0,17,64,10
3520,0,38,35,19
3540,0,47,39,4
3560,0,59,16,10
3580,0,66,19,4
3600,0,57,27,1
3620,0,87,8,0
3640,0,97,1,0
3660,0,100,0,0
3680,0,97,3,0
3700,0,100,0,0
3720,0,94,3,0
3740,2,95,1,0
3760,0,91,4,0
3780,1,90,2,0
3800,0,98,0,0
3820,0,91,3,2
3840,0,91,6,0
3860,0,98,2,0
3880,0,99,0,0
3900,0,98,2,0
3920,0,98,2,0
3940,0,96,2,0
3960,0,88,12,0
3980,0,91,7,0
4000,0,75,23,0
4020,0,86,10,0
4040,0,74,25,0
4060,0,78,19,0
4080,0,74,16,4
4100,0,88,9,1
4120,0,94,0,3
4140,0,97,0,2
4160,0,96,0,1
4180,0,95,0,4
4200,0,99,0,1
4220,0,99,0,1
4240,1,99,0,0
4260,1,96,0,1
4280,11,86,0,0
4300,9,82,0,6
4320,2,95,0,0
4340,5,93,0,2
4360,5,93,0,0
4380,1,97,0,0
4400,2,95,0,1
4420,2,96,0,0
4440,0,99,0,0
4460,0,99,1,0
4480,0,99,0,1
4500,0,93,6,0
4520,0,94,4,0
4540,2,91,5,0
4560,0,47,46,0
4580,9,31,39,2
4600,1,27,43,4
4620,0,15,18,9
4640,1,29,10,18
4660,0,5,5,54
4680,0,1,5,84
4700,0,1,10,77
4720,0,8,15,65
4740,0,2,27,46
4760,1,2,1,92
4780,10,8,1,70
4800,8,51,0,40
4820,19,53,0,21
4840,17,78,0,5
4860,2,97,0,1
4880,6,94,0,0
4900,18,81,0,0
4920,1,98,0,0
4940,0,100,0,0
4960,0,100,0,0
4980,0,100,0,0
5000,0,100,0,0
5020,0,100,0,0
5040,0,100,0,0
5060,0,99,1,0
5080,0,96,4,0
5100,0,92,7,1
5120,0,86,11,0
5140,0,92,6,2
5160,0,89,0,6
5180,1,68,4,21
5200,0,81,4,5
5220,0,91,4,1
5240,0,94,1,0
5260,0,97,0,0
5280,0,86,1,0
5300,0,94,2,0
5320,0,88,3,0
5340,0,100,0,0
5360,0,90,5,0
5380,0,96,3,0
5400,0,90,7,0
5420,0,78,11,0
5440,0,65,20,0
5460,0,57,33,0
5480,0,81,17,1
5500,0,97,3,0
5520,0,95,2,0
5540,7,76,3,0
5560,5,73,6,2
5580,2,70,2,3
5600,12,59,8,3
5620,2,78,5,2
5640,3,76,1,0
5660,1,73,5,0
5680,5,59,2,0
5700,12,62,1,0
5720,9,58,9,0
5740,4,20,35,0
5760,4,30,51,0
5780,2,23,60,0
5800,6,15,55,0
5820,0,1,53,0
5840,0,12,62,0
5860,0,16,52,0
5880,0,14,34,0
5900,0,23,51,0
5920,0,31,39,0
5940,0,24,34,0
5960,0,14,20,0
5980,1,38,10,0
6000,0,62,10,0
6020,0,67,14,0
6040,4,38,18,0
6060,13,33,12,0
6080,29,48,16,0
6100,14,65,11,0
6120,15,54,15,0
6140,15,55,15,0
6160,30,62,5,0
6180,10,85,4,0
6200,25,74,0,0
6220,24,74,1,0
6240,4,96,0,0
6260,0,100,0,0
6280,0,99,0,0
6300,0,100,0,0
6320,0,100,0,0
6340,0,100,0,0
6360,0,100,0,0
6380,2,97,0,0
6400,0,100,0,0
6420,0,100,0,0
6440,0,100,0,0
6460,0,100,0,0
6480,0,100,0,0
6500,1,99,0,0
6520,0,100,0,0
6540,2,98,0,0
6560,0,100,0,0
6580,1,99,0,0
6600,1,99,0,0
6620,9,85,2,0
6640,5,92,1,0
6660,2,97,0,0
6680,1,88,3,2
6700,0,100,0,0
6720,0,98,0,1
6740,0,99,1,0
6760,0,99,0,0
6780,0,100,0,0
6800,0,96,2,0
6820,0,100,0,0
6840,0,100,0,0
6860,0,92,3,1
6880,0,96,1,0
6900,1,79,8,2
6920,3,76,1,2
6940,1,77,2,5
6960,4,68,3,7
6980,10,51,2,8
7000,6,50,3,7
7020,5,51,3,20
7040,4,57,1,14
7060,6,82,0,5
7080,8,73,0,2
7100,7,89,0,1
7120,1,99,0,0
7140,7,92,0,0
7160,12,84,3,0
7180,7,91,1,0
7200,1,99,0,0
7220,2,98,0,0
7240,0,100,0,0
7260,0,100,0,0
7280,0,100,0,0
7300,0,100,0,0
7320,0,99,0,0
7340,0,100,0,0
7360,0,100,0,0
7380,0,100,0,0
7400,0,100,0,0
7420,0,100,0,0
7440,0,98,0,1
7460,0,100,0,0
7480,0,98,0,2
7500,0,97,0,3
7520,0,96,0,3
7540,0,98,0,0
7560,1,96,0,2
7580,2,75,1,8
