pointer,Bat_mischivirus_5,Mischivirus_B,NC_026470.1
260,29,71,0
280,23,69,8
300,29,62,9
320,23,71,6
340,24,75,1
360,82,18,0
380,59,30,11
400,72,22,6
420,89,9,2
440,86,13,1
460,98,0,2
480,99,0,1
500,99,1,0
520,100,0,0
540,99,0,1
560,94,4,2
580,87,6,7
600,86,8,6
620,86,7,7
640,90,1,9
660,75,3,22
680,-1,-1,-1
700,-1,-1,-1
720,-1,-1,-1
740,-1,-1,-1
760,-1,-1,-1
780,-1,-1,-1
800,89,10,1
820,-1,-1,-1
840,48,40,12
860,52,34,14
880,54,39,7
900,47,47,6
920,39,54,7
940,51,40,9
960,33,58,9
980,5,53,42
1000,0,2,98
1020,1,7,92
1040,0,6,94
1060,0,1,99
1080,0,3,97
1100,0,4,96
1120,3,5,92
1140,1,0,99
1160,0,0,100
1180,3,3,94
1200,12,13,75
1220,6,10,84
1240,15,16,69
1260,27,19,54
1280,21,19,60
1300,17,6,77
1320,4,12,84
1340,8,8,84
1360,13,3,84
1380,13,3,84
1400,16,6,78
1420,24,5,71
1440,27,1,72
1460,10,3,87
1480,8,0,92
1500,31,5,64
1520,13,3,84
1540,18,4,78
1560,12,9,79
1580,1,4,95
1600,0,0,100
1620,0,0,100
1640,0,0,100
1660,2,1,97
1680,1,0,99
1700,0,0,100
1720,8,0,92
1740,4,0,96
1760,8,1,91
1780,44,1,55
1800,66,3,31
1820,47,13,40
1840,29,44,27
1860,31,25,44
1880,21,27,52
1900,25,41,34
1920,9,22,69
1940,6,36,58
1960,2,40,58
1980,0,19,81
2000,0,14,86
2020,0,17,83
2040,0,12,88
2060,1,25,74
2080,0,16,84
2100,1,16,83
2120,0,31,69
2140,1,24,75
2160,2,23,75
2180,0,9,91
2200,2,15,83
2220,7,12,81
2240,4,3,93
2260,14,3,83
2280,38,2,60
2300,27,4,69
2320,33,0,67
2340,24,0,76
2360,13,0,87
2380,50,0,50
2400,73,0,27
2420,48,0,52
2440,49,2,49
2460,22,1,77
2480,8,0,92
2500,20,0,80
2520,40,1,59
2540,15,0,85
2560,51,0,49
2580,21,1,78
2600,6,0,94
2620,12,0,88
2640,19,0,81
2660,29,1,70
2680,36,1,63
2700,15,3,82
2720,5,1,94
2740,30,3,67
2760,20,0,80
2780,9,0,91
2800,15,1,84
2820,14,10,76
2840,14,6,80
2860,23,6,71
2880,5,0,95
2900,0,0,100
2920,4,0,96
2940,1,3,96
2960,0,11,89
2980,1,20,79
3000,0,14,86
3020,0,13,87
3040,1,9,90
3060,1,9,90
3080,1,25,74
3100,3,18,79
3120,8,35,57
3140,12,61,27
3160,12,55,33
3180,6,50,44
3200,10,31,59
3220,5,14,81
3240,1,9,90
3260,0,2,98
3280,0,5,95
3300,1,7,92
3320,0,3,97
3340,0,1,99
3360,0,0,100
3380,0,0,100
3400,0,0,100
3420,0,1,99
3440,0,2,98
3460,1,14,85
3480,0,11,89
3500,0,11,89
3520,0,4,96
3540,0,9,91
3560,1,16,83
3580,4,9,87
3600,2,8,90
3620,5,11,84
3640,6,35,59
3660,0,35,65
3680,12,24,64
3700,30,31,39
3720,36,47,17
3740,53,35,12
3760,29,54,17
3780,14,64,22
3800,9,78,13
3820,10,58,32
3840,24,20,56
3860,20,14,66
3880,21,11,68
3900,2,14,84
3920,0,15,85
3940,1,14,85
3960,0,6,94
3980,1,0,99
4000,0,0,100
4020,1,4,95
4040,0,9,91
4060,2,5,93
4080,0,14,86
4100,0,5,95
4120,0,9,91
4140,0,0,100
4160,2,2,96
4180,1,10,89
4200,4,4,92
4220,1,1,98
4240,0,0,100
4260,0,1,99
4280,1,0,99
4300,7,5,88
4320,5,18,77
4340,29,17,54
4360,43,5,52
4380,25,10,65
4400,15,39,46
4420,12,27,61
4440,18,37,45
4460,13,19,68
4480,9,18,73
4500,6,6,88
4520,27,4,69
4540,26,12,62
4560,25,24,51
4580,25,10,65
4600,39,5,56
4620,52,5,43
4640,64,4,32
4660,39,7,54
4680,37,2,61
4700,19,1,80
4720,3,5,92
4740,1,0,99
4760,0,0,100
4780,1,2,97
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,0,100
