#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
102.222	2.149e+04	8.410e+03	5.493e+04
203.122	2.680e+04	1.331e+04	5.395e+04
304.021	3.240e+04	1.627e+04	6.451e+04
404.920	4.101e+04	2.103e+04	7.999e+04
505.819	5.181e+04	2.712e+04	9.900e+04
606.719	6.387e+04	3.411e+04	1.196e+05
707.618	6.607e+04	4.647e+04	9.393e+04
808.517	7.145e+04	5.922e+04	8.620e+04
909.416	1.206e+05	7.098e+04	2.049e+05
1010.316	1.680e+05	9.775e+04	2.889e+05
1111.215	1.938e+05	1.131e+05	3.321e+05
1212.114	2.109e+05	1.312e+05	3.391e+05
1313.013	3.038e+05	1.966e+05	4.694e+05
1413.913	4.529e+05	3.013e+05	6.808e+05
1514.812	6.675e+05	4.495e+05	9.912e+05
1615.711	1.227e+06	8.201e+05	1.836e+06
1716.610	1.536e+06	1.014e+06	2.329e+06
1817.510	1.838e+06	1.204e+06	2.807e+06
1918.409	3.403e+06	2.348e+06	4.932e+06
2019.308	1.157e+06	4.184e+05	3.199e+06
