Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
KJ641684.1,Bat picornavirus,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,1,2010,0
KJ641687.1,Bat picornavirus,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2012,0
KJ641688.1,Bat picornavirus,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Rhinolophus lepidus,1,2012,0
KJ641689.1,Bat picornavirus,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,China,Myotis altarium,1,2012,0
KJ641690.1,Bat picornavirus,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2012,0
KJ641692.1,Bat picornavirus,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,China,Rhinolophus affinis,1,2013,0
KJ641693.1,Bat picornavirus,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Rhinolophus hipposideros,1,2013,0
KJ641694.1,Bat picornavirus,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,China,Rhinolophus sinicus,1,2010,0
KJ641696.1,Bat picornavirus,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Vespertilio sinensis,1,2013,0
KJ641699.1,Bat picornavirus,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,China,Miniopterus fuliginosus,1,2011,0
KP054274.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,Hungary,Miniopterus schreibersii,1,2013,0
MN602325.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,Italy,Pipistrellus pipistrellus,1,2017,0
MZ218061.1,Bat picornavirus,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,Denmark,Myotis daubentonii,1,2014,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
NC_043071.1,Bat picornavirus,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,China,Myotis ricketti,1,2010,0
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,China,Rhinolophus ferrumequinum,1,2010,0
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,China,Nyctalus velutinus,1,2013,0
ON375332.1,Bat picornavirus,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,Sweden,Pipistrellus pygmaeus,1,2020,0
ON375333.1,Bat picornavirus,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,Sweden,Pipistrellus pygmaeus,1,2020,0
OQ363777.1,Bat picornavirus,GD/L8.18/2020,Shanbavirus A,Shanbavirus,China,Rhinolophus sinicus,1,2020,0
OR951221.1,Bat picornavirus,HI2018,Shanbavirus A,Shanbavirus,China,Pipistrellus abramus,1,2018,0
OR951224.1,Bat picornavirus,YN2020,Shanbavirus A,Shanbavirus,China,Hipposideros pomona,1,2020,0
OR951227.1,Bat picornavirus,GX2016,Shanbavirus A,Shanbavirus,China,Rhinolophus pusillus,1,2016,0
OR951297.1,Bat picornavirus,GD2016_228_5814,Shanbavirus A,Shanbavirus,China,Miniopterus pusillus,1,2016,0
OR951337.1,Bat picornavirus,YN2017,Shanbavirus A,Shanbavirus,China,Rousettus leschenaultii,1,2017,0
OR951350.1,Bat picornavirus,YN2016,Shanbavirus A,Shanbavirus,China,Chaerephon plicatus,1,2016,0
PP766469,Rousettus madagascariensis picornavirus 3,MIZ405.1,Rousettus madagascariensis picornavirus 3,Unclassified picornavirus,Madagascar,Rousettus madagascariensis,1,2019,1
PP766471,Rousettus madagascariensis picornavirus 3,MIZ405.3,Rousettus madagascariensis picornavirus 3,Unclassified picornavirus,Madagascar,Rousettus madagascariensis,1,2019,1
PP766472,Rousettus madagascariensis picornavirus 3,MIZ405.4,Rousettus madagascariensis picornavirus 3,Unclassified picornavirus,Madagascar,Rousettus madagascariensis,1,2019,1
OQ818325,Rousettus madagascariensis picornavirus 1,MIZ214,Rousettus madagascariensis picornavirus 1,Unclassified picornavirus,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,Rousettus madagascariensis picornavirus 1,MIZ240,Rousettus madagascariensis picornavirus 1,Unclassified picornavirus,Madagascar,Rousettus madagascariensis,1,2018,1
