Accession,Organism_Name,Isolate,Species,Genus,Nuc_Completeness,Country,source,Host,Collection_Date,novel
JQ916917.1,Bat picornavirus,BtPV/BB89-24/Rhi_bla/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus blasii,1,2008,0
JQ916918.1,Bat picornavirus,BtPV/BB89-95/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus euryale,1,2008,0
JQ916919.1,Bat picornavirus,BtPV/NM98-80/Myo_bec/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis bechsteinii,1,2008,0
JQ916920.1,Bat picornavirus,BtPV/BR89-2/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus euryale,1,2008,0
JQ916921.1,Bat picornavirus,BtPV/BR89-5/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus euryale,1,2008,0
JQ916922.1,Bat picornavirus,BtPV/SA58-16/Myo_das/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis dasycneme,1,2008,0
JQ916923.1,Bat picornavirus,BtPV/Rcet88-34/Min_sch/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Miniopterus schreibersii,1,2008,0
JQ916924.1,Bat picornavirus,BtPV/BR89-21/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916925.1,Bat picornavirus,BtPV/BR89-24/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916926.1,Bat picornavirus,BtPV/BR89-30/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916927.1,Bat picornavirus,BtPV/BR89-52/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916928.1,Bat picornavirus,BtPV/BR89-62/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916929.1,Bat picornavirus,BtPV/Rcet88-73/Nyc_noc/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Nyctalus noctula,1,2008,0
JQ916930.1,Bat picornavirus,BtPV/Rcet88-84/Min_sch/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Miniopterus schreibersii,1,2008,0
JQ916931.1,Bat picornavirus,BtPV/N78-55/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis myotis,1,2008,0
JQ916932.1,Bat picornavirus,BtPV/N78-1/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis myotis,1,2008,0
JQ916933.1,Bat picornavirus,BtPV/N78-2/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis myotis,1,2008,0
JQ916934.1,Bat picornavirus,BtPV/N78-6/Myo_myo/GER/2008,Shanbavirus A,Shanbavirus,partial,Germany,Myotis myotis,1,2008,0
JQ916935.1,Bat picornavirus,BtPV/Rcet88-19/Myo_myo/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Myotis myotis,1,2008,0
JQ916936.1,Bat picornavirus,BtPV/Rcet88-21/Myo_myo/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Myotis myotis,1,2008,0
JQ916937.1,Bat picornavirus,BtPV/Rcet88-62/Myo_oxy/ROU/2008,Shanbavirus A,Shanbavirus,partial,Romania,Myotis oxygnathus,1,2008,0
JQ916938.1,Bat picornavirus,BtPV/BR89-38/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916939.1,Bat picornavirus,BtPV/BR89-41a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916940.1,Bat picornavirus,BtPV/BR89-23a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916941.1,Bat picornavirus,BtPV/BR89-24a/Min_sch/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Miniopterus schreibersii,1,2008,0
JQ916942.1,Bat picornavirus,BtPV/BV89-29/Rhi_fer/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus ferrumequinum,1,2008,0
JQ916943.1,Bat picornavirus,BtPV/BM89-5/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus euryale,1,2008,0
JQ916944.1,Bat picornavirus,BtPV/BM89-26/Rhi_eur/BGR/2008,Shanbavirus A,Shanbavirus,partial,Bulgaria,Rhinolophus euryale,1,2008,0
KJ641684.1,Bat picornavirus,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus ferrumequinum,1,2010,0
KJ641687.1,Bat picornavirus,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,partial,China,Miniopterus fuliginosus,1,2012,0
KJ641688.1,Bat picornavirus,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus lepidus,1,2012,0
KJ641689.1,Bat picornavirus,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,partial,China,Myotis altarium,1,2012,0
KJ641690.1,Bat picornavirus,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,partial,China,Miniopterus fuliginosus,1,2012,0
KJ641692.1,Bat picornavirus,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus affinis,1,2013,0
KJ641693.1,Bat picornavirus,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus hipposideros,1,2013,0
KJ641694.1,Bat picornavirus,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus sinicus,1,2010,0
KJ641695.1,Bat picornavirus,BtRs-PicoV/GD2012,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus sinicus,1,2012,0
KJ641696.1,Bat picornavirus,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,partial,China,Vespertilio sinensis,1,2013,0
KJ641699.1,Bat picornavirus,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,partial,China,Miniopterus fuliginosus,1,2011,0
KP054274.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,partial,Hungary,Miniopterus schreibersii,1,2013,0
MN602325.1,Bat picornavirus,,Shanbavirus A,Shanbavirus,complete,Italy,Pipistrellus pipistrellus,1,2017,0
MT648452.1,Bat picornavirus,16BF109,Shanbavirus A,Shanbavirus,partial,South Korea,Miniopterus schreibersii,1,2016,0
MW259061.1,Bat picornavirus,DesRot/Peru/HUA4_F_DrPicoV,Shanbavirus A,Shanbavirus,partial,Peru,Desmodus rotundus,1,2016,0
MW259062.1,Bat picornavirus,DesRot/Peru/AYA12_F_DrPicoV,Shanbavirus A,Shanbavirus,partial,Peru,Desmodus rotundus,1,2016,0
MW259063.1,Bat picornavirus,DesRot/Peru/API141_F_DrPicoV,Shanbavirus A,Shanbavirus,partial,Peru,Desmodus rotundus,1,2016,0
MW259064.1,Bat picornavirus,DesRot/Peru/LMA5_F_DrPicoV,Shanbavirus A,Shanbavirus,partial,Peru,Desmodus rotundus,1,2016,0
MZ218061.1,Bat picornavirus,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,partial,Denmark,Myotis daubentonii,1,2014,0
NC_043071.1,Bat picornavirus,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,complete,China,Myotis ricketti,1,2010,0
NC_076039.1,Bat picornavirus,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,complete,China,Rhinolophus ferrumequinum,1,2010,0
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,complete,China,Nyctalus velutinus,1,2013,0
ON375332.1,Bat picornavirus,BtPp-PicoV/F-HS1/SWE/2020,Shanbavirus A,Shanbavirus,partial,Sweden,Pipistrellus pygmaeus,1,2020,0
ON375333.1,Bat picornavirus,BtPp-PicoV/F-HS2/SWE/2020,Shanbavirus A,Shanbavirus,partial,Sweden,Pipistrellus pygmaeus,1,2020,0
OQ363777.1,Bat picornavirus,GD/L8.18/2020,Shanbavirus A,Shanbavirus,complete,China,Rhinolophus sinicus,1,2020,0
OR951221.1,Bat picornavirus,HI2018,Shanbavirus A,Shanbavirus,partial,China,Pipistrellus abramus,1,2018,0
OR951224.1,Bat picornavirus,YN2020,Shanbavirus A,Shanbavirus,partial,China,Hipposideros pomona,1,2020,0
OR951227.1,Bat picornavirus,GX2016,Shanbavirus A,Shanbavirus,partial,China,Rhinolophus pusillus,1,2016,0
OR951297.1,Bat picornavirus,GD2016_228_5814,Shanbavirus A,Shanbavirus,partial,China,Miniopterus pusillus,1,2016,0
OR951302.1,Bat picornavirus,GD2016_230_14489,Shanbavirus A,Shanbavirus,partial,China,Miniopterus pusillus,1,2016,0
OR951337.1,Bat picornavirus,YN2017,Shanbavirus A,Shanbavirus,partial,China,Rousettus leschenaultii,1,2017,0
OR951350.1,Bat picornavirus,YN2016,Shanbavirus A,Shanbavirus,partial,China,Chaerephon plicatus,1,2016,0
