Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
HM769724.1,Hepatovirus A,HAV-Arg/06,Hepatovirus A,Hepatovirus,Argentina,Homo sapiens,2006-06-11
OR261026.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,2023-04-03
OR452341.1,Hepatovirus A,Chu-alp-02,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,2019-04-17
OR367421.1,Hepatovirus sp. 'sotense',CH-APSJS/2021,Hepatovirus sp. 'sotense',Hepatovirus,Brazil,Artibeus planirostris,2021-10-28
MG049743.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Brazil,Homo sapiens,2017
MG181943.1,Didelphis aurita hepatitis A virus,,Hepatovirus A,Hepatovirus,Brazil,Didelphis aurita,15-Aug
KT229611.1,Hepatovirus A,2ID,Hepatovirus A,Hepatovirus,China,Marmota monax,2013
KP177965.1,Hepatovirus A,hd9,Hepatovirus A,Hepatovirus,China,Homo sapiens,2007
KX523680.1,Hepatovirus A,LV8,Hepatovirus A,Hepatovirus,China,Homo sapiens,1988
NC_028981.1,Tupaia hepatovirus A,TN1,Tupaia hepatovirus A,Hepatovirus,China,Tupaia chinensis,2012-01-01
MW391925.1,Hepatovirus sp.,YS,Hepatovirus sp.,Hepatovirus,China,Apodemus peninsulae,19-Jul
KF569906.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,China,Homo sapiens,2012-04-18
NC_038314.1,Rodent hepatovirus CIV459Lopsik2004,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Cote d'Ivoire,Lophuromys sikapusi,2004
LC515196.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Gabon,Homo sapiens,2016-01-08
KT452698.1,Hedgehog hepatovirus,Igel68Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
KT452695.1,Hedgehog hepatovirus,Igel75Erieur2014,Hepatovirus H,Hepatovirus,Germany,Erinaceus europaeus,2014
KT452641.1,Rodent hepatovirus,KS11510Myogla2011,Rodent hepatovirus,Hepatovirus,Germany,Myodes glareolus,2011
NC_028364.1,Shrew hepatovirus KS121232Sorara2012,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,2012
NC_028363.1,Rodent hepatovirus RMU101637Micarv2010,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Germany,Microtus arvalis,2010
