Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
MH778548.1,Cardiovirus B,SAFV_BR193,Cardiovirus B,Cardiovirus,Brazil,Homo sapiens,2015-10-22
MH933792.1,Saffold virus,Cardiovirus-B/CMRHP35/CMR/2014,Cardiovirus B,Cardiovirus,Cameroon,Homo sapiens,2014
JF813004.1,Saffold virus,,Cardiovirus B,Cardiovirus,Canada,Homo sapiens,2007
KU955338.1,Mengo virus,,Cardiovirus A,Cardiovirus,Central African Republic,Tatera,1983
MF172923.1,cardiovirus B3,1,Cardiovirus B,Cardiovirus,China,Rattus rattus,2014
MH976711.1,Rodent Cardiovirus,AMzj-2018,Rodent Cardiovirus,Cardiovirus,China,Rattus,2017-02-20
MH191297.1,Encephalomyocarditis virus,HLJ,Cardiovirus A,Cardiovirus,China,Sus scrofa,2016-06-06
KF771002.1,Encephalomyocarditis virus,HN13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-06-12
KF836386.1,Encephalomyocarditis virus,HNJZ1201,Cardiovirus A,Cardiovirus,China,Sus scrofa,2012-05-28
KF836387.1,Encephalomyocarditis virus,JZ1202,Cardiovirus A,Cardiovirus,China,Sus scrofa,2012-05-26
KF836388.1,Encephalomyocarditis virus,JZ1203,Cardiovirus A,Cardiovirus,China,Mus musculus,2012-05-28
NC_075977.1,cardiovirus F1,RtMruf-PicoV/JL2014-1,Cardiovirus F,Cardiovirus,China,Rodentia,
MF139053.1,Rodent Cardiovirus,SX1,Rodent Cardiovirus,Cardiovirus,China,Rattus,2014
OL519583.1,Saffold virus,xz015-SAFV-2,Cardiovirus B,Cardiovirus,China,Homo sapiens,2018
KF836389.1,Encephalomyocarditis virus,YM13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-04-05
KF836390.1,Encephalomyocarditis virus,YY13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-08-28
KJ524643.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-04-15
FJ897755.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,08-May
KF293299.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Panthera tigris amoyensis,2013-01-09
GU943513.1,Saffold virus,,Cardiovirus B,Cardiovirus,China,Homo sapiens,2008-11-12
MZ382838.1,Marmot cardiovirus,,Marmot cardiovirus,Cardiovirus,China,,2014
MT250508.1,Encephalomyocarditis virus,FRA/SIG/1/2013,Cardiovirus A,Cardiovirus,France,Loxodonta africana,2013-11-21
MT250509.1,Encephalomyocarditis virus,FRA/SIG/1/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2013-12-31
MT250510.1,Encephalomyocarditis virus,FRA/SIG/2/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2014-02-01
MT250511.1,Encephalomyocarditis virus,FRA/SIG/3/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2014-02-02
MN116646.1,Cardiovirus B,,Cardiovirus B,Cardiovirus,Hungary,Rattus norvegicus,2018
HQ902242.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Homo sapiens,2008
HQ162476.1,Saffold virus,,Cardiovirus B,Cardiovirus,Malaysia,Homo sapiens,2009-11-18
HM181996.1,Saffold virus 3,SAFV-3_NL1999-590,Cardiovirus D,Cardiovirus,Netherlands,Homo sapiens,1998-12-12
HM181999.1,Saffold virus,SAFV-3_NL2005-1035,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2005-04-20
HM181997.1,Saffold virus,SAFV-3_NL2007-2686,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2004-06-07
HM181998.1,Saffold virus,SAFV-3_NL2007-2690,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2004-11-10
FM207487.1,Saffold virus,,Cardiovirus B,Cardiovirus,Netherlands,,2007-12-05
KP972594.1,Saffold virus,SAFV-3-Maynas-Loreto-Peru-2012,Cardiovirus B,Cardiovirus,Peru,Homo sapiens,2012
KX231802.1,Mengo virus,,Cardiovirus A,Cardiovirus,Russia,Papio hamadryas,2007
MN547968.1,Encephalomyocarditis virus,SG-G15150-19,Cardiovirus A,Cardiovirus,Singapore,Cuniculus,2019-04-21
MT499387.1,Encephalomyocarditis virus,SG-NParks-M100-02,Cardiovirus A,Cardiovirus,Singapore,Pongo pygmaeus,2002
OR924200.1,Encephalomyocarditis virus,EMCV_KNP19/94,Cardiovirus A,Cardiovirus,South Africa,Loxodonta africana,Feb-94
EU780149.1,Encephalomyocarditis virus,K11,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,1990
EU780148.1,Encephalomyocarditis virus,K3,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,1990
NC_038305.1,cardiovirus C1,BCV-1,Cardiovirus C,Cardiovirus,USA,Rattus norvegicus,2010-12-17
GU595289.1,Human TMEV-like cardiovirus,HTCV-UC6,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2001-02-06
DQ294633.1,Mengo virus,Rz-pMwt,Cardiovirus A,Cardiovirus,USA,Mus,
DQ288856.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Mus,
KM269482.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Pan troglodytes,1944
EU815052.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,2006-03-20
EU542581.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,
NC_009448.2,Saffold virus,,Cardiovirus B,Cardiovirus,USA,,
HQ652539.1,Theiler's encephalomyelitis virus,NIHE,Cardiovirus B,Cardiovirus,Viet Nam,,2007
AB090161.1,Theiler's-like virus of rats,,Cardiovirus B,Cardiovirus,,Rattus,
JX443418.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,,Mus musculus,
