name,date
NC_001366.1,1990-09-13
NC_001430.1,2009-09-04
NC_001472.1,2007-01-21
NC_001479.1,2000-08-01
NC_001489.1,1987-08-05
NC_001490.1,1984-07-01
NC_001612.1,1994-01-31
NC_001617.1,2009-04-04
NC_001859.1,1997-12-09
NC_001918.1,1998-01-07
NC_002058.3,1980-07-01
NC_003976.2,2000-12-13
NC_003983.1,1996-03-25
NC_003985.1,1998-12-02
NC_003987.1,2008-07-01
NC_003988.1,1999-11-04
NC_003990.1,1997-12-17
NC_004421.1,2005-08-02
NC_004441.1,2001-03-23
NC_004451.1,2001-11-30
NC_006553.1,2003-01-04
NC_008250.2,2005-09-29
NC_008714.1,2003-07-29
NC_009448.2,2006-07-21
NC_009891.1,2009-06-07
NC_009996.1,2007-04-27
NC_010354.1,2007-10-19
NC_010415.1,2000-12-06
NC_010810.1,2001-07-08
NC_011349.1,2006-05-16
NC_011829.1,2007-01-07
NC_011829.1,2007-08-05
NC_012798.1,2011-05-08
NC_012800.1,2011-05-08
NC_012801.1,2011-05-08
NC_012802.1,2004-01-07
NC_012957.1,2002-10-16
NC_012986.1,2009-06-22
NC_013695.1,2007-07-16
NC_014411.1,2001-11-07
NC_014412.1,2001-11-07
NC_014413.1,2007-01-04
NC_015626.1,2009-12-08
NC_015934.1,2007-01-10
NC_015936.1,2008-12-19
NC_015940.1,2009-06-05
NC_015941.1,2007-08-24
NC_016156.1,2007-01-10
NC_016403.1,2006-07-11
NC_016769.1,2007-01-08
NC_016964.1,2011-10-21
NC_018226.1,2007-01-10
NC_018400.1,2003-11-15
NC_018506.1,2004-01-10
NC_018668.1,2007-01-07
NC_021178.1,2007-11-10
NC_021201.1,2005-06-14
NC_021220.1,2002-05-13
NC_021482.1,2006-11-13
NC_022332.1,2012-12-15
NC_022802.1,1953-07-01
NC_023162.1,2007-01-12
NC_023422.1,2010-04-13
NC_023858.1,2010-09-13
NC_023861.1,1994-03-22
NC_023984.1,2010-10-12
NC_023985.1,2011-07-15
NC_023987.1,2009-07-15
NC_023988.1,2012-01-11
NC_024070.1,2008-10-29
NC_024073.1,2012-10-15
NC_024120.1,2003-01-09
NC_024765.1,2010-10-08
NC_024766.1,2010-10-08
NC_024767.1,2010-10-08
NC_024768.1,2010-10-08
NC_024769.1,2010-09-16
NC_024770.1,2007-01-11
NC_025114.1,2004-01-11
NC_025432.1,2005-01-12
NC_025474.1,2007-01-12
NC_025675.1,1981-07-01
NC_025890.1,2008-11-12
NC_025961.1,2007-01-13
NC_026249.1,2001-04-14
NC_026315.1,2007-01-12
NC_026316.1,2007-01-13
NC_026470.1,2009-02-14
NC_026921.1,2007-01-12
NC_027054.1,2003-01-12
NC_027214.1,2014-11-25
NC_027818.1,2014-06-15
NC_027918.1,2011-01-14
NC_027919.1,1988-07-01
NC_028363.1,2007-01-12
NC_028364.1,2007-01-14
NC_028365.1,2007-01-10
NC_028366.1,2015-02-15
NC_028380.1,2007-01-13
NC_028964.1,2007-01-13
NC_028970.1,2001-01-12
NC_028981.1,2007-01-15
NC_029854.1,2016-01-25
NC_029905.1,2009-09-13
NC_030454.1,2004-01-11
NC_030843.1,2014-05-28
NC_031105.1,2009-03-24
NC_031106.1,2016-06-15
NC_032126.1,2007-01-13
NC_033695.1,2001-01-14
NC_033793.1,2012-01-13
NC_033818.1,2012-01-13
NC_033819.1,2012-01-13
NC_033820.1,2012-01-13
NC_034206.1,2016-03-13
NC_034245.1,2014-04-20
NC_034267.1,2012-01-10
NC_034381.1,2001-05-16
NC_034385.1,2001-09-16
NC_034453.1,2017-01-20
NC_034617.1,2009-01-15
NC_034971.1,2007-01-11
NC_035110.1,2007-10-14
NC_035198.1,2007-01-11
NC_035779.1,2014-09-22
NC_036588.1,2007-01-13
NC_037654.1,2009-01-08
NC_038303.1,2010-01-10
NC_038304.1,2010-12-17
NC_038305.1,2006-04-19
NC_038306.1,2018-08-24
NC_038307.1,2010-01-03
NC_038308.1,2007-02-27
NC_038309.1,2002-03-13
NC_038310.1,2011-10-08
NC_038311.1,2006-04-19
NC_038312.1,2007-01-14
NC_038313.1,2007-01-04
NC_038314.1,2007-01-12
NC_038315.1,2007-01-10
NC_038316.1,2007-01-11
NC_038317.1,2007-01-11
NC_038318.1,2018-08-24
NC_038319.1,2007-01-06
NC_038878.1,2007-01-10
NC_038880.1,2007-01-11
NC_038957.1,2009-01-11
NC_038961.1,2016-04-27
NC_038989.1,2001-09-15
NC_039004.1,2003-01-15
NC_039209.1,1965-07-01
NC_039210.1,2007-01-11
NC_039212.1,2007-01-12
NC_039235.1,2005-02-17
NC_040605.1,2004-01-15
NC_040611.1,2004-01-17
NC_040642.1,2007-02-16
NC_040673.1,2007-01-13
NC_040684.1,2007-02-16
NC_043072.1,2007-01-10
NC_043544.1,2016-07-18
NC_055108.1,2003-01-09
NC_055156.1,2007-01-15
NC_055159.1,2014-08-15
NC_055160.1,2007-01-15
NC_055161.1,2018-07-27
OP287812.1,2018-07-27
OQ818316,2018-08-16
OQ818317,2018-02-15
OQ818318,2018-02-15
OQ818320,2018-07-27
OQ818321,2019-01-07
OQ818322,2019-04-23
OQ818323,2018-07-29
OQ818324,2018-07-29
OQ818325,2018-09-11
OQ818328,2018-09-12
OQ818329,2018-09-12
OQ818337,2018-02-15
