FileName: D:\tescho_bootscan_align_all_nt.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818318","OQ818318"
"Ref","OQ818323","OQ818323"
"Query","OQ818324"
"Ref","KX420938.1","KX420938.1"
"Ref","Pteropodidae_bat_teschovirus","Pteropodidae_bat_teschovirus"
"Ref","LC386158.1","LC386158.1"


"CenterPos","OQ818318","OQ818323","KX420938.1","Pteropodidae_bat_teschovirus","LC386158.1"
"100","1","4","0","66","5"
"120","0","0","1","84","10"
"140","0","2","1","68","9"
"160","0","4","3","57","21"
"180","1","0","4","63","8"
"200","2","4","17","70","0"
"220","2","1","39","38","1"
"240","0","38","24","19","0"
"260","0","77","1","5","0"
"280","0","82","5","3","0"
"300","0","98","0","0","0"
"320","1","94","1","0","0"
"340","2","94","2","0","0"
"360","0","98","0","0","0"
"380","0","100","0","0","0"
"400","0","100","0","0","0"
"420","0","100","0","0","0"
"440","0","100","0","0","0"
"460","0","100","0","0","0"
"480","0","100","0","0","0"
"500","0","92","0","0","8"
"520","0","84","0","0","16"
"540","0","84","0","0","14"
"560","0","93","0","0","7"
"580","0","89","0","0","7"
"600","0","85","0","4","5"
"620","0","71","0","5","11"
"640","0","64","0","4","24"
"660","0","84","0","0","12"
"680","0","89","0","0","3"
"700","0","94","0","0","0"
"720","0","77","0","0","0"
"740","0","86","0","0","3"
"760","0","90","0","0","1"
"780","0","88","0","0","2"
"800","0","91","0","0","3"
"820","0","83","0","0","3"
"840","0","72","0","0","7"
"860","0","70","0","0","8"
"880","0","70","0","0","20"
"900","0","75","0","0","8"
"920","0","96","0","0","3"
"940","0","96","0","0","3"
"960","0","99","0","1","0"
"980","0","99","0","0","0"
"1000","0","96","0","0","1"
"1020","0","96","0","0","0"
"1040","0","91","0","3","1"
"1060","0","92","0","1","0"
"1080","0","95","0","0","0"
"1100","0","97","0","0","0"
"1120","0","94","0","1","1"
"1140","0","91","0","0","2"
"1160","0","79","0","0","7"
"1180","0","79","0","0","13"
"1200","0","89","0","0","3"
"1220","0","90","0","0","0"
"1240","0","88","0","0","1"
"1260","0","83","0","1","1"
"1280","0","96","0","0","0"
"1300","0","87","0","1","0"
"1320","0","79","0","6","0"
"1340","0","82","1","0","0"
"1360","0","88","0","3","0"
"1380","1","75","0","5","0"
"1400","0","76","0","1","1"
"1420","0","78","0","0","4"
"1440","0","93","0","0","1"
"1460","0","72","0","0","6"
"1480","1","38","0","0","22"
"1500","0","51","0","0","10"
"1520","0","65","0","0","8"
"1540","0","66","0","0","7"
"1560","0","53","0","0","17"
"1580","0","65","0","0","7"
"1600","0","61","0","0","6"
"1620","0","71","0","0","0"
"1640","0","83","0","0","0"
"1660","0","94","0","0","0"
"1680","0","100","0","0","0"
"1700","0","100","0","0","0"
"1720","0","100","0","0","0"
"1740","0","100","0","0","0"
"1760","0","100","0","0","0"
"1780","0","100","0","0","0"
"1800","0","98","0","0","0"
"1820","0","99","0","0","0"
"1840","0","100","0","0","0"
"1860","0","100","0","0","0"
"1880","0","100","0","0","0"
"1900","0","100","0","0","0"
"1920","0","100","0","0","0"
"1940","0","99","0","0","1"
"1960","0","100","0","0","0"
"1980","0","100","0","0","0"
"2000","0","100","0","0","0"
"2020","0","99","0","1","0"
"2040","0","74","0","0","4"
"2060","0","71","0","1","1"
"2080","0","83","0","0","0"
"2100","0","90","0","0","0"
"2120","0","97","0","0","0"
"2140","0","99","0","0","0"
"2160","0","94","0","0","0"
"2180","0","98","0","0","0"
"2200","0","97","0","0","2"
"2220","0","97","0","0","2"
"2240","0","100","0","0","0"
"2260","0","100","0","0","0"
"2280","0","99","0","0","1"
"2300","0","93","0","0","1"
"2320","0","84","0","0","8"
"2340","0","67","0","3","3"
"2360","0","89","0","1","1"
"2380","0","81","0","3","0"
"2400","1","56","3","7","0"
"2420","1","69","1","8","0"
"2440","0","68","5","6","0"
"2460","2","68","4","15","0"
"2480","4","71","1","16","0"
"2500","2","84","4","5","0"
"2520","6","83","6","1","0"
"2540","2","94","2","0","0"
"2560","1","87","5","1","1"
"2580","6","65","13","1","0"
"2600","0","89","4","1","0"
"2620","0","97","0","0","0"
"2640","0","99","0","0","0"
"2660","0","100","0","0","0"
"2680","0","100","0","0","0"
"2700","0","100","0","0","0"
"2720","0","100","0","0","0"
"2740","0","100","0","0","0"
"2760","0","100","0","0","0"
"2780","0","100","0","0","0"
"2800","0","100","0","0","0"
"2820","0","100","0","0","0"
"2840","0","100","0","0","0"
"2860","0","100","0","0","0"
"2880","0","100","0","0","0"
"2900","0","97","0","3","0"
"2920","0","96","0","2","0"
"2940","0","91","0","6","1"
"2960","0","97","0","2","0"
"2980","0","100","0","0","0"
"3000","0","100","0","0","0"
"3020","0","100","0","0","0"
"3040","0","92","0","1","1"
"3060","0","81","0","0","0"
"3080","3","90","0","0","0"
"3100","13","70","0","1","3"
"3120","6","68","0","0","3"
