FileName: D:\sapo_bootscan_all_align_nt_right.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","PP766459","PP766459"
"Ref","OQ818319","OQ818319"
"Ref","PP766460","PP766460"
"Ref","PP766477","PP766477"
"Ref","E_helvum_sapovirus","E_helvum_sapovirus"
"Query","R_leschenaulti_sapovirus"
"Ref","ON872527.1","ON872527.1"


"CenterPos","PP766459","OQ818319","PP766460","PP766477","E_helvum_sapovirus","ON872527.1"
"100","0","0","0","95","0","5"
"120","0","0","0","98","0","2"
"140","0","0","0","100","0","0"
"160","0","0","0","100","0","0"
"180","0","0","0","99","0","1"
"200","0","0","0","100","0","0"
"220","0","0","0","100","0","0"
"240","0","0","0","99","0","0"
"260","0","0","0","99","0","0"
"280","0","0","0","100","0","0"
"300","0","0","0","100","0","0"
"320","0","0","0","96","0","1"
"340","0","0","0","99","0","0"
"360","0","0","0","95","1","1"
"380","0","0","0","95","0","2"
"400","0","0","0","91","0","4"
"420","0","0","0","80","0","11"
"440","0","0","0","89","0","3"
"460","0","0","0","93","0","1"
"480","0","0","0","92","0","1"
"500","0","0","0","75","0","2"
"520","0","0","0","89","0","1"
"540","0","0","0","74","0","8"
"560","0","0","0","41","0","18"
"580","0","0","0","26","0","9"
"600","0","0","0","51","0","21"
"620","0","0","0","69","1","7"
"640","0","0","0","54","0","15"
"660","0","0","0","68","0","20"
"680","0","0","0","81","0","19"
"700","0","0","0","88","0","12"
"720","0","0","0","90","0","9"
"740","0","0","0","81","0","15"
"760","0","0","0","83","0","2"
"780","0","0","0","99","0","1"
"800","0","0","0","98","0","1"
"820","0","0","0","91","0","6"
"840","0","0","0","88","0","3"
"860","0","0","0","82","0","1"
"880","0","0","0","81","0","1"
"900","0","0","0","70","0","1"
"920","0","0","0","57","0","2"
"940","0","0","0","71","4","8"
"960","0","0","1","83","2","0"
"980","0","0","0","59","6","10"
"1000","0","0","0","82","4","6"
