FileName: D:\sapo_bootscan_all_align_nt_left.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","PP766459","PP766459"
"Ref","OQ818319","OQ818319"
"Ref","OQ818340","OQ818340"
"Query","PP766468"
"Ref","PP766474","PP766474"
"Ref","E_helvum_sapovirus","E_helvum_sapovirus"
"Ref","R_leschenaulti_sapovirus","R_leschenaulti_sapovirus"
"Ref","ON872527.1","ON872527.1"


"CenterPos","PP766459","OQ818319","OQ818340","PP766474","E_helvum_sapovirus","R_leschenaulti_sapovirus","ON872527.1"
"100","0","0","0","17","0","56","0"
"120","0","0","0","3","0","71","0"
"140","0","0","0","1","0","73","0"
"160","0","0","0","5","0","78","0"
"180","0","0","0","16","1","58","2"
"200","0","0","0","25","4","38","3"
"220","0","0","2","43","0","26","1"
"240","0","0","0","64","0","28","0"
"260","0","0","0","64","0","15","0"
"280","0","0","0","66","1","13","1"
"300","0","0","1","82","0","12","0"
"320","0","0","0","97","0","1","0"
"340","0","0","0","76","0","3","2"
"360","0","0","0","92","0","0","1"
"380","0","0","0","85","0","1","0"
"400","0","0","0","45","0","5","5"
"420","0","0","0","29","0","8","11"
"440","0","0","0","28","0","2","6"
"460","0","0","0","31","0","8","5"
"480","0","0","0","33","0","11","25"
"500","0","0","0","21","0","11","32"
"520","0","0","0","52","0","17","16"
"540","0","0","0","56","0","37","1"
"560","0","0","0","36","0","61","0"
"580","0","0","0","39","0","59","0"
"600","0","0","0","28","0","70","0"
"620","0","0","0","31","0","69","0"
"640","0","0","0","25","0","68","0"
"660","0","0","0","35","0","52","0"
"680","0","0","0","51","0","38","0"
"700","0","0","0","41","0","51","0"
"720","0","0","0","14","0","78","0"
"740","0","0","0","30","0","57","0"
"760","0","0","0","35","0","55","1"
"780","0","0","0","30","0","63","0"
"800","0","0","0","51","0","42","0"
"820","0","0","0","58","0","38","0"
"840","0","0","0","52","0","43","0"
"860","0","0","0","64","0","33","0"
"880","0","0","0","54","0","38","0"
"900","0","0","0","51","0","43","0"
"920","0","0","0","67","0","9","0"
"940","0","0","0","58","0","7","0"
"960","0","0","0","38","0","4","0"
