FileName: D:\batpicorna_bootscan_all_align_nt_mid.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818328","OQ818328"
"Ref","PP766469","PP766469"
"Query","OQ818325"
"Ref","PP766472","PP766472"
"Ref","Bat_picornavirus_3","Bat_picornavirus_3"
"Ref","Shanbavirus_A","Shanbavirus_A"
"Ref","OP963617.1","OP963617.1"


"CenterPos","OQ818328","PP766469","PP766472","Bat_picornavirus_3","Shanbavirus_A","OP963617.1"
"100","100","0","0","0","0","0"
"120","100","0","0","0","0","0"
"140","100","0","0","0","0","0"
"160","100","0","0","0","0","0"
"180","100","0","0","0","0","0"
"200","100","0","0","0","0","0"
"220","100","0","0","0","0","0"
"240","100","0","0","0","0","0"
"260","100","0","0","0","0","0"
"280","100","0","0","0","0","0"
"300","100","0","0","0","0","0"
"320","100","0","0","0","0","0"
"340","100","0","0","0","0","0"
"360","99","1","0","0","0","0"
"380","99","0","0","0","0","0"
"400","100","0","0","0","0","0"
"420","100","0","0","0","0","0"
"440","100","0","0","0","0","0"
"460","100","0","0","0","0","0"
"480","97","3","0","0","0","0"
"500","95","5","0","0","0","0"
"520","99","1","0","0","0","0"
"540","100","0","0","0","0","0"
"560","99","0","0","0","0","0"
"580","99","0","0","0","0","0"
"600","100","0","0","0","0","0"
"620","100","0","0","0","0","0"
"640","100","0","0","0","0","0"
"660","100","0","0","0","0","0"
"680","100","0","0","0","0","0"
"700","100","0","0","0","0","0"
"720","100","0","0","0","0","0"
"740","100","0","0","0","0","0"
"760","100","0","0","0","0","0"
"780","100","0","0","0","0","0"
"800","100","0","0","0","0","0"
"820","100","0","0","0","0","0"
"840","100","0","0","0","0","0"
"860","100","0","0","0","0","0"
"880","100","0","0","0","0","0"
"900","99","0","0","0","0","0"
"920","99","0","0","0","0","0"
"940","99","0","0","0","0","0"
"960","100","0","0","0","0","0"
"980","100","0","0","0","0","0"
"1000","100","0","0","0","0","0"
"1020","100","0","0","0","0","0"
"1040","100","0","0","0","0","0"
"1060","100","0","0","0","0","0"
"1080","100","0","0","0","0","0"
"1100","100","0","0","0","0","0"
"1120","100","0","0","0","0","0"
"1140","100","0","0","0","0","0"
"1160","97","0","0","0","0","0"
"1180","75","0","0","0","0","0"
"1200","91","0","0","0","0","0"
"1220","90","0","0","0","0","0"
"1240","92","0","0","0","0","0"
"1260","96","0","0","0","0","0"
"1280","95","0","0","0","0","0"
"1300","97","0","0","0","0","0"
"1320","96","0","0","0","0","0"
"1340","97","0","0","0","0","0"
"1360","99","0","0","0","0","0"
"1380","100","0","0","0","0","0"
"1400","100","0","0","0","0","0"
"1420","100","0","0","0","0","0"
"1440","100","0","0","0","0","0"
"1460","100","0","0","0","0","0"
"1480","97","0","0","0","0","0"
"1500","100","0","0","0","0","0"
"1520","97","0","0","0","0","0"
"1540","98","0","0","0","0","0"
"1560","98","0","0","0","0","0"
"1580","98","0","0","0","0","0"
"1600","100","0","0","0","0","0"
"1620","100","0","0","0","0","0"
"1640","100","0","0","0","0","0"
"1660","100","0","0","0","0","0"
"1680","100","0","0","0","0","0"
"1700","100","0","0","0","0","0"
"1720","98","0","0","0","0","0"
"1740","100","0","0","0","0","0"
"1760","100","0","0","0","0","0"
"1780","100","0","0","0","0","0"
"1800","100","0","0","0","0","0"
"1820","100","0","0","0","0","0"
"1840","100","0","0","0","0","0"
"1860","100","0","0","0","0","0"
"1880","100","0","0","0","0","0"
"1900","100","0","0","0","0","0"
"1920","100","0","0","0","0","0"
"1940","100","0","0","0","0","0"
"1960","100","0","0","0","0","0"
"1980","100","0","0","0","0","0"
"2000","100","0","0","0","0","0"
"2020","100","0","0","0","0","0"
"2040","100","0","0","0","0","0"
"2060","100","0","0","0","0","0"
"2080","100","0","0","0","0","0"
"2100","100","0","0","0","0","0"
"2120","100","0","0","0","0","0"
"2140","100","0","0","0","0","0"
"2160","100","0","0","0","0","0"
"2180","100","0","0","0","0","0"
"2200","100","0","0","0","0","0"
"2220","100","0","0","0","0","0"
"2240","100","0","0","0","0","0"
"2260","100","0","0","0","0","0"
"2280","100","0","0","0","0","0"
"2300","100","0","0","0","0","0"
"2320","100","0","0","0","0","0"
"2340","100","0","0","0","0","0"
"2360","100","0","0","0","0","0"
"2380","100","0","0","0","0","0"
"2400","100","0","0","0","0","0"
"2420","100","0","0","0","0","0"
"2440","100","0","0","0","0","0"
