pointer,OP287812,AB040749,AB084788,EU787450,LC055961,KJ641686
100,-1,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1,-1
180,-1,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1,-1
220,-1,-1,-1,-1,-1,-1
240,-1,-1,-1,-1,-1,-1
260,-1,-1,-1,-1,-1,-1
280,-1,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1,-1
320,-1,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1,-1
360,-1,-1,-1,-1,-1,-1
380,-1,-1,-1,-1,-1,-1
400,-1,-1,-1,-1,-1,-1
420,59,2,0,0,5,0
440,91,2,0,0,1,0
460,98,0,0,0,0,0
480,100,0,0,0,0,0
500,100,0,0,0,0,0
520,99,0,0,0,0,0
540,100,0,0,0,0,0
560,99,0,0,0,0,1
580,100,0,0,0,0,0
600,99,0,0,0,0,0
620,100,0,0,0,0,0
640,99,0,0,0,0,0
660,97,1,0,0,0,0
680,98,1,0,0,0,0
700,100,0,0,0,0,0
720,100,0,0,0,0,0
740,99,0,0,0,0,0
760,100,0,0,0,0,0
780,100,0,0,0,0,0
800,100,0,0,0,0,0
820,100,0,0,0,0,0
840,100,0,0,0,0,0
860,100,0,0,0,0,0
880,100,0,0,0,0,0
900,99,0,0,0,0,0
920,100,0,0,0,0,0
940,99,0,0,0,0,0
960,100,0,0,0,0,0
980,94,2,0,0,0,0
1000,84,4,0,0,1,0
1020,-1,-1,-1,-1,-1,-1
1040,-1,-1,-1,-1,-1,-1
1060,-1,-1,-1,-1,-1,-1
1080,81,0,1,0,0,3
1100,93,3,0,0,0,0
1120,99,0,0,0,0,0
1140,100,0,0,0,0,0
1160,100,0,0,0,0,0
1180,100,0,0,0,0,0
1200,100,0,0,0,0,0
1220,100,0,0,0,0,0
1240,100,0,0,0,0,0
1260,100,0,0,0,0,0
1280,100,0,0,0,0,0
1300,100,0,0,0,0,0
1320,100,0,0,0,0,0
1340,95,2,0,0,0,0
1360,98,0,0,0,0,0
1380,97,2,0,0,0,0
1400,94,6,0,0,0,0
1420,94,1,0,0,0,0
1440,99,0,0,0,0,0
1460,100,0,0,0,0,0
1480,100,0,0,0,0,0
1500,100,0,0,0,0,0
1520,100,0,0,0,0,0
1540,100,0,0,0,0,0
1560,100,0,0,0,0,0
1580,100,0,0,0,0,0
1600,100,0,0,0,0,0
1620,100,0,0,0,0,0
1640,100,0,0,0,0,0
1660,100,0,0,0,0,0
1680,100,0,0,0,0,0
1700,100,0,0,0,0,0
1720,100,0,0,0,0,0
1740,100,0,0,0,0,0
1760,100,0,0,0,0,0
1780,100,0,0,0,0,0
1800,99,1,0,0,0,0
1820,100,0,0,0,0,0
1840,96,4,0,0,0,0
1860,99,1,0,0,0,0
1880,100,0,0,0,0,0
1900,100,0,0,0,0,0
1920,100,0,0,0,0,0
1940,100,0,0,0,0,0
1960,100,0,0,0,0,0
1980,100,0,0,0,0,0
2000,100,0,0,0,0,0
2020,100,0,0,0,0,0
2040,100,0,0,0,0,0
2060,99,0,0,0,0,0
2080,100,0,0,0,0,0
2100,100,0,0,0,0,0
2120,100,0,0,0,0,0
2140,100,0,0,0,0,0
2160,100,0,0,0,0,0
2180,100,0,0,0,0,0
2200,100,0,0,0,0,0
2220,100,0,0,0,0,0
2240,100,0,0,0,0,0
2260,100,0,0,0,0,0
2280,100,0,0,0,0,0
2300,100,0,0,0,0,0
2320,100,0,0,0,0,0
2340,100,0,0,0,0,0
2360,100,0,0,0,0,0
2380,100,0,0,0,0,0
2400,99,0,0,0,0,1
2420,100,0,0,0,0,0
2440,100,0,0,0,0,0
2460,100,0,0,0,0,0
2480,100,0,0,0,0,0
2500,100,0,0,0,0,0
2520,100,0,0,0,0,0
2540,100,0,0,0,0,0
2560,100,0,0,0,0,0
2580,100,0,0,0,0,0
2600,100,0,0,0,0,0
2620,100,0,0,0,0,0
2640,100,0,0,0,0,0
2660,100,0,0,0,0,0
2680,100,0,0,0,0,0
2700,100,0,0,0,0,0
2720,100,0,0,0,0,0
2740,100,0,0,0,0,0
2760,100,0,0,0,0,0
2780,100,0,0,0,0,0
2800,100,0,0,0,0,0
2820,100,0,0,0,0,0
2840,100,0,0,0,0,0
2860,100,0,0,0,0,0
2880,100,0,0,0,0,0
2900,100,0,0,0,0,0
2920,100,0,0,0,0,0
2940,100,0,0,0,0,0
2960,100,0,0,0,0,0
2980,100,0,0,0,0,0
