FileName: D:\sapo_bootscan_all_align_nt_mid.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","PP766459","PP766459"
"Ref","OQ818319","OQ818319"
"Ref","OQ818347","OQ818347"
"Ref","PP766470","PP766470"
"Ref","OQ818348","OQ818348"
"Ref","E_helvum_sapovirus","E_helvum_sapovirus"
"Query","R_leschenaulti_sapovirus"
"Ref","ON872527.1","ON872527.1"


"CenterPos","PP766459","OQ818319","OQ818347","PP766470","OQ818348","E_helvum_sapovirus","ON872527.1"
"100","0","0","2","46","1","0","0"
"120","0","0","0","33","12","0","7"
"140","0","0","1","35","15","0","3"
"160","0","0","1","55","15","0","1"
"180","0","0","0","43","24","0","0"
"200","0","0","1","52","12","0","0"
"220","0","0","2","28","17","0","1"
"240","0","0","5","35","9","0","0"
"260","0","0","10","49","0","0","4"
"280","0","0","10","31","6","0","1"
"300","0","0","12","56","5","2","0"
"320","0","0","11","79","0","0","1"
"340","0","0","0","95","0","0","1"
"360","0","0","2","71","3","0","6"
"380","0","0","7","54","0","0","4"
"400","0","0","10","37","1","1","5"
"420","0","0","12","17","1","1","3"
"440","0","0","1","21","4","0","0"
"460","0","0","4","43","2","1","0"
"480","0","0","2","40","2","0","0"
"500","0","0","19","32","1","0","0"
"520","0","0","15","27","0","0","1"
"540","0","0","35","6","0","0","0"
"560","0","0","28","6","0","0","1"
"580","0","0","27","11","0","0","0"
"600","0","0","9","31","0","0","5"
"620","0","0","22","32","0","0","2"
"640","0","0","21","33","0","0","0"
"660","0","0","28","15","0","0","0"
"680","0","0","20","22","0","0","0"
"700","0","0","37","25","0","0","0"
"720","0","0","45","23","0","0","0"
"740","0","0","21","61","0","0","0"
"760","0","0","23","49","0","0","0"
"780","0","0","27","34","0","0","0"
"800","0","0","25","30","0","0","0"
"820","0","0","31","33","0","0","0"
"840","0","0","60","5","0","0","0"
"860","0","0","40","11","0","0","4"
"880","0","0","59","11","0","0","3"
"900","0","0","32","14","0","0","0"
"920","0","0","27","29","4","0","4"
"940","0","0","27","3","7","0","7"
"960","0","0","23","26","16","0","4"
"980","0","0","35","21","6","0","2"
"1000","0","0","27","32","11","0","4"
"1020","0","0","30","44","6","0","3"
"1040","0","0","46","36","9","0","1"
"1060","0","0","51","39","3","0","1"
"1080","0","0","63","26","3","0","0"
"1100","0","0","52","36","0","0","0"
"1120","0","0","71","8","2","0","0"
"1140","0","0","68","18","1","0","0"
"1160","0","0","68","11","3","0","0"
"1180","0","0","86","7","0","0","0"
"1200","0","0","88","7","0","0","0"
"1220","0","0","74","12","0","0","0"
"1240","0","0","42","44","0","0","0"
"1260","0","0","20","39","0","0","0"
"1280","0","0","27","53","0","0","0"
"1300","0","0","23","62","0","0","0"
"1320","0","0","17","74","0","0","0"
"1340","0","0","5","86","0","0","0"
"1360","0","0","38","49","0","0","0"
"1380","0","0","19","59","0","0","0"
"1400","0","0","25","54","0","0","0"
"1420","0","0","16","52","0","0","0"
"1440","0","0","25","39","0","0","0"
"1460","0","0","36","44","0","0","0"
"1480","0","0","46","31","0","0","0"
"1500","0","0","46","16","0","0","3"
"1520","0","0","36","14","1","0","7"
"1540","0","0","39","9","1","1","8"
"1560","0","0","29","17","1","0","5"
"1580","0","0","52","13","1","0","5"
"1600","0","0","44","25","0","0","1"
"1620","0","0","92","0","0","0","3"
"1640","0","0","85","4","0","0","0"
"1660","0","0","61","2","0","0","2"
"1680","0","0","63","16","0","0","0"
"1700","0","0","51","21","0","0","2"
"1720","0","0","63","29","0","0","0"
"1740","0","0","44","44","0","0","1"
"1760","0","0","18","17","0","0","22"
"1780","0","0","14","32","3","0","23"
"1800","0","0","17","28","0","0","25"
"1820","0","0","4","50","0","0","11"
"1840","0","0","4","24","2","0","16"
"1860","0","0","31","22","1","0","5"
"1880","0","0","59","11","1","0","2"
"1900","0","0","77","1","0","0","1"
"1920","0","0","60","1","0","0","2"
"1940","0","0","75","1","0","0","0"
"1960","0","0","87","0","0","0","0"
"1980","0","0","85","0","0","0","0"
"2000","0","0","87","0","1","0","0"
"2020","0","0","87","1","3","0","0"
"2040","0","0","92","1","0","0","0"
