FileName: D:\kobu_bootscan_align_all_nt_right.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818322","OQ818322"
"Ref","PP766456","PP766456"
"Ref","PP766452","PP766452"
"Ref","NC_034971.1","NC_034971.1"
"Ref","Rhinolophus_kobuvirus","Rhinolophus_kobuvirus"
"Query","OP287812.1"


"CenterPos","OQ818322","PP766456","PP766452","NC_034971.1","Rhinolophus_kobuvirus"
"100","13","4","9","0","0"
"120","41","1","9","0","0"
"140","21","5","14","0","0"
"160","24","0","9","0","0"
"180","26","0","4","0","0"
"200","72","0","1","0","0"
"220","89","0","4","0","0"
"240","88","0","5","0","0"
"260","78","0","1","0","0"
"280","77","0","0","0","0"
"300","72","1","1","0","0"
"320","93","0","0","0","0"
"340","95","0","0","0","0"
"360","97","0","0","0","0"
"380","99","0","0","0","0"
"400","94","0","0","0","0"
"420","95","0","0","0","0"
"440","94","0","0","0","0"
"460","97","1","1","0","0"
"480","99","1","0","0","0"
"500","98","0","1","0","0"
"520","89","0","4","0","0"
"540","97","0","1","0","0"
"560","98","1","1","0","0"
"580","88","3","4","0","0"
"600","66","11","1","0","0"
"620","64","9","5","0","0"
"640","65","1","6","0","0"
"660","48","1","0","0","0"
"680","30","1","2","0","0"
"700","35","1","0","0","0"
"720","24","0","1","0","0"
"740","0","1","0","0","0"
"760","1","8","0","0","0"
"780","2","12","2","0","0"
"800","24","2","0","0","0"
"820","27","4","1","0","0"
"840","34","4","0","0","0"
"860","38","15","3","0","0"
"880","85","3","1","0","0"
"900","90","2","3","0","0"
"920","94","4","1","0","0"
"940","95","3","0","0","0"
"960","91","3","3","0","0"
"980","93","2","0","0","0"
"1000","76","3","11","0","0"
"1020","84","4","6","0","0"
"1040","95","1","2","0","0"
"1060","70","0","2","0","0"
"1080","63","3","1","0","0"
"1100","53","1","2","0","0"
"1120","62","1","0","0","0"
"1140","54","1","1","0","0"
"1160","57","1","1","0","0"
"1180","77","1","0","0","0"
"1200","75","0","0","0","0"
"1220","75","0","0","0","0"
"1240","56","2","1","0","0"
"1260","90","0","0","0","0"
"1280","85","0","0","0","0"
"1300","79","0","0","0","0"
"1320","89","0","0","0","0"
"1340","79","0","0","0","0"
"1360","81","0","0","0","0"
"1380","71","0","0","0","0"
"1400","79","0","0","0","0"
"1420","75","0","0","0","0"
"1440","81","0","0","0","0"
"1460","69","0","0","0","0"
"1480","96","1","0","0","0"
"1500","99","0","0","0","0"
"1520","94","0","0","0","0"
"1540","97","1","1","0","0"
"1560","92","3","1","0","0"
"1580","95","0","0","0","0"
"1600","100","0","0","0","0"
"1620","92","2","0","0","0"
"1640","97","0","1","0","0"
