FileName: D:\kobu_bootscan_align_all_nt_left.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818322","OQ818322"
"Ref","PP766456","PP766456"
"Ref","PP766449","PP766449"
"Ref","PP766454","PP766454"
"Ref","PP766453","PP766453"
"Ref","NC_034971.1","NC_034971.1"
"Ref","Rhinolophus_kobuvirus","Rhinolophus_kobuvirus"
"Query","OP287812.1"


"CenterPos","OQ818322","PP766456","PP766449","PP766454","PP766453","NC_034971.1","Rhinolophus_kobuvirus"
"100","62","1","3","1","1","0","0"
"120","73","2","0","1","2","0","0"
"140","65","4","1","1","0","0","0"
"160","65","6","4","1","4","0","0"
"180","73","7","6","5","8","0","0"
"200","74","1","4","1","2","0","0"
"220","45","3","0","0","0","0","0"
"240","36","0","0","0","1","0","0"
"260","23","0","0","1","0","0","0"
"280","9","0","0","2","2","0","0"
"300","16","0","0","2","1","0","0"
"320","9","0","2","1","1","0","0"
"340","9","0","1","2","0","0","0"
"360","16","0","1","1","1","0","0"
"380","31","1","2","0","0","0","0"
"400","55","1","0","0","0","0","0"
"420","64","1","5","0","0","0","0"
