FileName: D:\sapelo_bootscan_align_all_nt_right.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818321","OQ818321"
"Ref","OQ818320","OQ818320"
"Query","OQ818329"
"Ref","OQ818344","OQ818344"
"Ref","OQ818342","OQ818342"
"Ref","PP766463","PP766463"
"Ref","PP766464","PP766464"
"Ref","NC_003987.1","NC_003987.1"
"Ref","NC_033820.1","NC_033820.1"
"Ref","Pteropodidae_bat_sapelovirus","Pteropodidae_bat_sapelovirus"


"CenterPos","OQ818321","OQ818320","OQ818344","OQ818342","PP766463","PP766464","NC_003987.1","NC_033820.1","Pteropodidae_bat_sapelovirus"
"100","0","0","0","0","0","0","2","0","97"
"120","0","0","0","0","0","0","1","0","96"
"140","0","0","0","0","0","0","3","0","84"
"160","0","0","0","0","0","0","7","0","87"
"180","0","0","0","0","0","0","3","0","95"
"200","0","0","0","0","0","0","34","0","61"
"220","0","0","0","0","0","0","19","0","80"
"240","0","0","0","0","0","0","14","0","83"
"260","0","0","0","0","0","0","8","0","80"
"280","0","0","0","0","0","0","12","0","59"
"300","0","0","0","0","0","0","22","0","66"
"320","0","0","0","0","0","0","4","0","94"
"340","0","0","0","0","0","0","1","0","99"
"360","0","0","0","0","0","0","1","0","96"
"380","0","0","0","0","0","0","3","0","96"
"400","0","0","0","0","0","0","0","0","96"
"420","0","0","0","0","0","0","2","0","92"
"440","0","0","0","0","0","0","1","0","97"
"460","0","0","0","0","0","0","5","0","93"
"480","0","0","0","0","0","0","7","0","93"
"500","0","0","0","0","0","0","6","0","93"
"520","0","0","0","0","0","0","39","0","61"
"540","0","0","0","0","0","0","30","0","70"
"560","0","0","0","0","0","0","33","0","67"
"580","0","0","0","0","0","0","32","0","66"
"600","0","0","0","0","0","0","48","0","50"
"620","0","0","0","0","0","0","27","0","70"
"640","0","0","0","0","0","0","18","0","82"
"660","0","0","0","0","0","0","12","0","87"
"680","0","0","0","0","0","0","29","0","69"
"700","0","0","0","0","0","0","43","0","53"
"720","0","0","0","0","0","0","50","0","49"
