molecule,from,to,gene,type
Bat picornavirus,523,832,L,full
Bat picornavirus,839,1033,VP4,full
Bat picornavirus,1034,1757,VP2,full
Bat picornavirus,1758,2444,VP3,full
Bat picornavirus,2445,3399,VP1,full
Bat picornavirus,3409,4082,2A,full
Bat picornavirus,4083,4428,2B,full
Bat picornavirus,4429,5421,2C,full
Bat picornavirus,5422,5824,3A,full
Bat picornavirus,5825,5893,3B,full
Bat picornavirus,5894,6446,3C,full
Bat picornavirus,6447,7832,3D,full
Kobuvirus,744,1298,L,full
Kobuvirus,1299,2411,VP0,full
Kobuvirus,2412,3080,VP3,full
Kobuvirus,3081,3806,VP1,full
Kobuvirus,3807,4214,2A,full
Kobuvirus,4215,4709,2B,full
Kobuvirus,4710,5714,2C,full
Kobuvirus,5715,5993,3A,full
Kobuvirus,5994,6071,3B,full
Kobuvirus,6072,6641,3C,full
Kobuvirus,6642,8045,3D,full
Mischivirus,1252,1537,L,full
Mischivirus,1538,1761,VP4,full
Mischivirus,1762,2566,VP2,full
Mischivirus,2567,3270,VP3,full
Mischivirus,3271,4198,VP1,full
Mischivirus,4199,4294,2A,full
Mischivirus,4295,4817,2B,full
Mischivirus,4818,5979,2C,full
Mischivirus,5980,6261,3A,full
Mischivirus,6262,6324,3B,full
Mischivirus,6325,6961,3C,full
Mischivirus,6962,8392,3D,full
Sapelovirus,420,838,L,full
Sapelovirus,851,916,VP4,full
Sapelovirus,923,1666,VP2,full
Sapelovirus,1667,2371,VP3,full
Sapelovirus,2372,3258,VP1,full
Sapelovirus,3265,4086,2A,full
Sapelovirus,4087,4431,2B,full
Sapelovirus,4432,5460,2C,full
Sapelovirus,5461,5772,3A,full
Sapelovirus,5773,5838,3B,full
Sapelovirus,5839,6385,3C,full
Sapelovirus,6386,7776,3D,full
Sapelovirus,420,838,L,partial
Sapelovirus,851,916,VP4,partial
Sapelovirus,923,1666,VP2,partial
Sapelovirus,1667,2371,VP3,partial
Sapelovirus,2372,3258,VP1,partial
Sapelovirus,3265,4086,2A,partial
Sapelovirus,4087,4431,2B,partial
Sapelovirus,4432,5460,2C,partial
Sapelovirus,5461,5772,3A,partial
Sapelovirus,5773,5838,3B,partial
Sapelovirus,5839,6385,3C,partial
Sapelovirus,6386,7776,3D,partial
Teschovirus,606,881,L,full
Teschovirus,882,1178,VP4,full
Teschovirus,1200,2042,VP2,full
Teschovirus,2049,2794,VP3,full
Teschovirus,2795,3634,VP1,full
Teschovirus,3635,3706,2A,full
Teschovirus,3707,4205,2B,full
Teschovirus,4206,5246,2C,full
Teschovirus,5253,5510,3A,full
Teschovirus,5511,5588,3B,full
Teschovirus,5595,6212,3C,full
Teschovirus,6213,7515,3D,full
