molecule,from,to,gene
Kobuvirus,744,1298,L
Kobuvirus,1299,2411,VP0
Kobuvirus,2412,3080,VP3
Kobuvirus,3081,3806,VP1
Kobuvirus,3807,4214,2A
Kobuvirus,4215,4709,2B
Kobuvirus,4710,5714,2C
Kobuvirus,5715,5993,3A
Kobuvirus,5994,6071,3B
Kobuvirus,6072,6641,3C
Kobuvirus,6642,8045,3D
Mischivirus,1289,1574,L
Mischivirus,1575,1801,VP4
Mischivirus,1802,2607,VP2
Mischivirus,2644,3334,VP3
Mischivirus,3338,4248,VP1
Mischivirus,4283,4424,2A
Mischivirus,4425,4945,2B
Mischivirus,4946,6126,2C
Mischivirus,6142,6341,3A
Mischivirus,6426,6651,3B
Mischivirus,6661,7226,3C
Mischivirus,7248,8613,3D
Sapelovirus,420,838,L
Sapelovirus,851,916,VP4
Sapelovirus,923,1666,VP2
Sapelovirus,1667,2372,VP3
Sapelovirus,2373,3259,VP1
Sapelovirus,3266,4077,2A
Sapelovirus,4078,4422,2B
Sapelovirus,4423,5451,2C
Sapelovirus,5452,5763,3A
Sapelovirus,5764,5829,3B
Sapelovirus,5830,6376,3C
Sapelovirus,6377,7773,3D
Felisavirus,1,5665,Non-structural polyprotein
Felisavirus,5739,8738,Structural polyprotein
Felisavirus,8739,9188,3'UTR
Hepatovirus,15,775,5'UTR
Hepatovirus,776,7986,Polyprotein
Kobuvirus,1,743,5'UTR
Kobuvirus,744,8048,Polyprotein
Kobuvirus,8049,8320,3'UTR
Kunsagivirus,1,531,5'UTR
Kunsagivirus,532,7188,Polyprotein
Kunsagivirus,7189,7333,3'UTR
Mischivirus,1,1288,5'UTR
Mischivirus,1289,8637,Polyprotein
Mischivirus,8638,8886,3'UTR
Sapovirus,1,7216,Polyprotein
Sapovirus,7251,7759,Putative minor structural protein
Sapelovirus,1,419,5'UTR
Sapelovirus,420,7776,Polyprotein
Sapelovirus,7777,7913,3'UTR
