Name,Sequence Name,Type,Minimum,Maximum,Length
2B peptide,OQ818337,mat_peptide,2944,3213,270
2C peptide,OQ818337,mat_peptide,3214,3948,735
2C peptide,OQ818342,mat_peptide,<1,826,>826
2C peptide,OQ818344,mat_peptide,<1,432,>432
3A peptide,OQ818337,mat_peptide,3949,4947,999
3A peptide,OQ818342,mat_peptide,827,1132,306
3A peptide,OQ818344,mat_peptide,433,738,306
3B peptide,OQ818337,mat_peptide,4948,5259,312
3B peptide,OQ818342,mat_peptide,1133,>1177,>45
3B peptide,OQ818344,mat_peptide,739,804,66
3C peptide,OQ818337,mat_peptide,5260,>5785,>526
3C peptide,OQ818344,mat_peptide,805,1350,546
3D peptide,OQ818344,mat_peptide,1351,>2134,>784
5'UTR,OQ818337,5'UTR,1,705,705
Helicase,OQ818340,mat_peptide,<1,1161,>1161
Helicase,OQ818348,mat_peptide,<1,153,>153
hypothetical protein CDS,OQ818331,CDS,4312,5043,732
hypothetical protein CDS,OQ818333,CDS,98,1255,1158
L peptide,OQ818343,mat_peptide,<1,16,>16
non-structural polyprotein CDS,OQ818335,CDS,6,5654,5649
NS4,OQ818340,mat_peptide,1162,2004,843
NS4,OQ818347,mat_peptide,<1,268,>268
NS4,OQ818348,mat_peptide,154,807,654
polyprotein CDS,OQ818330,CDS,62,3001,2940
polyprotein CDS,OQ818340,CDS,<1,>3232,>3232
polyprotein CDS,OQ818341,CDS,<1,>3380,>3380
polyprotein CDS,OQ818342,CDS,<1,>1177,>1177
polyprotein CDS,OQ818343,CDS,<1,>1127,>1127
polyprotein CDS,OQ818344,CDS,<1,>2134,>2134
polyprotein CDS,OQ818345,CDS,<1,>1043,>1043
polyprotein CDS,OQ818347,CDS,<1,>2171,>2171
polyprotein CDS,OQ818348,CDS,<1,>2611,>2611
Pro-Pol,OQ818340,mat_peptide,2341,>3232,>892
Pro-Pol,OQ818345,mat_peptide,<1,34,>34
Pro-Pol,OQ818347,mat_peptide,602,>2171,>1570
Pro-Pol,OQ818348,mat_peptide,1081,>2611,>1531
putative polyprotein CDS,OQ818331,CDS,<1,4298,>4298
putative polyprotein CDS,OQ818332,CDS,<1,>2370,>2370
putative polyprotein CDS,OQ818333,CDS,1364,>2880,>1517
putative polyprotein CDS,OQ818334,CDS,<1,>1656,>1656
putative polyprotein CDS,OQ818336,CDS,<1,5956,>5956
putative polyprotein CDS,OQ818337,CDS,706,>5785,>5080
putative polyprotein CDS,OQ818338,CDS,<1,>1807,>1807
similar to polyprotein,OQ818346,misc_feature,<1,1004,>1004
similar to putative polyprotein,OQ818339,misc_feature,1092,2936,1845
similar to putative polyprotein,OQ818339,misc_feature,<1,861,>861
similar to putative polyprotein,OQ818339,misc_feature,2967,3632,666
similar to structural polyprotein,OQ818335,misc_feature,5727,>5787,>61
VP1,OQ818345,mat_peptide,35,>1043,>1009
VP1 and 2A-like peptides,OQ818337,mat_peptide,2182,2943,762
VP2 peptide,OQ818337,mat_peptide,778,1443,666
VP2 peptide,OQ818343,mat_peptide,170,874,705
VP3 peptide,OQ818337,mat_peptide,1444,2181,738
VP3 peptide,OQ818343,mat_peptide,875,>1127,>253
VP4 peptide,OQ818337,mat_peptide,706,777,72
VP4 peptide,OQ818343,mat_peptide,17,169,153
Vpg,OQ818340,mat_peptide,2005,2340,336
Vpg,OQ818347,mat_peptide,269,601,333
Vpg,OQ818348,mat_peptide,808,1080,273
