Accession,old_tip_label,Isolate,Species,Genus,Country,Host,bat_Host,Collection_Date,novel
NC_001366.1,NC_001366.1,,Cardiovirus B,Cardiovirus,United Kingdom,Rodentia,0,1990,0
NC_001430.1,NC_001430.1,,Enterovirus D,Enterovirus,United Kingdom,Homo sapiens,0,1990,0
NC_001472.1,NC_001472.1,,Enterovirus B,Enterovirus,United Kingdom,Homo sapiens,0,1987,0
NC_001479.1,NC_001479.1,,Cardiovirus A,Cardiovirus,USA,Sus scrofa,0,1992,0
NC_001489.1,NC_001489.1,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,0,1987,0
NC_001490.1,NC_001490.1,,Rhinovirus B,Enterovirus,USA,Homo sapiens,0,1985,0
NC_001612.1,NC_001612.1,,Enterovirus A,Enterovirus,Finland,Homo sapiens,0,1994,0
NC_001617.1,NC_001617.1,,Rhinovirus A,Enterovirus,USA,Homo sapiens,0,1988,0
NC_001859.1,NC_001859.1,,Enterovirus E,Enterovirus,United Kingdom,Bovinae,0,1988,0
NC_001918.1,NC_001918.1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,0,1998,0
NC_002058.3,NC_002058.3,,Enterovirus C,Enterovirus,USA,Homo sapiens,0,2010,0
NC_003976.2,NC_003976.2,,Parechovirus B,Parechovirus,Sweden,Myodes glareolus,0,2002,0
NC_003983.1,NC_003983.1,,Erbovirus A,Erbovirus,Austria,Equus caballus,0,1996,0
NC_003985.1,NC_003985.1,F65,Teschovirus A,Teschovirus,United Kingdom,Sus scrofa,0,1999,0
NC_003987.1,NC_003987.1,,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2002,0
NC_003988.1,NC_003988.1,,Enterovirus H,Enterovirus,USA,Simiiformes,0,2000,0
NC_003990.1,NC_003990.1,,Tremovirus A,Tremovirus,USA,Gallus gallus,0,1999,0
NC_004421.1,NC_004421.1,,Aichivirus B,Kobuvirus,Japan,Bos taurus,0,2003,0
NC_004441.1,NC_004441.1,,Enterovirus G,Enterovirus,Germany,Sus scrofa,0,2002,0
NC_004451.1,NC_004451.1,,Sapelovirus B,Sapelovirus,USA,Simiiformes,0,2003,0
NC_006553.1,NC_006553.1,TW90A,Anativirus A,Anativirus,Taiwan,Anseriformes,0,2007,0
NC_008250.2,NC_008250.2,,Avihepatovirus A,Avihepatovirus,USA,Anseriformes,0,2006,0
NC_008714.1,NC_008714.1,W1,Enterovirus F,Enterovirus,New Zealand,Trichosurus vulpecula,0,2007,0
NC_009448.2,NC_009448.2,,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2007,0
NC_009891.1,NC_009891.1,HO.02.21,Aquamavirus A,Aquamavirus,Canada,Pusa hispida,0,2008,0
NC_009996.1,NC_009996.1,,Rhinovirus C,Enterovirus,Hong Kong,Homo sapiens,0,2007,0
NC_010354.1,NC_010354.1,,Bovine rhinitis B virus,Aphthovirus,United Kingdom,Bos taurus,0,2008,0
NC_010415.1,NC_010415.1,Simian enterovirus SV6,Enterovirus J,Enterovirus,USA,Simiiformes,0,2007,0
NC_010810.1,NC_010810.1,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,0,2008,0
NC_011349.1,NC_011349.1,SVV-001,Senecavirus A,Senecavirus,USA,Sus scrofa,0,2008,0
NC_011829.1,NC_011829.1,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2007,0
NC_012798.1,NC_012798.1,,Cosavirus E,Cosavirus,Australia,Homo sapiens,0,2008,0
NC_012800.1,NC_012800.1,553,Cosavirus A,Cosavirus,Pakistan,Homo sapiens,0,2008,0
NC_012801.1,NC_012801.1,2263,Cosavirus B,Cosavirus,Pakistan,Homo sapiens,0,2008,0
NC_012802.1,NC_012802.1,5004,Cosavirus D,Cosavirus,Pakistan,Homo sapiens,0,2008,0
NC_012957.1,NC_012957.1,,Salivirus A,Salivirus,Nigeria,Homo sapiens,0,2007,0
NC_012986.1,NC_012986.1,02394-01,Salivirus A,Salivirus,USA,Homo sapiens,0,2002,0
NC_013695.1,NC_013695.1,Simian picornavirus strain N203,Enterovirus J,Enterovirus,USA,Simiiformes,0,2007,0
NC_014411.1,NC_014411.1,,Passerivirus A,Passerivirus,Hong Kong,Turdus pallidus,0,2007,0
NC_014412.1,NC_014412.1,,Oscivirus A,Oscivirus,Hong Kong,Copsychus saularis,0,2006,0
NC_014413.1,NC_014413.1,,Oscivirus A,Oscivirus,Hong Kong,Turdus hortulorum,0,2006,0
NC_015626.1,NC_015626.1,,Pigeon picornavirus B,Unclassified picornavirus,Norway,Columbidae,0,2003,0
NC_015934.1,NC_015934.1,,Bat picornavirus 3,Unclassified picornavirus,Hong Kong,Rhinolophus sinicus,1,2008,0
NC_015936.1,NC_015936.1,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,USA,Peromyscus crinitus,0,2010,0
NC_015940.1,NC_015940.1,,Bat picornavirus 1,Unclassified picornavirus,Hong Kong,Miniopterus pusillus,1,2008,0
NC_015941.1,NC_015941.1,,Bat picornavirus 2,Unclassified picornavirus,Hong Kong,Miniopterus magnater,1,2005,0
NC_016156.1,NC_016156.1,,Feline picornavirus,Unclassified picornavirus,Hong Kong,Felis catus,0,2007,0
NC_016403.1,NC_016403.1,,Quail picornavirus QPV1/HUN/2010,Unclassified picornavirus,Hungary,Coturnix coturnix,0,2010,0
NC_016769.1,NC_016769.1,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2010,0
NC_016964.1,NC_016964.1,325,Mischivirus D,Mischivirus,Hong Kong,Canis lupus familiaris,0,2008,0
NC_018226.1,NC_018226.1,,Pasivirus A,Pasivirus,France,Sus scrofa,0,2010,0
NC_018400.1,NC_018400.1,,Gallivirus A,Gallivirus,Hungary,Meleagris gallopavo,0,2011,0
NC_018506.1,NC_018506.1,04-032,Limnipivirus A,Limnipivirus,USA,Lepomis macrochirus,0,2003,0
NC_018668.1,NC_018668.1,,Hunnivirus A,Hunnivirus,Hungary,Bos taurus,0,2008,0
NC_021178.1,NC_021178.1,,Cadicivirus A,Dicipivirus,Hong Kong,Canis lupus familiaris,0,2008,0
NC_021201.1,NC_021201.1,,Melegrivirus A,Megrivirus,USA,Meleagris gallopavo,0,2013,0
NC_021220.1,NC_021220.1,,Enterovirus F,Enterovirus,USA,Bovinae,0,2006,0
NC_021482.1,NC_021482.1,,Parechovirus C,Parechovirus,Central African Republic,Hylomyscus,0,1972,0
NC_022332.1,NC_022332.1,,Potamipivirus A,Potamipivirus,Germany,Anguilla anguilla,0,2005,0
NC_022802.1,NC_022802.1,FFUP1,Sakobuvirus A,Sakobuvirus,Portugal,Felis catus,0,2012,0
NC_023162.1,NC_023162.1,F37/06,Limnipivirus B,Limnipivirus,Germany,Cyprinus carpio,0,2006,0
NC_023422.1,NC_023422.1,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,0,2012,0
NC_023858.1,NC_023858.1,,Melegrivirus A,Megrivirus,Hungary,Meleagris gallopavo,0,2011,0
NC_023861.1,NC_023861.1,,Sicinivirus A,Sicinivirus,Ireland,Gallus gallus,0,2014,0
NC_023984.1,NC_023984.1,Cosavirus_Amsterdam_1994,Human cosavirus,Cosavirus,Netherlands,Homo sapiens,0,1994,0
NC_023985.1,NC_023985.1,,Aalivirus A,Aalivirus,China,Anas platyrhynchos,0,2012,0
NC_023987.1,NC_023987.1,,Mosavirus A,Mosavirus,Hungary,Coracias garrulus,0,2011,0
NC_023988.1,NC_023988.1,UF4,Tortoise rafivirus A,Unclassified picornavirus,USA,Indotestudo forstenii,0,2009,0
NC_024070.1,NC_024070.1,,Rosavirus A,Rosavirus,Gambia,Homo sapiens,0,2008,0
NC_024073.1,NC_024073.1,CPML_8109/08,Enterovirus sp.,Enterovirus,Cameroon,Mandrillus sphinx,0,2008,0
NC_024120.1,NC_024120.1,,Megrivirus A,Megrivirus,China,Anas platyrhynchos,0,2014,0
NC_024765.1,NC_024765.1,55C,Chicken picornavirus 1,Unclassified picornavirus,Hong Kong,Gallus gallus,0,2008,0
NC_024766.1,NC_024766.1,44C,Avisivirus B,Avisivirus,Hong Kong,Gallus gallus,0,2008,0
NC_024767.1,NC_024767.1,45C,Avisivirus C,Avisivirus,Hong Kong,Gallus gallus,0,2008,0
NC_024768.1,NC_024768.1,5C,Chicken picornavirus 4,Unclassified picornavirus,Hong Kong,Gallus gallus,0,2008,0
NC_024769.1,NC_024769.1,27C,Megrivirus C,Megrivirus,Hong Kong,Gallus gallus,0,2008,0
NC_024770.1,NC_024770.1,518C,Gallivirus A,Gallivirus,Hong Kong,Gallus gallus,0,2010,0
