Accession,Isolate,Species,Genus,Family,Length,Country,Host,bat_Host,Collection_Date,novel
HQ585111.1,P1/InV1/IT/2009,Picorna-like virus Eptesicus fuscus/P1/InV1/IT/USA/2009,,Picornaviridae,4043,USA,Eptesicus fuscus,,2009-08-13,
HQ595340.1,,Bat picornavirus 1,,Picornaviridae,7753,Hong Kong,Miniopterus pusillus,,2008-12-19,
HQ595341.1,,Bat picornavirus 1,,Picornaviridae,7641,Hong Kong,Miniopterus schreibersii,,2008-10-17,
HQ595342.1,,Bat picornavirus 2,,Picornaviridae,7693,Hong Kong,Miniopterus magnater,,2005-09-06,
HQ595343.1,,Bat picornavirus 2,,Picornaviridae,7625,Hong Kong,Miniopterus magnater,,2005-09-01,
HQ595344.1,,Bat picornavirus 3,,Picornaviridae,7749,Hong Kong,Rhinolophus sinicus,,2008-09-12,
HQ595345.1,,Bat picornavirus 3,,Picornaviridae,7672,Hong Kong,Hipposideros armiger,,2008-09-12,
JN899072.1,,Bat sapovirus TLC34/HK,Sapovirus,Caliciviridae,7679,Hong Kong,Chiroptera,,,
JN899074.1,,Bat sapovirus TLC39/HK,Sapovirus,Caliciviridae,7679,Hong Kong,Chiroptera,,,
JN899075.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,7696,Hong Kong,Chiroptera,,,
JQ814851.1,,Mischivirus A,Mischivirus,Picornaviridae,8468,China,Miniopterus schreibersii,,10-Dec,
JQ814852.1,,Ia io picornavirus 1,,Picornaviridae,7543,China,Ia io,,10-Oct,
KJ641684.1,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,5636,China,Rhinolophus ferrumequinum,,10-Dec,
KJ641685.1,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,6624,China,Rhinolophus ferrumequinum,,10-Dec,
KJ641686.1,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,Picornaviridae,7555,China,Myotis ricketti,,10-Oct,
KJ641687.1,BtMf-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,7435,China,Miniopterus fuliginosus,,12-Nov,
KJ641688.1,BtRlep-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,5661,China,Rhinolophus lepidus,,12-Nov,
KJ641689.1,BtMa-PicoV/FJ2012,Shanbavirus A,Shanbavirus,Picornaviridae,6623,China,Myotis altarium,,12-Nov,
KJ641690.1,BtMf-PicoV-1/GD2012,Shanbavirus A,Shanbavirus,Picornaviridae,6879,China,Miniopterus fuliginosus,,12-Dec,
KJ641691.1,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,Picornaviridae,7279,China,Miniopterus fuliginosus,,12-Dec,
KJ641692.1,BtRa-PicoV/JS2013,Shanbavirus A,Shanbavirus,Picornaviridae,5652,China,Rhinolophus affinis,,13-Apr,
KJ641693.1,BtRh-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7345,China,Rhinolophus hipposideros,,13-Mar,
KJ641694.1,BtRs-PicoV/YN2010,Shanbavirus A,Shanbavirus,Picornaviridae,7830,China,Rhinolophus sinicus,,10-Dec,
KJ641695.1,BtRs-PicoV/GD2012,Shanbavirus A,Shanbavirus,Picornaviridae,2564,China,Rhinolophus sinicus,,12-Dec,
KJ641696.1,BtVs-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7331,China,Vespertilio sinensis,,13-Mar,
KJ641697.1,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7048,China,Nyctalus velutinus,,13-Mar,
KJ641698.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7264,China,Miniopterus fuliginosus,,11-Sep,
KJ641699.1,BtMf-PicoV-2/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7145,China,Miniopterus fuliginosus,,11-Sep,
KJ641700.1,BtMspp.-CalV/GD2012,Bat calicivirus,,Caliciviridae,5662,China,Myotis sp.,,12-Dec,
KJ641701.1,BtRs-CalV-1/GX2012,Bat calicivirus,,Caliciviridae,6894,China,Rhinolophus sinicus,,12-Nov,
KJ641702.1,BtRs-CalV-2/GX2012,Bat calicivirus,,Caliciviridae,4097,China,Rhinolophus sinicus,,12-Nov,
KJ641703.1,BtMm-CalV/JX2010,Bat calicivirus,,Caliciviridae,6039,China,Myotis myotis,,10-Oct,
KJ790198.1,BtRs-CalV/YN2010,Norwalk virus,Norovirus,Caliciviridae,6582,China,Rhinolophus sinicus,,10-Dec,
KP054273.1,,Mischivirus B,Mischivirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP054274.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP054275.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP054276.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP054277.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP054278.1,,Shanbavirus A,Shanbavirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,,2013,
KP100644.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,Democratic Republic of the Congo,Macronycteris gigas,,2013,
KT452714.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,7333,Ghana,Eidolon helvum,,2010,
KT452729.1,FO1AF48Rhilan2010,Hepatovirus G,Hepatovirus,Picornaviridae,7151,Ghana,Rhinolophus landeri,,2010,
KT452730.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,7399,Ghana,Coleura afra,,2010,
KT452742.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,7570,Madagascar,Miniopterus,,2014,
KU712496.1,,Bat calicivirus BtCalV/BS58/HUN/2013,,Caliciviridae,3147,Hungary,Eptesicus serotinus,,2013,
KU712497.1,,Bat calicivirus BtCalV/M63/HUN/2013,,Caliciviridae,3346,Hungary,Myotis daubentonii,,2013,
KX420938.1,KSA412,Teschovirus sp.,Teschovirus,Picornaviridae,3167,Saudi Arabia,Eidolon helvum,,2012-10-24,
KX420952.1,KSA215,Hepatovirus A,Hepatovirus,Picornaviridae,7473,Saudi Arabia,Rhinopoma hardwickii,,2012-10-15,
KX644936.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,7092,Cameroon,Eidolon helvum,,13-Dec,
KX644937.1,,Crohivirus B,Crohivirus,Picornaviridae,7085,Cameroon,Eidolon helvum,,13-Dec,
KX644938.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7746,Cameroon,Eidolon helvum,,13-Dec,
KX759618.1,Bat-SaV/Limbe25/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,6727,Cameroon,Eidolon helvum,,14-Jan,
KX759619.1,Bat-SaV/Lysoka36/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,6175,Cameroon,Eidolon helvum,,14-Jan,
KX759620.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7475,Cameroon,Eidolon helvum,,14-Jan,
KX759621.1,Bat-SaV/Limbe899a/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7463,Cameroon,Eidolon helvum,,14-Jan,
KX759622.1,Bat-SaV/Limbe899b/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7474,Cameroon,Eidolon helvum,,14-Jan,
KX759623.1,Bat-SaV/Limbe900/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7494,Cameroon,Eidolon helvum,,14-Jan,
MF352407.1,,Rhinolophus sinicus picornavirus,,Unclassified,6374,China,Rhinolophus sinicus,,2012,
MF352415.1,,Rhinolophus picornavirus,,Unclassified,7806,China,Rhinolophus rex,,2012,
MF352416.1,,Rhinolophus picornavirus,,Unclassified,7806,China,Rhinolophus ferrumequinum,,2012,
MF352419.1,,Miniopterus picornavirus 1,,Unclassified,7967,China,Miniopterus schreibersii,,2012,
MF352423.1,,Miniopterus picornavirus 1,,Unclassified,8035,China,Miniopterus schreibersii,,2012,
MF352427.1,,Miniopterus picornavirus 2,,Unclassified,8188,China,Miniopterus schreibersii,,2012,
MF352431.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7618,China,Myotis ricketti,,2012,
MF373609.1,NPIH26,Norwalk virus,Norovirus,Caliciviridae,7368,China,Rhinolophus affinis,,16-Jun,
MF947429.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6340,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947430.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5619,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947431.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5667,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947432.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6350,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947433.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5393,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MF947434.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6312,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947435.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6312,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947436.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,5931,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947437.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6859,Viet Nam,Scotophilus kuhlii,,2015-02-06,
MF947438.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6859,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MF947439.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6354,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MF947440.1,,Kobuvirus sp.,Kobuvirus,Picornaviridae,6354,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MG559674.1,HepV-bat3206/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,Picornaviridae,7184,China,Hipposideros armiger,,2011-09-29,
MG888045.1,,Mischivirus B,Mischivirus,Picornaviridae,6961,Algeria,Miniopterus,,17-Feb,
MK348056.1,QAPp32,Parechovirus sp. QAPp32,Parechovirus,Picornaviridae,7174,China,Pipistrellus pipistrellus,,2016,
MK468720.1,D-16-0054,Picornavirales sp.,,Unclassified,8573,Cambodia,Pteropus lylei,,,
MN602325.1,,Shanbavirus A,Shanbavirus,Picornaviridae,8208,Italy,Pipistrellus pipistrellus,,2017,
MW249015.1,DesRot/Peru/LMA6_F_DrPicoV,Bat picornavirus LMA6,Shanbavirus,Picornaviridae,6868,Peru,Desmodus rotundus,,2016,
MW249017.1,DesRot/Peru/CUS8_F_DrPicoV,Bat picornavirus CUS8,Shanbavirus,Picornaviridae,6774,Peru,Desmodus rotundus,,2016,
MW450838.1,BF2-picornavirus-YN-CHN-2020,Picornaviridae sp.,,Picornaviridae,8173,China,Miniopterus schreibersii,,2020-02-20,
MZ218056.1,BtCV/OV-157/M.dau/DK/2018,Bat calicivirus,,Caliciviridae,7486,Denmark,Myotis daubentonii,,18-Oct,
MZ218061.1,BtPV/13585-58/M.dau/DK/2014,Shanbavirus A,Shanbavirus,Picornaviridae,9300,Denmark,Myotis daubentonii,,14-Oct,
MZ544214.1,16715x13-17,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7000,Viet Nam,Scotophilus kuhlii,,2014-06-10,
MZ544215.1,16715x14-80,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6979,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544216.1,16715x39-32,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7097,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544217.1,16715x40-44,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7091,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544218.1,16715x86-30,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7067,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544225.1,16845x8-27,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7160,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544227.1,17819x11-22,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7116,Viet Nam,Scotophilus kuhlii,,2014-11-11,
MZ544228.1,17819x16-21,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7089,Viet Nam,Scotophilus kuhlii,,2014-11-11,
MZ544229.1,17819x20-34,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7293,Viet Nam,Scotophilus kuhlii,,2014-11-11,
MZ544230.1,17819x45-5,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7260,Viet Nam,Scotophilus kuhlii,,2014-11-12,
MZ544231.1,17819x48-10,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7197,Viet Nam,Scotophilus kuhlii,,2014-11-12,
MZ544237.1,20724x80-30,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6930,Viet Nam,Scotophilus kuhlii,,2015-02-04,
MZ544238.1,20724x87-644,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7208,Viet Nam,Scotophilus kuhlii,,2015-02-04,
MZ544239.1,20745x18-15,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,7220,Viet Nam,Scotophilus kuhlii,,2015-02-13,
MZ544240.1,16845x77-12,Scotophilus kuhlii picornavirus,,Picornaviridae,7846,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544241.1,16715x14-68,Scotophilus kuhlii picornavirus,,Picornaviridae,7763,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544242.1,16715x38-16,Scotophilus kuhlii picornavirus,,Picornaviridae,7736,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544243.1,16845x22-8,Scotophilus kuhlii picornavirus,,Picornaviridae,7712,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544244.1,16715x54-52,Scotophilus kuhlii picornavirus,,Picornaviridae,7687,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544245.1,20745x7-311,Scotophilus kuhlii picornavirus,,Picornaviridae,7674,Viet Nam,Scotophilus kuhlii,,2015-02-06,
MZ544246.1,16845x14-8,Scotophilus kuhlii picornavirus,,Picornaviridae,7629,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544247.1,16715x45-12,Scotophilus kuhlii picornavirus,,Picornaviridae,7567,Viet Nam,Scotophilus kuhlii,,2014-06-10,
MZ544295.1,16715x24-56,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4053,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544296.1,16715x38-55,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4023,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544297.1,16715x40-76,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,4671,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544298.1,16715x78-129,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3225,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544299.1,16715x78-130,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3225,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544300.1,16715x87-78,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3786,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544301.1,16845x31-17,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6777,Viet Nam,Scotophilus kuhlii,,2014-09-17,
MZ544302.1,16845x63-120,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3911,Viet Nam,Scotophilus kuhlii,,2014-09-18,
MZ544303.1,16845x69-64,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3228,Viet Nam,Scotophilus kuhlii,,2014-09-16,
MZ544304.1,16845x70-18,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,5952,Viet Nam,Scotophilus kuhlii,,2014-09-17,
MZ544305.1,17819x11-28,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6507,Viet Nam,Scotophilus kuhlii,,2014-11-11,
MZ544306.1,17819x13-28,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,6623,Viet Nam,Scotophilus kuhlii,,2014-11-13,
MZ544307.1,20745x5-108,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,5125,Viet Nam,Scotophilus kuhlii,,2015-02-06,
MZ544308.1,20745x25-316,Scotophilus kuhlii parechovirus,Parechovirus,Picornaviridae,3272,Viet Nam,Scotophilus kuhlii,,2015-02-13,
MZ544309.1,16715x7-94,Scotophilus kuhlii picornavirus,,Picornaviridae,2479,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544310.1,16715x7-95,Scotophilus kuhlii picornavirus,,Picornaviridae,2479,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544311.1,16715x13-42,Scotophilus kuhlii picornavirus,,Picornaviridae,3944,Viet Nam,Scotophilus kuhlii,,2014-06-10,
MZ544312.1,16715x23-48,Scotophilus kuhlii picornavirus,,Picornaviridae,5662,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544313.1,16715x23-69,Scotophilus kuhlii picornavirus,,Picornaviridae,4025,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544315.1,16715x24-62,Scotophilus kuhlii picornavirus,,Picornaviridae,3772,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544316.1,16715x24-107,Scotophilus kuhlii picornavirus,,Picornaviridae,2834,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544317.1,16715x30-77,Scotophilus kuhlii picornavirus,,Picornaviridae,4807,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544318.1,16715x30-167,Scotophilus kuhlii picornavirus,,Picornaviridae,3133,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544319.1,16715x39-83,Scotophilus kuhlii picornavirus,,Picornaviridae,3688,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544320.1,16715x39-92,Scotophilus kuhlii picornavirus,,Picornaviridae,3499,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544321.1,16715x40-52,Scotophilus kuhlii picornavirus,,Picornaviridae,6229,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544322.1,16715x40-55,Scotophilus kuhlii picornavirus,,Picornaviridae,6058,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544323.1,16715x40-63,Scotophilus kuhlii picornavirus,,Picornaviridae,5287,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544324.1,16715x46-81,Scotophilus kuhlii picornavirus,,Picornaviridae,4296,Viet Nam,Scotophilus kuhlii,,2014-06-11,
MZ544325.1,16715x47-83,Scotophilus kuhlii picornavirus,,Picornaviridae,3688,Viet Nam,Scotophilus kuhlii,,2014-06-17,
MZ544326.1,16715x47-92,Scotophilus kuhlii picornavirus,,Picornaviridae,3402,Viet Nam,Scotophilus kuhlii,,2014-06-17,
