Accession,Isolate,Species,Genus,Family,Length,Country,source,Host,Collection_Date,novel
HQ595340.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7753,Hong Kong,Miniopterus pusillus,1,2008-12-19,0
HQ595341.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7641,Hong Kong,Miniopterus schreibersii,1,2008-10-17,0
HQ595342.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7693,Hong Kong,Miniopterus magnater,1,2005-09-06,0
HQ595343.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7625,Hong Kong,Miniopterus magnater,1,2005-09-01,0
HQ595344.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7749,Hong Kong,Rhinolophus sinicus,1,2008-09-12,0
HQ595345.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7672,Hong Kong,Hipposideros armiger,1,2008-09-12,0
JN899075.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,7696,Hong Kong,Chiroptera,1,,0
JQ814851.1,,Mischivirus A,Mischivirus,Picornaviridae,8468,China,Miniopterus schreibersii,1,10-Dec,0
JQ814852.1,,Ia io picornavirus 1,Unclassified,Picornaviridae,7543,China,Ia io,1,10-Oct,0
KP100644.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
MF373609.1,NPIH26,Norwalk virus,Norovirus,Caliciviridae,7368,China,Rhinolophus affinis,1,16-Jun,0
MN602325.1,,Shanbavirus A,Shanbavirus,Picornaviridae,8208,Italy,Pipistrellus pipistrellus,1,2017,0
NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,7333,Ghana,Eidolon helvum,1,2010,0
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,,China,Rousettus leschenaulti,1,2018,0
NC_033776.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,7475,Cameroon,Eidolon helvum,1,14-Jan,0
NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,7092,Cameroon,Eidolon helvum,1,13-Dec,0
NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,7085,Cameroon,Eidolon helvum,1,13-Dec,0
NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7746,Cameroon,Eidolon helvum,1,13-Dec,0
NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,7570,Madagascar,Miniopterus,1,2014,0
NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,7399,Ghana,Coleura afra,1,2010,0
NC_038961.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,7264,China,Miniopterus fuliginosus,1,11-Sep,0
NC_043071.1,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,Picornaviridae,7555,China,Myotis ricketti,1,10-Oct,0
NC_043072.1,,Mischivirus B,Mischivirus,Picornaviridae,6855,Hungary,Miniopterus schreibersii,1,2013,0
NC_076039.1,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,6624,China,Rhinolophus ferrumequinum,1,10-Dec,0
NC_076040.1,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,7048,China,Nyctalus velutinus,1,13-Mar,0
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,8263,Madagascar,Eidolon dupreanum,1,2018-07-27,0
OQ363751.1,GD/L117.18d/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11211,China,Miniopterus pusillus,1,22-Jul,0
OQ363752.1,GD/L117.18e/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11207,China,Miniopterus pusillus,1,22-Jul,0
OQ363753.1,GD/L117.18b/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11198,China,Miniopterus pusillus,1,22-Jul,0
OQ363754.1,GD/L117.18f/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11194,China,Miniopterus pusillus,1,22-Jul,0
OQ363755.1,GD/L117.18g/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11008,China,Miniopterus pusillus,1,22-Jul,0
OQ363758.1,GD/L12.18a/2020,Bat picornavirus 6,Unclassified,Picornaviridae,10663,China,Miniopterus pusillus,1,20-Nov,0
OQ363759.1,GD/L117.18a/2022,Bat picornavirus 5,Unclassified,Picornaviridae,9826,China,Miniopterus pusillus,1,22-Jul,0
OQ363761.1,GD/L12.18b/2020,Bat picornavirus 6,Unclassified,Picornaviridae,8524,China,Miniopterus pusillus,1,20-Nov,0
OQ363764.1,GD/L96.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7970,China,Rhinolophus sinicus,1,22-Apr,0
OQ363766.1,CQ/L77.18b/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7897,China,Rhinolophus pusillus,1,21-Dec,0
OQ363767.1,GD/L91.18/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus pusillus,1,22-Jan,0
OQ363768.1,GD/L95.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus sinicus,1,22-Apr,0
OQ363769.1,GD/L23.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7882,China,Rhinolophus sinicus,1,20-Dec,0
OQ363770.1,GD/L24.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7881,China,Rhinolophus sinicus,1,20-Dec,0
OQ363771.1,GD/L20.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7880,China,Rhinolophus sinicus,1,20-Dec,0
OQ363772.1,GD/L67.18/2021,Bat picornavirus 7,Unclassified,Picornaviridae,7880,China,Taphozous melanopogon,1,21-Nov,0
OQ363773.1,GD/L25.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7875,China,Rhinolophus sinicus,1,20-Dec,0
OQ363775.1,CQ/L77.18a/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7853,China,Rhinolophus pusillus,1,21-Dec,0
OQ363777.1,GD/L8.18/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7743,China,Rhinolophus sinicus,1,20-Nov,0
OQ363779.1,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7080,China,Rhinolophus pusillus,1,21-Oct,0
OQ363780.1,GD/L4.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7018,China,Rhinolophus pusillus,1,20-Nov,0
