pointer,PP766457,KT452742,NC_028366,NC_028981
49,62.92134831,NA,45.76271186,6.666666667
50,64.04494382,NA,46.66666667,6.593406593
51,65.16853933,NA,45.90163934,6.593406593
52,66.29213483,NA,45.16129032,6.593406593
53,67.41573034,NA,46.03174603,7.692307692
54,68.53932584,NA,46.875,8.791208791
55,69.66292135,NA,47.69230769,9.89010989
56,70.78651685,NA,46.96969697,9.89010989
57,71.91011236,4.166666667,47.76119403,9.89010989
58,73.03370787,4.166666667,47.05882353,10.98901099
59,74.15730337,4.166666667,46.37681159,12.08791209
60,75.28089888,4.166666667,45.71428571,13.18681319
61,76.40449438,4.166666667,45.07042254,13.18681319
62,77.27272727,4.210526316,44.44444444,13.33333333
63,78.16091954,4.210526316,43.83561644,13.48314607
64,79.06976744,4.255319149,43.24324324,13.63636364
65,80,4.301075269,42.66666667,13.79310345
66,80.95238095,4.347826087,42.10526316,13.95348837
67,81.92771084,4.395604396,41.55844156,14.11764706
68,82.92682927,4.444444444,41.02564103,14.28571429
69,82.92682927,4.494382022,40.50632911,14.28571429
70,82.92682927,4.545454545,40,14.28571429
71,83.13253012,4.545454545,39.50617284,14.11764706
72,83.33333333,4.545454545,40.24390244,15.11627907
73,83.52941176,4.545454545,40.96385542,16.09195402
74,83.72093023,4.545454545,40.47619048,17.04545455
75,84.88372093,4.545454545,40,18.18181818
76,86.04651163,4.545454545,40.69767442,19.31818182
77,87.20930233,4.545454545,40.22988506,20.45454545
78,88.37209302,4.545454545,39.77272727,21.59090909
79,89.53488372,4.545454545,39.3258427,22.72727273
80,90.69767442,4.545454545,38.88888889,23.86363636
81,91.86046512,4.545454545,38.46153846,25
82,93.02325581,5.681818182,38.04347826,26.13636364
83,94.18604651,5.681818182,37.6344086,27.27272727
84,95.34883721,5.681818182,37.23404255,28.40909091
85,96.51162791,5.681818182,36.84210526,28.40909091
86,97.6744186,6.818181818,36.45833333,29.54545455
87,97.70114943,6.818181818,37.11340206,30.68181818
88,97.72727273,6.818181818,36.73469388,30.68181818
89,98.86363636,6.818181818,37.37373737,30.68181818
90,100,6.818181818,38,31.81818182
91,100,7.954545455,38,32.95454545
92,100,9.090909091,38,34.09090909
93,100,9.090909091,39,35.22727273
94,100,9.090909091,39,36.36363636
95,100,9.090909091,39,36.36363636
96,100,9.090909091,39,36.36363636
97,100,9.090909091,39,36.36363636
98,100,9.090909091,39,35.22727273
99,100,9.090909091,39,35.22727273
100,100,9.090909091,39,35.22727273
101,100,9.090909091,39,35.22727273
102,100,9.090909091,39,35.22727273
103,100,9.090909091,39,35.22727273
104,100,9.090909091,39,35.22727273
105,100,9.090909091,39,35.22727273
106,100,9.090909091,39,35.22727273
107,100,9.090909091,39,35.22727273
108,100,7.954545455,39,34.09090909
109,100,7.954545455,39,34.09090909
110,100,9.090909091,38,34.09090909
111,100,9.090909091,38,35.22727273
112,100,9.090909091,38,35.22727273
113,100,9.090909091,38,35.22727273
114,100,9.090909091,38,35.22727273
115,100,9.090909091,37,34.09090909
116,100,8.988764045,37,33.70786517
117,100,8.988764045,36,34.83146067
118,100,8.988764045,36,34.83146067
119,100,8.988764045,35,35.95505618
120,100,8.988764045,35,35.95505618
121,100,8.988764045,34,35.95505618
122,100,8.988764045,33,35.95505618
123,100,8.988764045,33,35.95505618
124,100,8.988764045,32,37.07865169
125,100,7.865168539,31,37.07865169
126,100,7.865168539,30,37.07865169
127,100,6.741573034,29,37.07865169
128,100,6.741573034,28,37.07865169
129,100,6.741573034,27,37.07865169
130,100,6.818181818,26.26262626,35.95505618
131,100,6.818181818,26.26262626,35.95505618
132,100,6.818181818,25.25252525,35.95505618
133,100,6.818181818,24.24242424,35.95505618
134,100,6.818181818,23.23232323,35.95505618
135,100,6.818181818,23.23232323,37.07865169
136,100,6.818181818,22.22222222,37.07865169
137,100,6.818181818,21.21212121,38.20224719
138,100,6.818181818,20.2020202,39.3258427
139,100,6.818181818,19.19191919,39.3258427
140,100,6.818181818,18.18181818,39.3258427
141,100,6.818181818,17.17171717,39.3258427
142,100,6.818181818,17.17171717,39.3258427
143,100,6.818181818,16.16161616,40.4494382
144,100,6.818181818,16.16161616,41.57303371
145,100,6.818181818,15.15151515,41.57303371
146,100,6.818181818,14.14141414,41.57303371
147,100,6.818181818,14.14141414,40.4494382
148,100,6.741573034,14.14141414,40
149,100,6.666666667,14.14141414,39.56043956
150,100,6.666666667,13.13131313,39.56043956
151,100,6.666666667,13.13131313,39.56043956
152,100,6.666666667,13.13131313,39.56043956
153,100,6.666666667,12.12121212,38.46153846
154,100,6.666666667,11.11111111,38.46153846
155,100,6.666666667,10.1010101,37.36263736
156,100,6.666666667,10.1010101,37.36263736
157,100,5.555555556,9.090909091,37.36263736
158,100,5.555555556,9.090909091,36.26373626
159,100,5.617977528,9.183673469,35.16483516
160,100,5.681818182,9.278350515,34.06593407
161,100,5.747126437,9.375,34.06593407
162,100,5.747126437,9.473684211,33.69565217
163,100,5.681818182,10.52631579,33.33333333
164,100,5.617977528,10.52631579,32.9787234
165,100,5.555555556,10.52631579,32.63157895
166,100,5.494505495,10.52631579,32.29166667
167,100,5.434782609,10.52631579,31.95876289
168,100,5.376344086,10.52631579,31.63265306
169,100,5.319148936,10.52631579,31.31313131
170,100,5.263157895,10.52631579,31
171,100,5.263157895,11.57894737,32
172,100,5.263157895,10.52631579,32
173,100,5.263157895,9.473684211,31
174,100,5.263157895,9.473684211,30
175,100,5.263157895,10.52631579,29
176,100,5.263157895,9.473684211,28
177,100,5.263157895,9.473684211,27
178,100,5.263157895,9.473684211,26
179,100,5.263157895,10.52631579,25
180,100,5.263157895,10.52631579,24
181,100,5.263157895,10.52631579,23
182,100,4.210526316,10.52631579,22
183,100,4.210526316,10.52631579,21
184,100,4.210526316,11.57894737,20
185,100,4.210526316,11.57894737,20
186,100,3.157894737,11.57894737,19
187,100,3.157894737,10.52631579,18
188,100,3.157894737,10.52631579,18
189,100,3.157894737,9.473684211,18
190,100,3.157894737,9.473684211,17
191,100,2.105263158,9.473684211,16
192,100,1.052631579,9.473684211,15
193,100,2.105263158,8.421052632,15
194,100,3.157894737,8.421052632,15
195,100,3.157894737,8.421052632,16
196,100,3.157894737,9.473684211,17
