pointer,OQ818318,PP711948,OR951334,OQ818324,PV788826
49,31.57894737,32.65306122,0,38.88888889,40.90909091
50,30.85106383,33.33333333,0,37.5,39.39393939
51,30.85106383,33.33333333,0,37.5,39.39393939
52,30.85106383,33.33333333,0,37.5,39.39393939
53,30.85106383,33.33333333,0,37.5,39.39393939
54,30.52631579,32.65306122,0,38.88888889,40.90909091
55,30.52631579,32,0,40.27777778,42.42424242
56,30.52631579,31.37254902,0,41.66666667,43.93939394
57,30.52631579,30.76923077,0,43.05555556,45.45454545
58,30.52631579,30.18867925,0,44.44444444,46.96969697
59,30.52631579,29.62962963,0,45.83333333,48.48484848
60,30.52631579,29.09090909,0,47.22222222,49.25373134
61,30.52631579,28.57142857,0,47.22222222,48.52941176
62,30.52631579,28.07017544,0,48.61111111,49.27536232
63,30.52631579,27.5862069,0,50,50
64,30.52631579,27.11864407,0,50.68493151,50.70422535
65,30.52631579,26.66666667,0,51.35135135,51.38888889
66,31.57894737,27.86885246,0,52,52.05479452
67,32.63157895,29.03225806,0,52.63157895,52.7027027
68,32.63157895,28.57142857,0,53.24675325,53.33333333
69,33.68421053,29.6875,0,53.84615385,53.94736842
70,34.73684211,29.23076923,0,53.16455696,53.24675325
71,35.78947368,30.3030303,0,53.75,53.84615385
72,36.84210526,31.34328358,0,54.32098765,54.43037975
73,37.89473684,32.35294118,0,54.87804878,55
74,38.94736842,31.88405797,0,54.21686747,54.32098765
75,38.94736842,31.42857143,0,53.57142857,53.65853659
76,40,32.3943662,0,54.11764706,54.21686747
77,40,31.94444444,0,54.11764706,53.57142857
78,40,31.50684932,0,54.11764706,52.94117647
79,40.42553191,31.50684932,0,53.48837209,52.3255814
80,40.86021505,31.50684932,0,52.87356322,51.72413793
81,40.86021505,31.08108108,0,52.87356322,51.72413793
82,40.86021505,30.66666667,0,54.02298851,52.87356322
83,40.86021505,30.26315789,0,55.17241379,54.02298851
84,40.86021505,29.87012987,0,56.32183908,55.17241379
85,40.86021505,29.48717949,0,56.32183908,55.17241379
86,40.2173913,29.87012987,0,55.17241379,54.02298851
87,39.13043478,28.57142857,0,55.17241379,54.02298851
88,38.04347826,28.57142857,0,55.17241379,54.02298851
89,36.95652174,27.27272727,0,56.32183908,55.17241379
90,35.86956522,27.27272727,0,56.32183908,55.17241379
91,34.7826087,25.97402597,0,56.32183908,55.17241379
92,34.7826087,25.97402597,0,57.47126437,56.32183908
93,34.7826087,27.27272727,0,57.47126437,56.32183908
94,35.86956522,28.20512821,0,57.95454545,56.81818182
95,35.86956522,27.84810127,0,57.30337079,56.17977528
96,35.86956522,27.5,0,56.66666667,55.55555556
97,35.86956522,27.16049383,0,57.14285714,56.04395604
98,36.95652174,28.04878049,0,57.60869565,56.52173913
