pointer,PP766456,OP287812
49,78,79
50,79,80
51,80,81
52,81,82
53,82,83
54,83,84
55,84,85
56,85,86
57,86,87
58,87,88
59,87,89
60,88,90
61,89,91
62,90,92
63,91,93
64,92,94
65,93,95
66,94,96
67,95,97
68,96,98
69,97,99
70,97,100
71,96,100
72,96,100
73,96,100
74,96,100
75,96,100
76,96,100
77,96,100
78,96,100
79,96,100
80,96,100
81,96,100
82,96,100
83,96,100
84,96,100
85,96,100
86,96,100
87,96,100
88,96,100
89,96,100
90,96,100
91,96,100
92,96,100
93,96,100
94,96,100
95,96,100
96,97,100
97,97,100
98,97,100
99,97,100
100,97,100
101,97,100
102,97,99
103,97,99
104,97,99
105,97,99
106,97,99
107,97,99
108,97,99
109,97,99
110,97,99
111,97,99
112,97,99
113,97,99
114,97,99
115,97,99
116,97,99
117,97,99
118,97,99
119,97,99
120,97,99
121,97,99
122,97,99
123,97,99
124,97,99
125,97,99
126,98,99
127,98,99
128,98,99
129,98,99
130,98,99
131,98,99
132,98,99
133,98,99
134,98,99
135,98,99
136,98,99
137,98,99
138,98,99
139,98,99
140,98,99
141,98,99
142,98,99
143,98,99
144,98,99
145,98,99
146,98,99
147,98,99
148,98,99
149,98,99
150,98,99
151,98,99
152,98,99
153,98,99
154,98,99
155,98,99
156,98,99
157,98,99
158,98,99
159,99,99
160,99,99
161,99,99
162,99,99
163,99,99
164,99,99
165,99,99
166,99,99
167,99,99
168,99,99
169,99,99
170,99,99
171,100,99
172,100,99
173,100,99
174,100,99
175,100,99
176,100,99
177,100,99
178,100,99
179,100,99
180,100,99
181,100,99
182,100,99
183,100,99
184,100,99
185,100,99
186,100,99
187,100,99
188,100,99
189,100,99
190,100,99
191,100,99
192,100,99
193,100,99
194,100,99
195,100,99
196,100,98
197,100,98
198,100,98
199,100,98
200,100,98
201,100,98
202,100,99
203,100,99
204,100,99
205,100,99
206,100,99
207,100,99
208,100,99
209,100,99
210,100,99
211,100,99
212,100,99
213,100,99
214,100,99
215,100,99
216,100,99
217,100,99
218,100,99
219,100,99
220,100,99
221,100,99
222,100,99
223,100,99
224,100,99
225,100,99
226,100,99
227,100,99
228,100,99
229,100,99
230,100,99
231,100,99
232,100,99
233,100,99
234,100,99
235,100,99
236,100,99
237,100,99
238,100,99
239,100,99
240,100,99
241,100,99
242,100,99
243,100,99
244,100,99
245,100,99
246,100,99
247,100,99
248,100,99
249,100,99
250,100,99
251,100,99
252,100,99
253,100,99
254,100,99
255,100,99
256,100,99
257,100,99
258,100,99
259,100,99
260,100,99
261,100,99
262,100,99
263,100,99
264,100,99
265,100,99
266,100,99
267,100,99
268,100,99
269,100,99
270,100,99
271,100,99
272,100,99
273,100,99
274,100,99
275,100,99
276,100,99
277,100,99
278,100,99
279,100,99
280,100,99
281,100,99
282,100,99
283,100,99
284,100,99
285,100,99
286,100,99
287,100,99
288,100,99
289,100,99
290,100,99
291,100,99
292,100,99
293,100,99
294,100,99
295,100,99
296,100,100
297,100,100
298,100,100
299,100,100
300,100,100
301,100,100
302,100,100
303,100,100
304,99,100
305,99,100
306,99,100
307,99,100
308,99,100
309,99,100
310,99,100
311,99,100
312,99,100
313,99,100
314,99,100
315,99,100
316,99,100
317,99,100
318,99,100
319,99,100
320,99,100
321,99,100
322,99,100
323,99,100
324,99,100
325,99,100
326,99,100
327,99,100
328,99,100
329,99,100
330,99,100
331,99,100
332,99,100
333,99,100
334,99,100
335,99,100
336,99,100
337,99,100
338,99,100
339,99,100
340,99,100
341,99,100
342,99,100
343,99,100
344,99,100
345,99,100
346,99,100
347,99,100
348,99,100
349,99,100
350,99,100
351,99,100
352,99,100
353,99,100
354,99,100
355,99,100
356,99,100
357,99,100
358,99,100
359,99,100
360,99,100
361,99,100
362,99,100
363,99,100
364,99,100
365,99,100
366,99,100
367,99,100
368,99,100
