pointer,KU955338,MT499387
49,90.0,92.0
50,90.0,92.0
51,90.0,92.0
52,90.0,92.0
53,90.0,92.0
54,91.0,93.0
55,91.0,93.0
56,91.0,93.0
57,91.0,93.0
58,91.0,93.0
59,91.0,93.0
60,91.0,93.0
61,91.0,93.0
62,91.0,93.0
63,91.0,93.0
64,90.0,92.0
65,90.0,92.0
66,91.0,93.0
67,91.0,93.0
68,91.0,93.0
69,91.0,94.0
70,91.0,94.0
71,90.0,94.0
72,90.0,94.0
73,90.0,94.0
74,90.0,93.0
75,91.0,93.0
76,91.0,92.0
77,91.0,91.0
78,91.0,91.0
79,90.0,91.0
80,89.0,91.0
81,89.0,91.0
82,89.0,91.0
83,88.0,91.0
84,88.0,91.0
85,88.0,91.0
86,88.0,91.0
87,88.0,91.0
88,87.0,91.0
89,86.0,90.0
90,86.0,90.0
91,86.0,90.0
92,85.0,89.0
93,85.0,89.0
94,85.0,89.0
95,85.0,88.0
96,85.0,88.0
97,85.0,88.0
98,85.0,87.0
99,85.0,87.0
100,85.0,87.0
101,84.0,87.0
102,85.0,88.0
103,85.0,88.0
104,84.0,87.0
105,84.0,87.0
106,84.0,87.0
107,84.0,86.0
108,84.0,86.0
109,84.0,86.0
110,84.0,85.0
111,83.0,84.0
112,83.0,83.0
113,82.0,82.0
114,83.0,82.0
115,83.0,82.0
116,82.0,81.0
117,82.0,81.0
118,82.0,81.0
119,81.0,81.0
120,81.0,81.0
121,81.0,81.0
122,80.0,80.0
123,80.0,81.0
124,80.0,82.0
125,80.0,82.0
126,80.0,82.0
127,80.0,82.0
128,79.0,81.0
129,80.0,82.0
130,80.0,82.0
131,80.0,81.0
132,81.0,81.0
133,81.0,81.0
134,80.0,80.0
135,80.0,80.0
136,80.0,80.0
137,79.0,80.0
138,79.0,80.0
139,79.0,80.0
140,79.0,79.0
141,79.0,79.0
142,79.0,79.0
143,78.0,78.0
144,78.0,78.0
145,78.0,78.0
146,78.0,78.0
147,79.0,79.0
148,80.0,79.0
149,80.0,79.0
150,80.0,79.0
151,80.0,79.0
152,79.0,79.0
153,79.0,79.0
154,79.0,79.0
155,79.0,79.0
156,79.0,79.0
157,79.0,79.0
158,79.0,79.0
159,79.0,79.0
160,79.0,79.0
161,78.0,79.0
162,78.0,79.0
163,78.0,79.0
164,78.0,79.0
165,78.0,79.0
166,78.0,79.0
167,77.0,78.0
168,76.0,77.0
169,76.0,77.0
170,75.0,77.0
171,76.0,77.0
172,76.0,77.0
173,75.0,76.0
174,75.0,77.0
175,75.0,77.0
176,75.0,78.0
177,75.0,79.0
178,75.0,79.0
179,75.0,79.0
180,76.0,78.0
181,76.0,78.0
182,76.0,78.0
183,77.0,78.0
184,77.0,78.0
185,77.0,78.0
186,77.0,78.0
187,77.0,78.0
188,78.0,78.0
189,79.0,79.0
190,79.0,79.0
191,78.0,78.0
192,79.0,79.0
193,79.0,79.0
194,79.0,78.0
195,79.0,79.0
196,79.0,79.0
197,78.0,78.0
198,78.0,79.0
199,78.0,79.0
200,77.0,78.0
201,78.0,78.0
202,78.0,78.0
203,78.0,77.0
204,79.0,78.0
205,79.0,78.0
206,78.0,77.0
207,78.0,78.0
208,78.0,78.0
209,77.0,77.0
210,77.0,78.0
211,78.0,79.0
212,77.0,80.0
213,78.0,81.0
214,78.0,81.0
215,78.0,80.0
216,79.0,81.0
217,79.0,81.0
218,79.0,81.0
219,80.0,81.0
220,80.0,81.0
221,80.0,81.0
222,81.0,82.0
223,81.0,82.0
224,80.0,81.0
225,80.0,81.0
226,80.0,81.0
227,79.0,81.0
228,80.0,82.0
229,80.0,82.0
230,80.0,81.0
231,80.0,82.0
232,80.0,82.0
233,80.0,82.0
234,81.0,82.0
235,81.0,82.0
236,80.0,81.0
237,81.0,80.0
238,81.0,80.0
239,80.0,79.0
240,80.0,80.0
241,81.0,80.0
242,81.0,79.0
243,82.0,80.0
244,82.0,80.0
245,82.0,80.0
246,82.0,80.0
247,82.0,80.0
248,82.0,79.0
249,82.0,79.0
250,82.0,79.0
251,81.0,79.0
252,82.0,79.0
253,82.0,79.0
254,82.0,79.0
255,82.0,79.0
256,82.0,79.0
257,82.0,79.0
258,82.0,79.0
259,82.0,79.0
260,81.0,79.0
261,81.0,79.0
262,81.0,79.0
263,80.0,79.0
264,81.0,80.0
265,81.0,80.0
266,81.0,79.0
267,82.0,80.0
268,83.0,81.0
269,82.0,80.0
270,83.0,80.0
271,83.0,80.0
272,82.0,79.0
273,83.0,79.0
274,83.0,79.0
275,82.0,78.0
276,82.0,78.0
277,82.0,78.0
278,81.0,77.0
279,82.0,77.0
280,82.0,78.0
281,81.0,77.0
282,81.0,77.0
283,81.0,77.0
284,81.0,76.0
285,81.0,76.0
286,81.0,76.0
287,80.0,75.0
288,80.0,75.0
289,80.0,75.0
290,80.0,75.0
291,81.0,76.0
292,81.0,76.0
293,81.0,76.0
294,81.0,77.0
295,81.0,77.0
296,80.0,77.0
297,81.0,78.0
298,81.0,78.0
299,81.0,78.0
300,82.0,78.0
301,82.0,78.0
302,81.0,78.0
303,81.0,79.0
304,81.0,79.0
305,80.0,78.0
306,81.0,79.0
307,81.0,79.0
308,81.0,79.0
309,82.0,80.0
310,82.0,80.0
311,81.0,80.0
312,82.0,80.0
313,82.0,80.0
314,81.0,80.0
315,81.0,81.0
316,81.0,81.0
317,80.0,80.0
318,80.0,80.0
319,80.0,80.0
320,80.0,80.0
321,80.0,80.0
322,80.0,80.0
323,79.0,79.0
324,80.0,80.0
325,80.0,80.0
326,80.0,80.0
327,81.0,80.0
328,81.0,80.0
329,80.0,80.0
330,80.0,81.0
331,80.0,81.0
332,79.0,80.0
333,79.0,80.0
334,79.0,81.0
335,79.0,81.0
336,80.0,82.0
337,80.0,83.0
338,79.0,82.0
339,80.0,83.0
340,80.0,83.0
341,80.0,83.0
342,80.0,84.0
343,80.0,84.0
344,80.0,83.0
345,80.0,83.0
346,80.0,83.0
347,79.0,82.0
348,79.0,83.0
349,79.0,83.0
350,79.0,83.0
351,80.0,83.0
352,80.0,83.0
353,79.0,82.0
354,79.0,82.0
355,79.0,82.0
356,79.0,82.0
357,79.0,82.0
358,79.0,82.0
359,79.0,81.0
360,80.0,81.0
361,81.0,81.0
362,81.0,80.0
363,82.0,80.0
364,82.0,80.0
365,82.0,80.0
366,82.0,81.0
367,82.0,81.0
368,82.0,81.0
369,83.0,82.0
370,83.0,82.0
371,82.0,82.0
372,83.0,83.0
373,83.0,84.0
374,82.0,83.0
375,83.0,84.0
376,83.0,84.0
377,83.0,84.0
378,84.0,85.0
379,84.0,85.0
380,83.0,85.0
381,84.0,86.0
382,84.0,86.0
383,83.0,85.0
384,83.0,86.0
385,83.0,86.0
386,82.0,86.0
387,83.0,87.0
388,83.0,87.0
389,83.0,86.0
390,83.0,86.0
391,83.0,86.0
392,82.0,85.0
393,82.0,85.0
394,82.0,85.0
395,82.0,85.0
396,83.0,85.0
397,83.0,85.0
398,83.0,85.0
399,83.0,85.0
400,83.0,86.0
401,83.0,86.0
402,84.0,86.0
403,84.0,86.0
404,83.0,85.0
405,84.0,86.0
406,84.0,86.0
407,84.0,85.0
408,84.0,85.0
409,84.0,85.0
410,84.0,84.0
411,85.0,84.0
412,85.0,84.0
413,85.0,83.0
414,86.0,83.0
415,86.0,83.0
416,85.0,82.0
417,86.0,83.0
418,86.0,83.0
419,85.0,82.0
420,85.0,82.0
421,85.0,82.0
422,85.0,82.0
423,86.0,83.0
424,86.0,83.0
425,85.0,83.0
426,85.0,83.0
427,85.0,83.0
428,84.0,82.0
429,85.0,82.0
430,85.0,82.0
431,85.0,82.0
432,86.0,83.0
433,86.0,83.0
434,85.0,83.0
435,85.0,83.0
436,85.0,83.0
437,84.0,83.0
438,85.0,84.0
439,84.0,84.0
440,84.0,84.0
441,84.0,84.0
442,84.0,84.0
443,84.0,83.0
