pointer,OQ818318,OR951334,PP711948,OQ818324,PV788826
49,13.33333333,0,14.11764706,20.83333333,21.27659574
50,13.18681319,0,13.95348837,21.875,22.10526316
51,13.04347826,0,13.79310345,22.91666667,22.91666667
52,13.04347826,0,13.63636364,23.95833333,23.95833333
53,14.13043478,0,13.48314607,25,25
54,14.13043478,0,13.33333333,25,25
55,13.04347826,0,13.33333333,23.95833333,23.95833333
56,13.04347826,0,13.18681319,23.71134021,23.71134021
57,13.04347826,0,13.04347826,23.46938776,23.46938776
58,11.95652174,0,13.04347826,22.44897959,22.44897959
59,11.82795699,0,12.90322581,22.44897959,22.44897959
60,11.70212766,0,12.76595745,22.44897959,22.44897959
61,11.57894737,0,12.63157895,22.44897959,22.44897959
62,11.57894737,0,12.63157895,21.42857143,21.42857143
63,10.52631579,0,12.63157895,21.42857143,21.42857143
64,9.473684211,0,11.57894737,22.44897959,22.44897959
65,8.421052632,0,10.52631579,21.42857143,21.42857143
66,9.473684211,0,10.52631579,21.42857143,21.42857143
67,9.473684211,0,10.52631579,22.44897959,22.44897959
68,9.473684211,0,9.473684211,22.44897959,22.44897959
69,9.473684211,0,9.473684211,22.44897959,22.44897959
70,8.421052632,0,8.421052632,22.44897959,22.44897959
71,8.421052632,0,8.421052632,22.44897959,22.44897959
72,8.421052632,0,8.421052632,22.44897959,22.44897959
73,8.421052632,0,8.421052632,23.46938776,23.46938776
74,8.421052632,0,8.421052632,24.48979592,24.48979592
75,7.368421053,0,7.368421053,23.46938776,23.46938776
76,7.368421053,0,7.368421053,23.46938776,23.46938776
77,7.368421053,0,7.368421053,23.46938776,23.46938776
78,7.368421053,0,7.368421053,24.48979592,24.48979592
79,7.368421053,0,7.368421053,24.48979592,24.48979592
80,7.446808511,0,7.368421053,24.74226804,24.74226804
81,7.52688172,0,7.368421053,25,25
82,7.608695652,0,7.368421053,25.26315789,25.26315789
83,7.692307692,0,7.368421053,25.53191489,25.53191489
84,7.692307692,0,7.368421053,25.53191489,25.53191489
85,7.692307692,0,7.368421053,25.53191489,25.53191489
86,7.692307692,0,7.368421053,26.59574468,26.59574468
87,7.692307692,0,7.368421053,26.59574468,26.59574468
88,7.692307692,0,7.368421053,26.59574468,26.59574468
89,7.692307692,0,8.421052632,27.65957447,27.65957447
90,6.593406593,0,7.368421053,28.72340426,28.72340426
91,6.593406593,0,7.368421053,29.78723404,29.78723404
92,6.593406593,0,7.368421053,30.10752688,30.10752688
93,6.593406593,0,6.315789474,30.43478261,30.43478261
94,6.593406593,0,6.315789474,31.52173913,31.52173913
95,6.593406593,0,6.315789474,32.60869565,32.60869565
96,6.593406593,0,6.315789474,33.69565217,33.69565217
97,6.593406593,0,6.315789474,34.7826087,34.7826087
98,7.692307692,0,7.368421053,35.86956522,35.86956522
99,7.692307692,0,7.368421053,35.86956522,35.86956522
100,7.692307692,0,7.368421053,34.7826087,34.7826087
101,7.692307692,0,7.368421053,34.7826087,34.7826087
102,8.791208791,0,8.421052632,35.86956522,35.86956522
103,8.791208791,0,8.421052632,36.26373626,36.26373626
104,8.791208791,0,8.421052632,36.66666667,36.66666667
105,8.791208791,0,8.421052632,35.95505618,35.95505618
106,8.791208791,0,8.421052632,36.36363636,36.36363636
107,9.89010989,0,9.473684211,37.5,37.5
108,10.98901099,0,10.52631579,38.63636364,38.63636364
109,9.89010989,0,10.52631579,39.77272727,39.77272727
110,9.89010989,0,10.52631579,40.90909091,40.90909091
111,8.791208791,0,10.52631579,42.04545455,42.04545455
112,8.791208791,0,10.52631579,43.18181818,43.18181818
113,8.791208791,0,10.52631579,43.18181818,43.18181818
114,8.791208791,0,10.52631579,44.31818182,44.31818182
115,8.791208791,0,10.52631579,44.31818182,44.31818182
116,8.791208791,0,10.52631579,45.45454545,45.45454545
117,8.791208791,0,10.52631579,46.59090909,46.59090909
118,8.791208791,0,10.52631579,46.59090909,46.59090909
119,8.791208791,0,10.52631579,47.72727273,47.72727273
120,8.791208791,0,10.52631579,48.86363636,48.86363636
121,7.692307692,0,10.52631579,48.86363636,48.86363636
122,8.791208791,0,10.52631579,50,50
123,8.791208791,0,10.52631579,50,50
124,8.791208791,1.204819277,10.52631579,51.13636364,51.13636364
125,8.791208791,1.204819277,10.52631579,52.27272727,52.27272727
126,8.791208791,1.204819277,10.52631579,52.27272727,52.27272727
127,8.791208791,1.19047619,10.41666667,52.27272727,52.27272727
128,9.89010989,2.352941176,11.34020619,53.40909091,53.40909091
129,9.782608696,2.325581395,11.2244898,54.54545455,54.54545455
130,9.677419355,2.298850575,11.11111111,55.68181818,55.68181818
131,9.574468085,3.409090909,11,56.81818182,56.81818182
132,9.574468085,3.409090909,10,57.95454545,57.95454545
133,8.510638298,3.409090909,9,57.95454545,57.95454545
134,8.510638298,3.409090909,9,57.95454545,57.95454545
135,8.510638298,3.409090909,9,59.09090909,59.09090909
136,8.510638298,3.409090909,9,60.22727273,60.22727273
137,8.510638298,3.409090909,9,61.36363636,61.36363636
138,8.510638298,3.409090909,9,62.5,62.5
139,9.574468085,4.545454545,10,62.5,62.5
140,9.574468085,4.545454545,10,63.63636364,63.63636364
141,9.574468085,4.545454545,9,63.63636364,63.63636364
142,9.574468085,4.545454545,9,63.63636364,63.63636364
