pointer,OQ818320,OQ818329,NC_033820,PP711921,PP711911
49,27.83505155,8,24.74226804,69.07216495,10.20408163
50,27.83505155,8,24.74226804,70.10309278,10.20408163
51,27.83505155,8,24.74226804,71.13402062,10.20408163
52,27.83505155,8,24.74226804,71.13402062,9.183673469
53,27.83505155,8,24.74226804,72.16494845,9.183673469
54,27.83505155,8,24.74226804,73.19587629,9.183673469
55,27.83505155,8,24.74226804,74.22680412,9.183673469
56,27.83505155,8,24.74226804,75.25773196,9.183673469
57,27.83505155,8,24.74226804,76.28865979,9.183673469
58,27.83505155,8,24.74226804,77.31958763,9.183673469
59,27.83505155,8,24.74226804,78.35051546,9.183673469
60,27.83505155,8,24.74226804,79.3814433,9.183673469
61,28.86597938,8,25.77319588,80.41237113,9.183673469
62,29.89690722,8,26.80412371,81.44329897,9.183673469
63,29.89690722,8,26.80412371,82.4742268,9.183673469
64,29.89690722,8,26.80412371,83.50515464,9.183673469
65,29.89690722,8,26.80412371,84.53608247,9.183673469
66,29.89690722,8,26.80412371,85.56701031,9.183673469
67,29.89690722,8,26.80412371,86.59793814,9.183673469
68,29.89690722,8,26.80412371,87.62886598,9.183673469
69,29.89690722,8,26.80412371,88.65979381,9.183673469
70,29.89690722,8,26.80412371,89.69072165,8.163265306
71,29.89690722,8,26.80412371,89.69072165,8.163265306
72,28.86597938,7,26.80412371,89.69072165,7.142857143
73,28.86597938,7,26.80412371,90.72164948,7.142857143
74,27.83505155,7,26.80412371,90.72164948,7.142857143
75,28.86597938,8,27.83505155,91.75257732,8.163265306
76,29.89690722,8,28.86597938,91.75257732,8.163265306
77,30.92783505,8,29.89690722,92.78350515,8.163265306
78,30.92783505,8,28.86597938,92.78350515,8.163265306
79,31.95876289,9,29.89690722,93.81443299,8.163265306
80,31.95876289,9,29.89690722,93.81443299,8.163265306
81,31.95876289,9,29.89690722,93.81443299,8.163265306
82,30.92783505,8.080808081,29.89690722,93.75,7.216494845
83,29.89690722,7.142857143,28.86597938,93.68421053,6.25
84,29.59183673,7.216494845,28.57142857,93.68421053,6.25
85,28.57142857,7.291666667,27.55102041,93.61702128,6.315789474
86,28.57142857,7.368421053,27.55102041,93.5483871,6.382978723
87,27.55102041,7.446808511,26.53061224,93.47826087,6.451612903
88,26.53061224,7.446808511,25.51020408,93.40659341,6.451612903
89,25.51020408,7.446808511,24.48979592,93.33333333,6.451612903
90,24.48979592,7.446808511,23.46938776,93.25842697,5.376344086
91,23.46938776,7.446808511,22.44897959,93.18181818,5.376344086
92,22.44897959,7.446808511,21.42857143,93.10344828,5.376344086
93,21.42857143,6.382978723,20.40816327,93.02325581,5.376344086
94,21.42857143,6.382978723,20.40816327,93.02325581,5.376344086
95,20.40816327,6.382978723,19.3877551,93.02325581,5.376344086
96,19.3877551,5.319148936,18.36734694,93.02325581,5.376344086
97,18.36734694,5.319148936,17.34693878,94.18604651,5.376344086
98,18.36734694,5.319148936,17.34693878,94.18604651,5.376344086
99,18.36734694,5.319148936,17.34693878,94.18604651,5.376344086
100,18.36734694,5.319148936,17.34693878,94.18604651,5.376344086
