pointer,OQ818325,PP711945,PP711912,PP711930,PP766469,PV788825
49,71.59090909,5.555555556,4.081632653,7.777777778,6.060606061,16.09195402
50,71.91011236,5.494505495,4.081632653,7.692307692,5.970149254,15.90909091
51,72.22222222,5.434782609,4.081632653,7.608695652,5.882352941,15.73033708
52,72.52747253,5.434782609,4.081632653,7.52688172,5.797101449,15.55555556
53,73.62637363,5.434782609,4.081632653,7.52688172,5.714285714,15.38461538
54,74.72527473,5.434782609,4.081632653,7.52688172,5.633802817,15.2173913
55,75.82417582,5.434782609,4.081632653,7.52688172,5.555555556,15.2173913
56,76.92307692,5.434782609,4.081632653,7.52688172,5.479452055,15.2173913
57,78.02197802,5.434782609,4.081632653,7.52688172,5.405405405,15.2173913
58,79.12087912,5.434782609,4.081632653,7.52688172,5.333333333,15.2173913
59,80.21978022,5.434782609,4.081632653,7.52688172,5.263157895,15.2173913
60,81.31868132,5.434782609,4.081632653,7.52688172,5.194805195,15.2173913
61,82.41758242,5.434782609,4.081632653,7.52688172,5.128205128,15.2173913
62,83.51648352,5.434782609,4.081632653,7.52688172,5.063291139,15.2173913
63,84.61538462,5.434782609,4.04040404,7.52688172,5,15.2173913
64,85.71428571,6.52173913,4.04040404,8.602150538,4.938271605,16.30434783
65,86.81318681,6.52173913,5.050505051,8.602150538,4.87804878,16.30434783
66,87.91208791,6.52173913,5.050505051,8.602150538,4.819277108,16.30434783
67,89.01098901,7.608695652,6.060606061,9.677419355,4.761904762,16.30434783
68,90.10989011,8.695652174,6.060606061,10.75268817,4.705882353,16.30434783
69,91.20879121,9.782608696,6.060606061,11.82795699,4.651162791,16.30434783
70,92.30769231,10.86956522,6.060606061,12.90322581,4.597701149,16.30434783
71,92.39130435,11.82795699,6.060606061,13.82978723,4.545454545,16.12903226
72,92.47311828,12.76595745,6.060606061,14.73684211,5.617977528,17.0212766
73,92.55319149,13.68421053,6.060606061,15.625,5.555555556,16.84210526
74,93.61702128,14.73684211,6.060606061,15.625,5.494505495,16.84210526
75,94.68085106,14.73684211,6.060606061,15.625,5.434782609,16.84210526
76,95.74468085,14.73684211,6.060606061,16.66666667,6.451612903,17.89473684
77,96.80851064,14.73684211,6.060606061,17.70833333,6.382978723,17.89473684
78,96.80851064,15.78947368,6.060606061,17.70833333,6.382978723,16.84210526
79,96.80851064,16.84210526,6.060606061,18.75,6.382978723,16.84210526
80,96.80851064,16.84210526,6.060606061,18.75,6.382978723,15.78947368
81,96.84210526,16.66666667,6.060606061,18.55670103,6.315789474,15.625
82,96.875,17.5257732,6.060606061,19.3877551,6.25,15.46391753
83,96.875,17.34693878,6.12244898,19.19191919,6.25,15.46391753
84,96.90721649,17.17171717,6.12244898,19,7.216494845,16.32653061
85,96.90721649,18.18181818,6.12244898,20,8.24742268,17.34693878
86,96.93877551,19,6.060606061,21,9.183673469,18.18181818
87,96.93877551,18,6.060606061,20,9.183673469,17.17171717
88,96.93877551,18,6.060606061,20,9.183673469,17.17171717
