name,date
NC_001632.1,2000-06-01
NC_003003.1,2000-01-19
NC_003445.1,2001-07-17
NC_003446.1,2001-07-17
NC_003495.1,1991-07-01
NC_003496.1,1996-09-13
NC_003502.1,1997-08-19
NC_003509.1,2004-05-01
NC_003545.1,1992-07-01
NC_003549.1,1985-07-23
NC_003550.1,1983-07-01
NC_003615.1,1991-03-22
NC_003621.1,1989-05-02
NC_003622.1,1989-05-25
NC_003623.1,1989-10-13
NC_003626.1,1996-08-22
NC_003628.1,1993-01-14
NC_003693.1,1988-07-01
NC_003694.1,1986-07-01
NC_003738.1,1986-07-01
NC_003741.1,1992-03-10
NC_003785.2,1997-12-19
NC_003787.1,1999-08-09
NC_003791.1,1999-08-09
NC_003799.1,2001-01-19
NC_003839.2,1991-07-19
NC_003840.1,1995-07-01
NC_004439.1,2004-02-02
NC_005096.1,2008-07-03
NC_005097.1,1996-03-06
NC_005266.1,2003-05-20
NC_005289.1,2002-04-30
NC_005290.1,2002-04-30
NC_006056.1,2001-08-01
NC_006057.1,2003-05-20
NC_006271.1,2004-01-19
NC_006964.1,2004-12-19
NC_006965.1,2007-08-04
NC_008182.1,2005-12-28
NC_009013.1,2007-01-03
NC_010709.1,2003-02-07
NC_010987.1,2007-01-07
NC_011190.1,2007-09-16
NC_013075.1,2002-05-09
NC_013218.1,2001-08-27
NC_015414.1,2009-02-15
NC_015492.1,2003-08-19
NC_016443.1,2010-12-15
NC_017939.1,2011-12-22
NC_018383.1,2005-06-03
NC_018384.1,2011-04-15
NC_020898.1,2007-01-08
NC_022004.1,2005-05-15
NC_022798.1,2012-01-12
NC_023016.1,2008-05-13
NC_025479.2,2012-02-12
NC_027915.1,2001-01-12
NC_027926.1,2001-05-15
NC_028139.1,2007-01-10
NC_029038.1,2015-09-19
NC_031766.1,2016-06-21
NC_032270.1,2007-01-13
NC_033492.1,2009-01-13
NC_035214.1,2012-08-17
NC_035218.1,2007-01-12
NC_035221.1,2005-02-17
NC_038320.1,2008-10-02
NC_038760.1,2003-01-11
NC_038761.1,2003-01-11
NC_038762.1,2003-01-11
NC_038764.1,2003-01-11
NC_038765.1,2007-01-10
NC_038767.1,2001-11-15
NC_039073.1,2016-05-23
NC_039077.1,2011-01-05
NC_040399.1,1977-07-01
NC_040417.1,2007-02-16
NC_040586.1,2009-02-16
NC_043447.1,2001-10-08
NC_043684.1,2007-01-07
OQ818326,2018-09-11
OQ818327,2018-09-11
OQ818330,2018-02-23
NC_030886.1,2002-06-09
