Accession,Isolate,Species,Genus,Family,Length,Country,source,Host,Collection_Date,novel
HQ585111.1,P1/InV1/IT/2009,Picorna-like virus Eptesicus fuscus/P1/InV1/IT/USA/2009,Unclassified,Picornaviridae,4043,USA,Eptesicus fuscus,1,2009,0
HQ595340.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7753,Hong Kong,Miniopterus pusillus,1,2008,0
HQ595341.1,,Bat picornavirus 1,Unclassified,Picornaviridae,7641,Hong Kong,Miniopterus schreibersii,1,2008,0
HQ595342.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7693,Hong Kong,Miniopterus magnater,1,2005,0
HQ595343.1,,Bat picornavirus 2,Unclassified,Picornaviridae,7625,Hong Kong,Miniopterus magnater,1,2005,0
HQ595344.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7749,Hong Kong,Rhinolophus sinicus,1,2008,0
HQ595345.1,,Bat picornavirus 3,Unclassified,Picornaviridae,7672,Hong Kong,Hipposideros armiger,1,2008,0
JN899072.1,,Bat sapovirus TLC34/HK,Sapovirus,Caliciviridae,7679,Hong Kong,Chiroptera,1,2012,0
JN899074.1,,Bat sapovirus TLC39/HK,Sapovirus,Caliciviridae,7679,Hong Kong,Chiroptera,1,2012,0
JN899075.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,7696,Hong Kong,Chiroptera,1,2012,0
JQ814851.1,,Mischivirus A,Mischivirus,Picornaviridae,8468,China,Miniopterus schreibersii,1,2010,0
JQ814852.1,,Ia io picornavirus 1,Unclassified,Picornaviridae,7543,China,Ia io,1,2010,0
KJ641684.1,BtRf-PicoV-2/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,5636,China,Rhinolophus ferrumequinum,1,2010,0
KJ641685.1,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,6624,China,Rhinolophus ferrumequinum,1,2010,0
KJ641686.1,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,Picornaviridae,7555,China,Myotis ricketti,1,2010,0
