pointer,OQ818340,OQ818345,OQ818347,OQ818348,KX759618.1,KX759619.1,KX759621.1,KX759622.1,KX759623.1,NC_033776.1
969,87.36842105,1.052631579,58.16326531,39.17525773,56.84210526,75.78947368,56.84210526,54.73684211,71.57894737,54.73684211
970,86.31578947,1.052631579,57.14285714,38.1443299,55.78947368,75.78947368,55.78947368,53.68421053,70.52631579,53.68421053
971,86.31578947,1.052631579,57.14285714,37.11340206,55.78947368,75.78947368,55.78947368,53.68421053,70.52631579,53.68421053
972,86.31578947,1.052631579,58.16326531,38.1443299,56.84210526,75.78947368,56.84210526,54.73684211,70.52631579,54.73684211
973,86.31578947,1.052631579,58.16326531,38.1443299,56.84210526,75.78947368,56.84210526,54.73684211,70.52631579,54.73684211
974,86.31578947,1.052631579,57.14285714,37.11340206,55.78947368,75.78947368,55.78947368,53.68421053,70.52631579,53.68421053
975,86.31578947,1.052631579,57.14285714,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
976,86.31578947,1.052631579,57.14285714,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
977,86.31578947,1.052631579,57.14285714,39.17525773,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
978,86.31578947,1.052631579,57.14285714,39.17525773,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
979,86.31578947,1.052631579,57.14285714,39.17525773,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
980,86.31578947,1.052631579,57.14285714,39.17525773,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
981,86.31578947,1.052631579,56.12244898,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
982,86.31578947,1.052631579,56.12244898,37.11340206,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
983,86.31578947,1.052631579,56.12244898,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
984,86.31578947,1.052631579,57.14285714,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
985,87.36842105,1.052631579,56.12244898,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,71.57894737,54.73684211
986,87.36842105,1.052631579,56.12244898,39.17525773,56.84210526,76.84210526,56.84210526,54.73684211,70.52631579,54.73684211
987,87.36842105,1.052631579,56.12244898,40.20618557,57.89473684,76.84210526,57.89473684,55.78947368,70.52631579,55.78947368
988,87.36842105,1.052631579,56.12244898,40.20618557,57.89473684,76.84210526,57.89473684,55.78947368,70.52631579,55.78947368
989,87.36842105,1.052631579,56.12244898,39.17525773,57.89473684,76.84210526,57.89473684,55.78947368,70.52631579,55.78947368
990,87.36842105,1.052631579,57.14285714,38.1443299,57.89473684,77.89473684,57.89473684,55.78947368,71.57894737,55.78947368
991,87.36842105,1.052631579,57.14285714,38.1443299,58.94736842,78.94736842,58.94736842,56.84210526,72.63157895,56.84210526
992,87.36842105,1.052631579,56.12244898,38.1443299,57.89473684,77.89473684,57.89473684,55.78947368,71.57894737,55.78947368
993,87.36842105,2.105263158,56.12244898,38.1443299,57.89473684,77.89473684,57.89473684,55.78947368,71.57894737,55.78947368
994,87.36842105,2.105263158,55.10204082,38.1443299,56.84210526,77.89473684,56.84210526,54.73684211,71.57894737,54.73684211
995,87.36842105,2.105263158,54.08163265,38.1443299,56.84210526,76.84210526,56.84210526,54.73684211,70.52631579,54.73684211
996,87.36842105,2.105263158,55.10204082,39.17525773,57.89473684,76.84210526,57.89473684,55.78947368,70.52631579,55.78947368
997,87.36842105,2.105263158,55.10204082,39.17525773,58.94736842,76.84210526,58.94736842,56.84210526,70.52631579,56.84210526
998,88.42105263,3.157894737,55.10204082,40.20618557,58.94736842,76.84210526,58.94736842,56.84210526,70.52631579,56.84210526
999,89.47368421,4.210526316,56.12244898,41.2371134,60,77.89473684,60,57.89473684,71.57894737,57.89473684
1000,89.47368421,4.210526316,55.10204082,41.2371134,58.94736842,76.84210526,58.94736842,56.84210526,70.52631579,56.84210526
1001,89.47368421,4.210526316,55.10204082,41.2371134,60,76.84210526,60,57.89473684,70.52631579,57.89473684
1002,90.52631579,4.210526316,56.12244898,41.2371134,60,76.84210526,60,57.89473684,70.52631579,57.89473684
1003,90.52631579,4.210526316,57.14285714,41.2371134,61.05263158,76.84210526,61.05263158,58.94736842,70.52631579,58.94736842
1004,90.52631579,4.210526316,57.14285714,42.26804124,61.05263158,76.84210526,61.05263158,58.94736842,70.52631579,58.94736842
1005,90.52631579,4.210526316,57.14285714,43.29896907,60,75.78947368,60,57.89473684,69.47368421,57.89473684
1006,90.52631579,4.210526316,58.16326531,42.26804124,60,76.84210526,60,57.89473684,70.52631579,57.89473684
1007,90.52631579,4.210526316,58.16326531,43.29896907,60,76.84210526,60,57.89473684,70.52631579,57.89473684
1008,90.52631579,4.210526316,58.16326531,43.29896907,60,76.84210526,60,57.89473684,69.47368421,57.89473684
1009,90.625,4.166666667,58.58585859,44.32989691,60.41666667,77.08333333,60.41666667,58.33333333,69.79166667,58.33333333
1010,90.625,4.166666667,59.5959596,45.36082474,60.41666667,77.08333333,60.41666667,58.33333333,69.79166667,58.33333333
1011,90.625,4.166666667,59.5959596,45.36082474,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1012,90.625,4.166666667,60.60606061,45.36082474,59.375,75,59.375,57.29166667,67.70833333,57.29166667
1013,90.625,4.166666667,60.60606061,45.36082474,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1014,90.625,4.166666667,60.60606061,45.36082474,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1015,90.625,4.166666667,60.60606061,45.36082474,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1016,90.625,4.166666667,60.60606061,44.32989691,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1017,90.625,4.166666667,60.60606061,45.36082474,60.41666667,76.04166667,60.41666667,58.33333333,68.75,58.33333333
1018,91.66666667,4.166666667,61.61616162,46.39175258,61.45833333,76.04166667,61.45833333,59.375,68.75,59.375
1019,91.66666667,4.166666667,61.61616162,47.42268041,62.5,77.08333333,62.5,60.41666667,69.79166667,60.41666667
1020,91.66666667,4.166666667,62.62626263,47.42268041,62.5,77.08333333,62.5,60.41666667,69.79166667,60.41666667
1021,92.70833333,4.166666667,62.62626263,48.45360825,62.5,77.08333333,62.5,60.41666667,69.79166667,60.41666667
1022,92.70833333,4.166666667,62.62626263,47.42268041,63.54166667,78.125,63.54166667,61.45833333,70.83333333,61.45833333
1023,92.70833333,4.166666667,63.63636364,48.45360825,63.54166667,78.125,63.54166667,61.45833333,70.83333333,61.45833333
1024,93.75,4.166666667,64.64646465,48.45360825,63.54166667,78.125,63.54166667,61.45833333,70.83333333,61.45833333
1025,93.75,4.166666667,64.64646465,48.45360825,64.58333333,78.125,64.58333333,62.5,70.83333333,62.5
1026,94.79166667,4.166666667,65.65656566,49.48453608,65.625,79.16666667,65.625,63.54166667,71.875,63.54166667
1027,95.83333333,4.166666667,66.66666667,49.48453608,66.66666667,80.20833333,66.66666667,64.58333333,72.91666667,64.58333333
1028,94.79166667,4.166666667,66.66666667,49.48453608,66.66666667,80.20833333,66.66666667,64.58333333,73.95833333,64.58333333
1029,94.79166667,4.166666667,66.66666667,49.48453608,67.70833333,80.20833333,67.70833333,65.625,75,65.625
1030,94.79166667,4.166666667,66.66666667,50.51546392,67.70833333,79.16666667,67.70833333,65.625,75,65.625
1031,94.79166667,4.166666667,66.66666667,51.54639175,67.70833333,79.16666667,67.70833333,65.625,75,65.625
1032,94.79166667,4.166666667,66.66666667,51.54639175,67.70833333,79.16666667,67.70833333,65.625,75,65.625
1033,94.79166667,4.166666667,67.67676768,51.54639175,67.70833333,80.20833333,67.70833333,66.66666667,76.04166667,66.66666667
1034,94.79166667,4.166666667,66.66666667,51.54639175,66.66666667,79.16666667,66.66666667,65.625,75,65.625
1035,94.79166667,4.166666667,65.65656566,51.54639175,66.66666667,78.125,66.66666667,64.58333333,75,64.58333333
1036,94.79166667,4.166666667,65.65656566,51.54639175,67.70833333,79.16666667,67.70833333,65.625,75,65.625
1037,94.79166667,4.166666667,64.64646465,51.54639175,67.70833333,79.16666667,67.70833333,65.625,75,65.625
1038,94.79166667,4.166666667,64.64646465,51.54639175,67.70833333,80.20833333,67.70833333,66.66666667,76.04166667,66.66666667
