pointer,JX885611.1,OP287812.1
723,64,66
724,64,66
725,64,66
726,63,65
727,63,65
728,64,66
729,64,66
730,64,66
731,65,67
732,65,67
733,65,67
734,65,67
735,66,68
736,66,68
737,66,68
738,65,67
739,65,67
740,66,68
741,67,69
742,67,69
743,67,69
744,68,70
745,68,70
746,68,70
747,68,70
748,69,71
749,70,72
750,70,72
751,70,72
752,69,71
753,70,72
754,70,72
755,71,73
756,70,72
757,71,73
758,71,73
759,71,73
760,71,73
761,70,72
762,71,73
763,71,73
764,70,72
765,71,73
766,72,74
767,72,74
768,73,75
769,73,75
770,72,75
771,72,75
772,72,75
773,72,75
774,73,76
775,74,77
776,74,77
777,75,77
778,76,78
779,76,78
780,76,78
781,77,79
782,77,79
783,76,78
784,76,78
785,77,79
786,78,80
787,78,80
788,78,80
789,79,81
790,79,81
791,79,81
792,80,81
793,79,80
794,78,79
795,79,80
796,79,80
797,79,80
798,78,79
799,77,78
800,76,77
801,76,77
802,76,77
803,76,77
804,76,77
805,75,76
806,76,77
807,76,77
808,77,78
809,77,78
810,77,78
811,77,78
812,77,78
813,77,78
814,77,78
815,77,79
816,78,80
817,78,80
818,78,80
819,78,80
820,78,80
821,78,80
822,78,80
823,78,80
824,79,81
825,79,81
826,79,81
827,79,81
828,78,80
829,78,80
830,77,79
831,77,79
832,77,79
833,77,79
834,77,79
835,76,78
836,77,79
837,76,78
838,77,79
839,77,79
840,76,78
841,76,78
842,75,77
843,75,77
844,74,76
845,74,76
846,74,76
847,74,76
848,74,76
849,74,76
850,74,76
851,74,76
852,75,77
853,75,77
854,75,77
855,75,77
856,76,78
857,76,78
858,76,78
859,76,78
860,75,77
861,76,78
862,76,78
863,76,78
864,76,78
865,75,77
866,74,77
867,74,77
868,73,76
869,74,77
870,74,76
871,75,77
872,75,77
873,75,77
874,75,77
875,75,77
876,75,77
877,75,77
878,75,77
879,75,77
880,74,77
881,74,77
882,73,76
883,74,77
884,74,77
885,73,76
886,73,76
887,73,76
888,73,76
889,73,76
890,72,75
891,72,75
892,72,75
893,73,76
894,74,77
895,74,77
896,73,76
897,74,77
898,74,77
899,75,78
900,76,79
901,76,79
902,76,79
903,76,79
904,76,79
905,76,79
906,76,79
907,75,78
908,75,78
909,74,77
910,74,77
911,74,77
912,74,77
913,74,77
914,74,77
915,75,77
916,75,77
917,75,77
918,75,77
919,76,78
920,76,78
921,76,78
922,76,78
923,75,77
924,75,77
925,75,77
926,76,78
927,76,78
928,77,79
929,77,79
930,78,80
931,78,80
932,78,80
933,78,80
934,78,80
935,79,81
936,78,81
937,79,82
938,79,82
939,79,82
940,80,83
941,80,83
942,81,84
943,81,84
944,82,85
945,82,85
946,82,85
947,82,85
948,82,85
949,82,85
950,81,84
951,81,84
952,81,84
953,81,84
954,81,84
955,81,84
956,81,84
957,81,84
958,81,84
959,81,84
960,81,84
961,81,84
962,81,84
963,81,84
964,81,84
965,82,85
966,83,85
967,83,85
968,84,86
969,84,86
970,85,87
971,84,86
972,84,86
973,84,86
974,84,86
975,84,86
976,84,86
977,84,86
978,84,86
979,83,85
980,84,85
981,84,85
982,85,86
983,85,86
984,85,86
985,86,87
986,85,86
987,84,85
988,84,85
989,84,85
990,84,85
991,83,84
992,83,84
993,82,83
994,82,83
995,81,82
996,82,83
997,82,83
998,82,83
999,82,83
1000,82,83
1001,82,83
1002,82,83
1003,82,83
1004,82,83
1005,82,83
1006,82,83
1007,82,83
1008,82,83
1009,82,83
1010,82,83
1011,81,82
1012,81,82
1013,81,82
1014,81,82
1015,81,82
1016,80,81
1017,79,80
1018,78,79
1019,78,79
1020,78,79
1021,78,79
1022,78,79
1023,79,80
1024,79,80
1025,79,80
1026,79,80
1027,79,80
1028,79,80
1029,79,80
1030,78,79
1031,78,79
1032,77,78
1033,76,77
1034,76,77
1035,76,77
1036,77,77
1037,77,77
1038,77,77
1039,77,77
1040,77,77
1041,77,77
1042,76,76
1043,76,76
1044,76,76
1045,76,76
1046,75,75
1047,75,75
1048,75,75
1049,75,75
1050,76,76
1051,75,75
1052,75,75
1053,74,74
1054,74,74
1055,73,73
1056,73,73
1057,72,72
1058,71,71
1059,71,71
1060,72,72
1061,71,71
1062,71,71
1063,71,71
1064,72,72
1065,71,71
1066,71,71
1067,70,70
1068,70,70
1069,70,70
1070,69,69
1071,70,70
1072,71,71
1073,71,71
1074,71,71
1075,71,71
1076,71,71
1077,71,71
1078,71,71
1079,72,72
1080,71,71
1081,71,71
1082,70,70
1083,70,70
1084,70,70
1085,70,70
1086,71,71
1087,72,72
1088,72,72
1089,72,72
1090,73,73
1091,74,74
1092,74,74
1093,75,75
1094,75,75
1095,76,76
1096,76,76
1097,75,76
1098,76,77
1099,75,76
1100,75,76
1101,75,76
1102,74,75
1103,74,75
1104,74,75
1105,75,76
1106,74,75
1107,75,76
1108,75,76
1109,76,77
1110,76,77
1111,76,77
1112,76,77
1113,76,77
1114,76,77
1115,76,77
1116,77,78
1117,78,79
1118,79,80
1119,79,80
1120,78,79
1121,78,78
1122,78,78
1123,77,77
1124,76,77
1125,76,77
1126,76,77
1127,75,77
1128,74,76
1129,73,75
1130,73,75
1131,73,75
1132,74,76
1133,75,77
1134,75,77
1135,75,77
1136,75,77
1137,75,77
1138,75,77
1139,75,77
1140,75,77
1141,75,77
1142,76,78
1143,76,78
1144,76,78
1145,75,77
1146,76,78
1147,75,77
1148,74,76
1149,74,76
1150,74,76
1151,75,77
1152,75,77
1153,75,77
1154,75,77
1155,76,78
1156,76,78
1157,77,79
1158,78,80
1159,77,79
1160,77,79
1161,78,80
1162,78,80
1163,77,79
1164,77,79
1165,77,79
1166,77,79
1167,78,80
1168,78,80
1169,78,80
1170,79,81
1171,79,81
1172,79,81
1173,79,81
1174,78,80
1175,78,80
1176,78,80
1177,78,80
1178,77,80
1179,77,80
1180,78,81
1181,77,81
1182,78,82
1183,78,82
1184,78,82
1185,78,82
1186,78,82
1187,78,82
1188,78,82
1189,78,82
1190,77,81
1191,76,80
1192,76,80
1193,76,80
1194,76,80
1195,76,80
1196,76,80
1197,77,80
1198,77,80
1199,78,81
1200,78,81
1201,78,81
1202,79,82
1203,79,82
1204,78,81
1205,77,80
1206,77,80
1207,77,80
1208,77,80
1209,77,80
1210,77,80
1211,77,80
1212,77,80
1213,77,80
1214,77,80
1215,77,80
1216,77,80
1217,77,80
1218,77,80
1219,77,80
1220,78,81
1221,78,82
1222,78,82
1223,79,83
1224,80,83
1225,79,82
1226,79,82
1227,80,82
1228,81,83
1229,82,84
1230,83,85
1231,83,85
1232,83,85
1233,83,85
1234,83,85
1235,83,85
1236,83,85
1237,82,84
1238,81,83
1239,81,83
1240,81,83
1241,80,82
1242,80,82
1243,80,82
1244,80,82
1245,81,83
1246,81,83
1247,81,83
1248,82,84
1249,82,84
1250,82,84
1251,81,83
1252,81,83
1253,82,84
1254,82,84
1255,82,84
1256,81,84
1257,81,84
1258,81,84
1259,82,85
1260,82,85
1261,82,85
1262,82,85
1263,83,86
1264,82,85
1265,83,86
1266,83,86
1267,83,86
1268,82,85
1269,82,85
1270,82,85
1271,82,85
1272,82,85
1273,82,85
1274,82,85
1275,82,85
1276,81,84
1277,81,84
1278,82,84
1279,82,84
1280,82,84
1281,83,84
1282,83,84
1283,82,83
1284,82,83
1285,82,83
1286,81,82
1287,81,82
1288,81,82
1289,80,81
1290,81,82
1291,81,82
1292,81,82
1293,80,81
1294,80,81
1295,80,81
1296,79,80
1297,79,80
1298,79,80
1299,78,79
1300,78,79
1301,77,78
1302,77,78
1303,77,78
1304,77,78
1305,78,79
1306,79,80
1307,79,80
1308,78,79
1309,78,79
1310,78,79
1311,79,80
1312,78,79
1313,77,79
1314,77,79
1315,77,79
1316,76,78
1317,76,78
1318,76,78
1319,76,78
1320,76,78
1321,76,78
1322,75,78
1323,74,77
1324,74,77
1325,75,78
1326,75,78
1327,75,78
1328,74,77
1329,74,77
1330,74,77
1331,74,77
1332,74,77
1333,74,77
1334,74,77
1335,73,76
1336,73,76
1337,74,77
1338,74,77
1339,74,77
1340,73,76
1341,74,77
1342,74,77
1343,74,77
1344,74,77
1345,74,77
1346,74,77
1347,74,77
1348,74,77
1349,73,76
1350,72,75
1351,73,76
1352,73,76
1353,72,75
1354,72,75
1355,71,74
1356,71,73
1357,71,73
1358,70,72
1359,70,72
1360,69,71
1361,69,71
1362,68,70
1363,68,70
1364,68,70
1365,67,69
1366,67,69
1367,67,69
1368,68,70
1369,68,70
1370,68,70
1371,68,70
1372,68,70
1373,67,69
1374,68,70
1375,68,70
1376,69,71
1377,69,71
1378,69,71
1379,69,71
1380,69,71
1381,69,71
1382,69,71
1383,69,71
1384,69,71
1385,69,71
1386,70,72
1387,70,72
1388,70,72
1389,70,72
1390,69,71
1391,70,72
1392,70,72
1393,71,73
1394,71,73
1395,71,73
1396,72,74
1397,72,74
1398,71,73
1399,72,74
1400,72,74
1401,72,74
1402,72,74
1403,72,74
1404,73,75
1405,73,75
1406,72,75
1407,72,75
1408,73,76
1409,73,76
