pointer,NC_033818.1
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,2.0
90,2.0
91,2.0
92,2.0
93,2.0
94,2.0
95,2.0
96,3.0
97,3.0
98,3.0
99,3.0
100,4.0
101,4.0
102,5.0
103,6.0
104,7.000000000000001
105,7.000000000000001
106,7.000000000000001
107,7.000000000000001
108,7.000000000000001
109,8.0
110,9.0
111,10.0
112,10.0
113,10.0
114,10.0
115,11.0
116,12.0
117,12.0
118,13.0
119,14.000000000000002
120,15.0
121,16.0
122,17.0
123,18.0
124,19.0
125,20.0
126,21.0
127,22.0
128,23.0
129,23.0
130,24.0
131,25.0
132,26.0
133,27.0
134,28.000000000000004
135,28.999999999999996
136,30.0
137,31.0
138,32.0
139,33.0
140,34.0
141,34.0
142,35.0
143,35.0
144,36.0
145,36.0
146,37.0
147,37.0
148,38.0
149,38.0
150,39.0
151,39.0
152,39.0
153,40.0
154,41.0
155,41.0
156,41.0
157,41.0
158,41.0
159,41.0
160,42.0
161,43.0
162,43.0
163,44.0
164,44.0
165,44.0
166,44.0
167,45.0
168,45.0
169,45.0
170,45.0
171,46.0
172,47.0
173,48.0
174,49.0
175,50.0
176,50.0
177,51.0
178,52.0
179,52.0
180,53.0
181,54.0
182,55.00000000000001
183,56.00000000000001
184,56.99999999999999
185,57.99999999999999
186,59.0
187,59.0
188,59.0
189,57.99999999999999
190,59.0
191,60.0
192,60.0
193,60.0
194,61.0
195,61.0
196,60.0
197,61.0
198,62.0
199,62.0
200,62.0
201,63.0
202,63.0
203,63.0
204,63.0
205,63.0
206,64.0
207,64.0
208,65.0
209,64.0
210,63.0
211,63.0
212,64.0
213,65.0
214,65.0
215,65.0
216,65.0
217,66.0
218,66.0
219,65.0
220,64.0
221,64.0
222,63.0
223,63.0
224,63.0
225,63.0
226,63.0
227,63.0
228,62.0
229,63.0
230,63.0
231,62.0
232,62.0
233,61.0
234,60.0
235,60.0
236,59.0
237,57.99999999999999
238,57.99999999999999
239,56.99999999999999
240,56.99999999999999
241,56.99999999999999
242,56.00000000000001
243,56.00000000000001
244,55.00000000000001
245,56.00000000000001
246,55.00000000000001
247,56.00000000000001
248,56.00000000000001
249,56.00000000000001
250,55.00000000000001
251,55.00000000000001
252,56.00000000000001
253,56.00000000000001
254,56.00000000000001
255,56.99999999999999
256,56.99999999999999
257,57.99999999999999
258,59.0
259,59.0
260,59.0
261,57.99999999999999
262,59.0
263,59.0
264,60.0
265,61.0
266,62.0
267,62.0
268,63.0
269,64.0
270,64.0
271,64.0
272,64.0
273,64.0
274,64.0
275,64.0
276,64.0
277,64.0
278,64.0
279,64.0
280,64.0
281,63.0
282,63.0
283,63.0
284,63.0
285,63.0
286,63.0
287,64.0
288,63.0
289,63.0
290,62.0
291,62.0
292,63.0
293,64.0
294,63.0
295,64.0
296,64.0
297,64.0
298,64.0
299,65.0
300,65.0
301,65.0
302,65.0
303,65.0
304,65.0
305,66.0
306,66.0
307,66.0
308,66.0
309,67.0
310,68.0
311,68.0
312,68.0
313,68.0
314,69.0
315,68.0
316,68.0
317,67.0
318,67.0
319,68.0
320,69.0
321,69.0
322,69.0
323,68.0
324,68.0
325,67.0
326,66.0
327,65.0
328,66.0
329,65.0
330,65.0
331,65.0
332,65.0
333,66.0
334,67.0
335,67.0
336,67.0
337,68.0
338,68.0
339,69.0
340,69.0
341,70.0
342,71.0
343,72.0
344,72.0
345,72.0
346,73.0
347,73.0
348,73.0
349,73.0
350,73.0
351,74.0
352,74.0
353,73.0
354,73.0
355,73.0
356,74.0
357,74.0
358,74.0
359,75.0
360,75.0
361,76.0
362,75.0
363,74.0
364,74.0
365,74.0
366,74.0
367,73.0
368,73.0
369,72.0
370,73.0
371,73.0
372,72.0
373,71.0
374,71.0
375,71.0
376,72.0
377,71.0
378,71.0
379,72.0
380,71.0
381,72.0
382,72.0
383,72.0
384,72.0
385,72.0
386,72.0
387,71.0
388,71.0
389,72.0
390,72.0
391,72.0
392,72.0
393,71.0
394,72.0
395,71.0
396,72.0
397,72.0
398,72.0
399,72.0
400,72.0
401,71.0
402,71.0
403,71.0
404,70.0
405,69.0
406,69.0
407,70.0
408,70.0
409,70.0
410,70.0
411,69.0
412,69.0
413,69.0
414,69.0
415,70.0
416,70.0
417,71.0
418,71.0
419,70.0
420,70.0
421,70.0
422,70.0
423,71.0
424,71.0
425,72.0
426,73.0
427,73.0
428,73.0
429,74.0
430,74.0
431,75.0
432,75.0
433,75.0
434,74.0
435,74.0
436,75.0
437,75.0
438,75.0
439,75.0
440,75.0
441,75.0
442,74.0
443,74.0
444,74.0
445,73.0
446,73.0
447,72.0
448,72.0
449,73.0
450,74.0
451,74.0
452,74.0
453,74.0
454,74.0
455,74.0
456,74.0
457,73.0
458,73.0
459,73.0
460,72.0
461,71.0
462,72.0
463,72.0
464,72.0
465,72.0
466,72.0
467,73.0
468,73.0
469,74.0
470,74.0
471,74.0
472,74.0
473,74.0
474,73.0
475,73.0
476,73.0
477,74.0
478,74.0
479,74.0
480,74.0
481,74.0
482,73.0
483,73.0
484,73.0
485,73.0
486,72.0
487,73.0
488,74.0
489,73.0
490,73.0
491,72.0
492,71.0
493,71.0
494,71.0
495,71.0
496,70.0
497,69.0
498,68.0
499,68.0
